fullName,id,country,eu_group_1,eu_group_2,nation_group,term,start_period_1,gender,orientation
Anselmo GOUTHIER,843,Italy,Communist and Allies Group,None,Partito comunista italiano ,1979-1984,07-1979,male,left
Leonilde IOTTI,785,Italy,Communist and Allies Group,None,Partito comunista italiano ,1979-1984,07-1979,female,left
Felice IPPOLITO,1629,Italy,Communist and Allies Group,None,Indipendenti di sinistra ,1979-1984,07-1979,male,left
Silvio LEGA,792,Italy,European People's Party,None,Democrazia cristiana ,1979-1984,07-1979,male,centre-right
Silvio LEONARDI,270,Italy,Communist and Allies Group,None,Partito comunista italiano ,1979-1984,07-1979,male,left
Pietro LEZZI,312,Italy,Socialist Group,None,Partito socialista italiano ,1979-1984,07-1979,male,centre-left
Giosuè LIGIOS,1605,Italy,European People's Party,None,Democrazia cristiana ,1979-1984,07-1979,male,centre-right
Salvatore LIMA,991,Italy,European People's Party,None,Democrazia cristiana ,1979-1984,07-1979,male,centre-right
Luigi MACARIO,776,Italy,European People's Party,None,Democrazia cristiana ,1979-1984,07-1979,male,centre-right
Marcello MODIANO,769,Italy,European People's Party,None,Democrazia cristiana ,1979-1984,07-1979,male,centre-right
Angelo NARDUCCI,760,Italy,European People's Party,None,Democrazia cristiana ,1979-1984,07-1979,male,centre-right
Flavio ORLANDI,755,Italy,Socialist Group,None,Partito socialista democratico italiano ,1979-1984,07-1979,male,centre-left
Giancarlo PAJETTA,1557,Italy,Communist and Allies Group,None,Partito comunista italiano ,1979-1984,07-1979,male,left
Marco PANNELLA,1002,Italy,Group for the Technical Coordination and Defence of Independent Groups and Members,None,Partito radicale ,1979-1984,07-1979,male,Non aligned
Giovanni PAPAPIETRO,1555,Italy,Communist and Allies Group,None,Partito comunista italiano ,1979-1984,07-1979,male,left
Mario PEDINI,726,Italy,European People's Party,None,Democrazia cristiana ,1979-1984,07-1979,male,centre-right
Jiri PELIKAN,1552,Italy,Socialist Group,None,Partito socialista italiano ,1979-1984,07-1979,male,centre-left
Francesco PETRONIO,1550,Italy,Non-attached Members,None,Movimento sociale italiano - Destra nazionale ,1979-1984,07-1979,male,Non aligned
Flaminio PICCOLI,740,Italy,European People's Party,None,Democrazia cristiana ,1979-1984,07-1979,male,centre-right
Sergio PININFARINA,1544,Italy,Liberal and Democratic Group,None,Partito liberale italiano ,1979-1984,07-1979,male,centre
Ruggero PULETTI,728,Italy,Socialist Group,None,Partito socialista democratico italiano ,1979-1984,07-1979,male,centre-left
Carlo RIPA DI MEANA,717,Italy,Socialist Group,None,Partito socialista italiano ,1979-1984,07-1979,male,centre-left
Pino ROMUALDI,1727,Italy,Non-attached Members,None,Movimento sociale italiano - Destra nazionale ,1979-1984,07-1979,male,Non aligned
Giorgio RUFFOLO,714,Italy,Socialist Group,None,Partito socialista italiano ,1979-1984,07-1979,male,centre-left
Mariano RUMOR,715,Italy,European People's Party,None,Democrazia cristiana ,1979-1984,07-1979,male,centre-right
Mario SASSANO,706,Italy,European People's Party,None,Democrazia cristiana ,1979-1984,07-1979,male,centre-right
Leonardo SCIASCIA,697,Italy,Group for the Technical Coordination and Defence of Independent Groups and Members,None,Partito radicale ,1979-1984,07-1979,male,Non aligned
Sergio Camillo SEGRE,1515,Italy,Communist and Allies Group,None,Partito comunista italiano ,1979-1984,07-1979,male,left
Altiero SPINELLI,1643,Italy,Communist and Allies Group,None,Indipendenti di sinistra ,1979-1984,07-1979,male,left
Vera SQUARCIALUPI,1501,Italy,Communist and Allies Group,None,Indipendenti di sinistra ,1979-1984,07-1979,female,left
Giovanni TRAVAGLINI,682,Italy,European People's Party,None,Democrazia cristiana ,1979-1984,07-1979,male,centre-right
Protogene VERONESI,654,Italy,Communist and Allies Group,None,Partito comunista italiano ,1979-1984,07-1979,male,left
Bruno VISENTINI,1082,Italy,Liberal and Democratic Group,None,Partito repubblicano italiano ,1979-1984,07-1979,male,centre
Benigno ZACCAGNINI,663,Italy,European People's Party,None,Democrazia cristiana ,1979-1984,07-1979,male,centre-right
Mario ZAGARI,1480,Italy,Socialist Group,None,Partito socialista italiano ,1979-1984,07-1979,male,centre-left
Ortensio ZECCHINO,665,Italy,European People's Party,None,Democrazia cristiana ,1979-1984,07-1979,male,centre-right
Giorgio ALMIRANTE,1478,Italy,Group of the European Right,None,Movimento sociale italiano - Destra nazionale ,1984-1989,07-1984,male,right
Giuseppe AMADEI,1790,Italy,Socialist Group,None,Partito socialista democratico italiano ,1984-1989,07-1984,male,centre-left
Dario ANTONIOZZI,1789,Italy,European People's Party,None,Democrazia cristiana ,1984-1989,07-1984,male,centre-right
Gianni BAGET BOZZO,1093,Italy,Socialist Group,None,Partito socialista italiano ,1984-1989,07-1984,male,centre-left
Carla BARBARELLA,1773,Italy,Communist and Allies Group,None,Partito comunista italiano ,1984-1989,07-1984,female,left
Roberto BARZANTI,1135,Italy,Communist and Allies Group,None,Partito comunista italiano ,1984-1989,07-1984,male,left
