fullName,id,country,eu_group_1,eu_group_2,nation_group,term,start_period_1,gender,orientation
Mario Giovanni Guerriero RUFFINI,1098,Italy,European People's Party,None,Democrazia cristiana ,1989-1994,07-1989,male,centre-right
Gabriele SBOARINA,1090,Italy,European People's Party,None,Democrazia cristiana ,1989-1994,07-1989,male,centre-right
Roberto SPECIALE,1091,Italy,Group for the European United Left,None,Partito comunista italiano ,1989-1994,07-1989,male,left
Francesco Enrico SPERONI,997,Italy,Rainbow Group,Non-attached Members,Lega lombarda ,1989-1994,07-1989,male,centre
Marco TARADASH,998,Italy,The Green Group in the European Parliament,Non-attached Members,Lega antiproibizionisti droga ,1989-1994,07-1989,male,centre-left
Giuseppe TATARELLA,963,Italy,Non-attached Members,None,Movimento sociale italiano - Destra nazionale ,1989-1994,07-1989,male,Non aligned
Renzo TRIVELLI,1081,Italy,Group for the European United Left,Socialist Group,Partito comunista italiano ,1989-1994,07-1989,male,left
Dacia VALENT,1066,Italy,Group for the European United Left,Non-attached Members,Partito comunista italiano ,1989-1994,07-1989,female,left
Luciano VECCHI,1092,Italy,Group for the European United Left,Socialist Group,Partito comunista italiano ,1989-1994,07-1989,male,left
Luigi VERTEMATI,995,Italy,Socialist Group,Socialist Group,Partito socialista italiano ,1989-1994,07-1989,male,centre-left
Bruno VISENTINI,1082,Italy,Liberal and Democratic Reformist Group,None,Partito repubblicano italiano ,1989-1994,07-1989,male,centre
Maria Adelaide AGLIETTA,1114,Italy,The Green Group in the European Parliament,None,Federazione dei Verdi ,1994-1999,07-1994,female,centre-left
Amedeo AMADEO,2035,Italy,Non-attached Members,None,Alleanza nazionale ,1994-1999,07-1994,male,Non aligned
Roberta ANGELILLI,1941,Italy,Non-attached Members,None,Alleanza nazionale ,1994-1999,07-1994,female,Non aligned
Aldo ARRONI,2033,Italy,Forza Europa Group,Group Union for Europe ,Forza Italia ,1994-1999,07-1994,male,centre-right
Corrado AUGIAS,2136,Italy,Socialist Group,None,Partito democratico della sinistra ,1994-1999,07-1994,male,centre-left
Claudio AZZOLINI,2140,Italy,Forza Europa Group,Group Union for Europe ,Forza Italia ,1994-1999,07-1994,male,centre-right
Francesco BALDARELLI,1939,Italy,Socialist Group,None,Partito democratico della sinistra ,1994-1999,07-1994,male,centre-left
Monica Stefania BALDI,2131,Italy,Forza Europa Group,Group Union for Europe ,Forza Italia ,1994-1999,07-1994,female,centre-right
Valerio BALDINI,2090,Italy,Forza Europa Group,Group Union for Europe ,Forza Italia ,1994-1999,07-1994,male,centre-right
Roberto BARZANTI,1135,Italy,Socialist Group,None,Partito democratico della sinistra ,1994-1999,07-1994,male,centre-left
Spalato BELLERE',2134,Italy,Non-attached Members,None,Alleanza nazionale ,1994-1999,07-1994,male,Non aligned
Fausto BERTINOTTI,2023,Italy,Confederal Group of the European United Left,Confederal Group of the European United Left/Nordic Green Left ,Rifondazione comunista ,1994-1999,07-1994,male,left
Gerardo BIANCO,2143,Italy,European People's Party,None,Partito popolare italiano ,1994-1999,07-1994,male,centre-right
Gian Piero BONIPERTI,2034,Italy,Forza Europa Group,Group Union for Europe ,Forza Italia ,1994-1999,07-1994,male,centre-right
Rinaldo BONTEMPI,1020,Italy,Socialist Group,None,Partito democratico della sinistra ,1994-1999,07-1994,male,centre-left
Umberto BOSSI,2036,Italy,"Group of the European Liberal, Democrat and Reform Party",Non-attached Members,Lega Nord per l'indipendenza della Padania ,1994-1999,07-1994,male,centre
Giovanni M.S. BURTONE,1953,Italy,European People's Party,None,Partito popolare italiano ,1994-1999,07-1994,male,centre-right
Ernesto CACCAVALE,2141,Italy,Forza Europa Group,Group Union for Europe ,Forza Italia ,1994-1999,07-1994,male,centre-right
Luigi CALIGARIS,2085,Italy,Forza Europa Group,Group Union for Europe ,Forza Italia ,1994-1999,07-1994,male,centre-right
Pierre CARNITI,1085,Italy,Socialist Group,None,Partito democratico della sinistra ,1994-1999,07-1994,male,centre-left
Carlo CASINI,988,Italy,European People's Party,None,Partito popolare italiano ,1994-1999,07-1994,male,centre-right
Pier Ferdinando CASINI,2189,Italy,Forza Europa Group,Group Union for Europe ,Centro cristiano democratico ,1994-1999,07-1994,male,centre-right
Pierluigi CASTAGNETTI,2102,Italy,European People's Party,None,Partito popolare italiano ,1994-1999,07-1994,male,centre-right
Luciana CASTELLINA,947,Italy,Confederal Group of the European United Left,Confederal Group of the European United Left/Nordic Green Left ,Rifondazione comunista ,1994-1999,07-1994,female,left
Marco CELLAI,1809,Italy,Non-attached Members,None,Alleanza nazionale ,1994-1999,07-1994,male,Non aligned
Luigi Alberto COLAJANNI,1137,Italy,Socialist Group,None,Partito democratico della sinistra ,1994-1999,07-1994,male,centre-left
Ombretta COLLI,2195,Italy,Forza Europa Group,Group Union for Europe ,Forza Italia ,1994-1999,07-1994,female,centre-right
Maria Paola COLOMBO SVEVO,2051,Italy,European People's Party,None,Partito popolare italiano ,1994-1999,07-1994,female,centre-right
Giampaolo V.E. D'ANDREA,2144,Italy,European People's Party,None,Partito popolare italiano ,1994-1999,07-1994,male,centre-right
Alessandro DANESIN,2250,Italy,Forza Europa Group,Group Union for Europe ,Forza Italia ,1994-1999,07-1994,male,centre-right
Biagio DE GIOVANNI,1130,Italy,Socialist Group,None,Partito democratico della sinistra ,1994-1999,07-1994,male,centre-left
Gianfranco DELL'ALBA,2043,Italy,Group of the European Radical Alliance,None,Pannella-Riformatori ,1994-1999,07-1994,male,centre
Stefano DE LUCA,2198,Italy,Forza Europa Group,None,Forza Italia ,1994-1999,07-1994,male,centre-right
Pietro Antonio DI PRIMA,2193,Italy,Forza Europa Group,Group Union for Europe ,Forza Italia ,1994-1999,07-1994,male,centre-right
Michl EBNER,2075,Italy,European People's Party,None,Südtiroler Volkspartei ,1994-1999,07-1994,male,centre-right
Giulio FANTUZZI,1109,Italy,Socialist Group,None,Partito democratico della sinistra ,1994-1999,07-1994,male,centre-left
Gipo FARASSINO,2039,Italy,"Group of the European Liberal, Democrat and Reform Party",Non-attached Members,Lega Nord per l'indipendenza della Padania ,1994-1999,07-1994,male,centre
Raimondo FASSA,1954,Italy,"Group of the European Liberal, Democrat and Reform Party",None,Lega Nord per l'indipendenza della Padania ,1994-1999,07-1994,male,centre
Enrico FERRI,990,Italy,Non-attached Members,Forza Europa Group ,Partito socialista democratico italiano ,1994-1999,07-1994,male,Non aligned
Livio FILIPPI,2094,Italy,European People's Party,None,Patto Segni ,1994-1999,07-1994,male,centre-right
Gianfranco FINI,1007,Italy,Non-attached Members,None,Alleanza nazionale ,1994-1999,07-1994,male,Non aligned
Luigi Andrea FLORIO,2248,Italy,Forza Europa Group,Group Union for Europe ,Forza Italia ,1994-1999,07-1994,male,centre-right
Alessandro FONTANA,2042,Italy,Forza Europa Group,None,Centro cristiano democratico ,1994-1999,07-1994,male,centre-right
Marco FORMENTINI,2038,Italy,"Group of the European Liberal, Democrat and Reform Party",Non-attached Members,Lega Nord per l'indipendenza della Padania ,1994-1999,07-1994,male,centre
Riccardo GAROSCI,2196,Italy,Forza Europa Group,Group Union for Europe ,Forza Italia ,1994-1999,07-1994,male,centre-right
Fiorella GHILARDOTTI,2024,Italy,Socialist Group,None,Partito democratico della sinistra ,1994-1999,07-1994,female,centre-left
Antonio GRAZIANI,1958,Italy,European People's Party,None,Partito popolare italiano ,1994-1999,07-1994,male,centre-right
Renzo IMBENI,1106,Italy,Socialist Group,None,Partito democratico della sinistra ,1994-1999,07-1994,male,centre-left
Giorgio LA MALFA,1010,Italy,"Group of the European Liberal, Democrat and Reform Party",None,Partito repubblicano italiano ,1994-1999,07-1994,male,centre
Alexander LANGER,1107,Italy,The Green Group in the European Parliament,None,Federazione dei Verdi ,1994-1999,07-1994,male,centre-left
Giacomo LEOPARDI,2253,Italy,Forza Europa Group,Group Union for Europe ,Forza Italia ,1994-1999,07-1994,male,centre-right
Giancarlo LIGABUE,2251,Italy,Forza Europa Group,Group Union for Europe ,Forza Italia ,1994-1999,07-1994,male,centre-right
Franco E. MALERBA,2249,Italy,Forza Europa Group,Group Union for Europe ,Forza Italia ,1994-1999,07-1994,male,centre-right
Lucio MANISCO,2074,Italy,Confederal Group of the European United Left,Confederal Group of the European United Left/Nordic Green Left ,Rifondazione comunista ,1994-1999,07-1994,male,left
Andrea MANZELLA,2113,Italy,Socialist Group,None,Partito democratico della sinistra ,1994-1999,07-1994,female,centre-left
Marilena MARIN,2078,Italy,"Group of the European Liberal, Democrat and Reform Party",Forza Europa Group ,Lega Nord per l'indipendenza della Padania ,1994-1999,07-1994,female,centre
Elena MARINUCCI,2142,Italy,Socialist Group,None,Partito socialista italiano ,1994-1999,07-1994,female,centre-left
Alfonso Luigi MARRA,2191,Italy,Forza Europa Group,Group Union for Europe ,Forza Italia ,1994-1999,07-1994,male,centre-right
Roberto MEZZAROMA,2254,Italy,Forza Europa Group,Group Union for Europe ,Forza Italia ,1994-1999,07-1994,male,centre-right
Enrico MONTESANO,1940,Italy,Socialist Group,None,Partito democratico della sinistra ,1994-1999,07-1994,male,centre-left
Luigi MORETTI,1101,Italy,"Group of the European Liberal, Democrat and Reform Party",None,Lega Nord per l'indipendenza della Padania ,1994-1999,07-1994,male,centre
Cristiana MUSCARDINI,1073,Italy,Non-attached Members,None,Alleanza nazionale ,1994-1999,07-1994,female,Non aligned
Sebastiano (Nello) MUSUMECI,1944,Italy,Non-attached Members,None,Alleanza nazionale ,1994-1999,07-1994,male,Non aligned
Riccardo NENCINI,2132,Italy,Socialist Group,None,Partito socialista italiano ,1994-1999,07-1994,male,centre-left
Achille OCCHETTO,1094,Italy,Socialist Group,None,Partito democratico della sinistra ,1994-1999,07-1994,male,centre-left
Leoluca ORLANDO,2152,Italy,The Green Group in the European Parliament,None,La Rete movimento democratico ,1994-1999,07-1994,male,centre-left
Marco PANNELLA,1002,Italy,Group of the European Radical Alliance,None,Pannella-Riformatori ,1994-1999,07-1994,male,centre
Gastone PARIGI,1943,Italy,Non-attached Members,None,Alleanza nazionale ,1994-1999,07-1994,male,Non aligned
Eolo PARODI,233,Italy,Forza Europa Group,None,Forza Italia ,1994-1999,07-1994,male,centre-right
Luciano PETTINARI,2133,Italy,Confederal Group of the European United Left,Confederal Group of the European United Left/Nordic Green Left ,Rifondazione comunista ,1994-1999,07-1994,male,left
Guido PODESTÀ,2046,Italy,Forza Europa Group,None,Forza Italia ,1994-1999,07-1994,male,centre-right
Danilo POGGIOLINI,2029,Italy,European People's Party,None,Patto Segni ,1994-1999,07-1994,male,centre-right
Giuseppe RAUTI,1005,Italy,Non-attached Members,None,Movimento sociale italiano ,1994-1999,07-1994,male,Non aligned
Carlo RIPA DI MEANA,717,Italy,The Green Group in the European Parliament,Confederal Group of the European United Left/Nordic Green Left ,Federazione dei Verdi ,1994-1999,07-1994,male,centre-left
Giorgio RUFFOLO,714,Italy,Socialist Group,None,Indipendenti di sinistra ,1994-1999,07-1994,male,centre-left
Giacomo SANTINI,2252,Italy,Forza Europa Group,None,Forza Italia ,1994-1999,07-1994,male,centre-right
Umberto SCAPAGNINI,2194,Italy,Forza Europa Group,None,Forza Italia ,1994-1999,07-1994,male,centre-right
Carlo SECCHI,2050,Italy,European People's Party,None,Partito popolare italiano ,1994-1999,07-1994,male,centre-right
Mariotto SEGNI,2027,Italy,European People's Party,None,Patto Segni ,1994-1999,07-1994,male,centre-right
Roberto SPECIALE,1091,Italy,Socialist Group,None,Partito democratico della sinistra ,1994-1999,07-1994,male,centre-left
Antonio TAJANI,2187,Italy,Forza Europa Group,Group Union for Europe ,Forza Italia ,1994-1999,07-1994,male,centre-right
Gianni TAMINO,2258,Italy,The Green Group in the European Parliament,None,Federazione dei Verdi ,1994-1999,07-1995,male,centre-left
Salvatore TATARELLA,1945,Italy,Non-attached Members,None,Alleanza nazionale ,1994-1999,07-1994,male,Non aligned
Luisa TODINI,2255,Italy,Forza Europa Group,Group Union for Europe ,Forza Italia ,1994-1999,07-1994,female,centre-right
Antonio Michele TRIZZA,1951,Italy,Non-attached Members,None,Alleanza nazionale ,1994-1999,07-1994,male,Non aligned
Luciano VECCHI,1092,Italy,Socialist Group,None,Partito democratico della sinistra ,1994-1999,07-1994,male,centre-left
Guido VICECONTE,2197,Italy,Forza Europa Group,Group Union for Europe ,Forza Italia ,1994-1999,07-1994,male,centre-right
Luigi VINCI,1957,Italy,Confederal Group of the European United Left,Confederal Group of the European United Left/Nordic Green Left ,Rifondazione comunista ,1994-1999,07-1994,male,left
Roberta ANGELILLI,1941,Italy,Non-attached Members,Union for Europe of the Nations Group ,Alleanza nazionale ,1999-2004,07-1999,female,Non aligned
Sergio BERLATO,4746,Italy,Non-attached Members,Union for Europe of the Nations Group ,Alleanza nazionale ,1999-2004,07-1999,male,Non aligned
Silvio BERLUSCONI,4391,Italy,European People's Party,None,Forza Italia ,1999-2004,07-1999,male,centre-right
Fausto BERTINOTTI,2023,Italy,Confederal Group of the European United Left/Nordic Green Left,None,Partito della rifondazione comunista ,1999-2004,07-1999,male,left
Roberto Felice BIGLIARDO,4468,Italy,Technical Group of Independent Members,Union for Europe of the Nations Group ,Movimento sociale fiamma tricolore ,1999-2004,07-1999,male,Non aligned
Guido BODRATO,4399,Italy,European People's Party,None,Partito popolare italiano ,1999-2004,07-1999,male,centre-right
Emma BONINO,1566,Italy,Technical Group of Independent Members,Non-attached Members,Lista Emma Bonino ,1999-2004,07-1999,female,Non aligned
Enrico BOSELLI,4458,Italy,Socialist Group,None,Socialisti democratici italiani ,1999-2004,07-1999,male,centre-left
Umberto BOSSI,2036,Italy,Technical Group of Independent Members,None,Lega Nord per l'indipendenza della Padania ,1999-2004,07-1999,male,Non aligned
Giuseppe BRIENZA,21905,Italy,European People's Party,None,Centro cristiano democratico ,1999-2004,07-2001,male,centre-right
Renato BRUNETTA,4422,Italy,European People's Party,None,Forza Italia ,1999-2004,07-1999,male,centre-right
Rocco BUTTIGLIONE,4407,Italy,European People's Party,None,Cristiani democratici uniti ,1999-2004,07-1999,male,centre-right
Massimo CACCIARI,4405,Italy,"Group of the European Liberal, Democrat and Reform Party",None,I Democratici ,1999-2004,07-1999,male,centre
Marco CAPPATO,4740,Italy,Technical Group of Independent Members,Non-attached Members,Lista Emma Bonino ,1999-2004,07-1999,male,Non aligned
Massimo CARRARO,4417,Italy,Socialist Group,None,Democratici di Sinistra ,1999-2004,07-1999,male,centre-left
Pier Ferdinando CASINI,2189,Italy,European People's Party,None,Centro cristiano democratico ,1999-2004,07-1999,male,centre-right
Giorgio CELLI,4400,Italy,Group of the Greens/European Free Alliance,None,Federazione dei Verdi ,1999-2004,07-1999,male,centre-left
Luigi CESARO,4563,Italy,European People's Party,None,Forza Italia ,1999-2004,07-1999,male,centre-right
Luigi COCILOVO,4470,Italy,European People's Party,None,Partito popolare italiano ,1999-2004,07-1999,male,centre-right
Armando COSSUTTA,4401,Italy,Confederal Group of the European United Left/Nordic Green Left,None,Partito dei Comunisti Italiani ,1999-2004,07-1999,male,left
Paolo COSTA,4747,Italy,"Group of the European Liberal, Democrat and Reform Party",None,I Democratici ,1999-2004,07-1999,male,centre
Raffaele COSTA,4392,Italy,European People's Party,None,Forza Italia ,1999-2004,07-1999,male,centre-right
Gianfranco DELL'ALBA,2043,Italy,Technical Group of Independent Members,None,Lista Emma Bonino ,1999-2004,07-1999,male,Non aligned
Benedetto DELLA VEDOVA,4739,Italy,Technical Group of Independent Members,Non-attached Members,Lista Emma Bonino ,1999-2004,07-1999,male,Non aligned
Marcello DELL'UTRI,4394,Italy,European People's Party,None,Forza Italia ,1999-2004,07-1999,male,centre-right
Luigi Ciriaco DE MITA,1746,Italy,European People's Party,None,Partito popolare italiano ,1999-2004,07-1999,male,centre-right
Giuseppe DI LELLO FINUOLI,4464,Italy,Confederal Group of the European United Left/Nordic Green Left,None,Partito della rifondazione comunista ,1999-2004,07-1999,male,left
Antonio DI PIETRO,4404,Italy,"Group of the European Liberal, Democrat and Reform Party",None,I Democratici ,1999-2004,07-1999,male,centre
Olivier DUPUIS,2281,Italy,Technical Group of Independent Members,Non-attached Members,Lista Emma Bonino ,1999-2004,07-1999,male,Non aligned
Michl EBNER,2075,Italy,European People's Party,None,Südtiroler Volkspartei ,1999-2004,07-1999,male,centre-right
Carlo FATUZZO,4413,Italy,European People's Party,None,Partito Pensionati ,1999-2004,07-1999,male,centre-right
Claudio FAVA,4469,Italy,Socialist Group,None,Democratici di Sinistra ,1999-2004,07-1999,male,centre-left
Enrico FERRI,990,Italy,European People's Party,None,Forza Italia ,1999-2004,07-1999,male,centre-right
Gianfranco FINI,1007,Italy,Non-attached Members,Union for Europe of the Nations Group ,Alleanza nazionale ,1999-2004,07-1999,male,Non aligned
Francesco FIORI,4396,Italy,European People's Party,None,Forza Italia ,1999-2004,07-1999,male,centre-right
Raffaele FITTO,4465,Italy,European People's Party,None,Forza Italia ,1999-2004,07-1999,male,centre-right
Marco FORMENTINI,2038,Italy,Non-attached Members,"Group of the European Liberal, Democrat and Reform Party ",Lega Nord per l'indipendenza della Padania ,1999-2004,07-1999,male,Non aligned
Monica FRASSONI,4254,Italy,Group of the Greens/European Free Alliance,None,Ecolo ,1999-2004,07-1999,female,centre-left
Giuseppe GARGANI,4562,Italy,European People's Party,None,Forza Italia ,1999-2004,07-1999,male,centre-right
Jas GAWRONSKI,1113,Italy,European People's Party,None,Forza Italia ,1999-2004,07-1999,male,centre-right
Vitaliano GEMELLI,4463,Italy,European People's Party,None,Cristiani democratici uniti ,1999-2004,07-1999,male,centre-right
Fiorella GHILARDOTTI,2024,Italy,Socialist Group,None,Democratici di Sinistra ,1999-2004,07-1999,female,centre-left
Gian Paolo GOBBO,4741,Italy,Technical Group of Independent Members,None,Lega Nord per l'indipendenza della Padania ,1999-2004,07-1999,male,Non aligned
Renzo IMBENI,1106,Italy,Socialist Group,None,Democratici di Sinistra ,1999-2004,07-1999,male,centre-left
Vincenzo LAVARRA,4455,Italy,Socialist Group,None,Democratici di Sinistra ,1999-2004,07-1999,male,centre-left
Giorgio LISI,4748,Italy,European People's Party,None,Forza Italia ,1999-2004,07-1999,male,centre-right
Raffaele LOMBARDO,4472,Italy,European People's Party,None,Centro cristiano democratico ,1999-2004,07-1999,male,centre-right
Lucio MANISCO,2074,Italy,Confederal Group of the European United Left/Nordic Green Left,None,Partito dei Comunisti Italiani ,1999-2004,07-1999,male,left
Mario MANTOVANI,4395,Italy,European People's Party,None,Forza Italia ,1999-2004,07-1999,male,centre-right
Franco MARINI,4426,Italy,European People's Party,None,Partito popolare italiano ,1999-2004,07-1999,male,centre-right
Claudio MARTELLI,1602,Italy,Socialist Group,Non-attached Members,Socialisti democratici italiani ,1999-2004,07-1999,male,centre-left
Clemente MASTELLA,4462,Italy,European People's Party,None,Unione Democratici per l'Europa ,1999-2004,07-1999,male,centre-right
Mario MAURO,4393,Italy,European People's Party,None,Forza Italia ,1999-2004,07-1999,male,centre-right
Reinhold MESSNER,4419,Italy,Group of the Greens/European Free Alliance,None,Federazione dei Verdi ,1999-2004,07-1999,male,centre-left
Luisa MORGANTINI,4453,Italy,Confederal Group of the European United Left/Nordic Green Left,None,Partito della rifondazione comunista ,1999-2004,07-1999,female,left
Cristiana MUSCARDINI,1073,Italy,Non-attached Members,Union for Europe of the Nations Group ,Alleanza nazionale ,1999-2004,07-1999,female,Non aligned
Francesco MUSOTTO,4471,Italy,European People's Party,None,Forza Italia ,1999-2004,07-1999,male,centre-right
Antonio MUSSA,21951,Italy,Union for Europe of the Nations Group,None,Alleanza nazionale ,1999-2004,07-2001,male,right
Sebastiano (Nello) MUSUMECI,1944,Italy,Non-attached Members,Union for Europe of the Nations Group ,Alleanza nazionale ,1999-2004,07-1999,male,Non aligned
Pasqualina NAPOLETANO,1065,Italy,Socialist Group,None,Democratici di Sinistra ,1999-2004,07-1999,female,centre-left
Giorgio NAPOLITANO,1103,Italy,Socialist Group,None,Democratici di Sinistra ,1999-2004,07-1999,male,centre-left
Giuseppe NISTICO',4749,Italy,European People's Party,None,Forza Italia ,1999-2004,07-1999,male,centre-right
Mauro NOBILIA,4744,Italy,Non-attached Members,Union for Europe of the Nations Group ,Alleanza nazionale ,1999-2004,07-1999,male,Non aligned
Elena Ornella PACIOTTI,4415,Italy,Socialist Group,None,Democratici di Sinistra ,1999-2004,07-1999,female,centre-left
Marco PANNELLA,1002,Italy,Technical Group of Independent Members,Non-attached Members,Lista Emma Bonino ,1999-2004,07-1999,male,Non aligned
Giuseppe PISICCHIO,4456,Italy,European People's Party,None,Rinnovamento italiano - Dini ,1999-2004,07-1999,male,centre-right
Gianni PITTELLA,4436,Italy,Socialist Group,None,Democratici di Sinistra ,1999-2004,07-1999,male,centre-left
Guido PODESTÀ,2046,Italy,European People's Party,None,Forza Italia ,1999-2004,07-1999,male,centre-right
Adriana POLI BORTONE,4467,Italy,Non-attached Members,Union for Europe of the Nations Group ,Alleanza nazionale ,1999-2004,07-1999,female,Non aligned
Giovanni PROCACCI,4460,Italy,"Group of the European Liberal, Democrat and Reform Party",None,I Democratici ,1999-2004,07-1999,male,centre
Giorgio RUFFOLO,714,Italy,Socialist Group,None,Democratici di Sinistra ,1999-2004,07-1999,male,centre-left
Francesco RUTELLI,4431,Italy,"Group of the European Liberal, Democrat and Reform Party",None,I Democratici ,1999-2004,07-1999,male,centre
Guido SACCONI,4425,Italy,Socialist Group,None,Democratici di Sinistra ,1999-2004,07-1999,male,centre-left
Amalia SARTORI,4423,Italy,European People's Party,None,Forza Italia ,1999-2004,07-1999,female,centre-right
Luciana SBARBATI,4428,Italy,"Group of the European Liberal, Democrat and Reform Party",None,Partito repubblicano italiano ,1999-2004,07-1999,female,centre
Umberto SCAPAGNINI,2194,Italy,European People's Party,None,Forza Italia ,1999-2004,07-1999,male,centre-right
Mariotto SEGNI,2027,Italy,Non-attached Members,Union for Europe of the Nations Group ,Patto Segni ,1999-2004,07-1999,male,Non aligned
Vittorio SGARBI,4421,Italy,European People's Party,None,Forza Italia ,1999-2004,07-1999,male,centre-right
Francesco Enrico SPERONI,997,Italy,Technical Group of Independent Members,None,Lega Nord per l'indipendenza della Padania ,1999-2004,07-1999,male,Non aligned
Antonio TAJANI,2187,Italy,European People's Party,None,Forza Italia ,1999-2004,07-1999,male,centre-right
Bruno TRENTIN,4397,Italy,Socialist Group,None,Democratici di Sinistra ,1999-2004,07-1999,male,centre-left
Franz TURCHI,4742,Italy,Non-attached Members,Union for Europe of the Nations Group ,Alleanza nazionale ,1999-2004,07-1999,male,Non aligned
Maurizio TURCO,4745,Italy,Technical Group of Independent Members,Non-attached Members,Lista Emma Bonino ,1999-2004,07-1999,male,Non aligned
Gianni VATTIMO,4398,Italy,Socialist Group,None,Democratici di Sinistra ,1999-2004,07-1999,male,centre-left
Walter VELTRONI,4424,Italy,Socialist Group,None,Democratici di Sinistra ,1999-2004,07-1999,male,centre-left
Guido VICECONTE,2197,Italy,European People's Party,None,Forza Italia ,1999-2004,07-1999,male,centre-right
Luigi VINCI,1957,Italy,Confederal Group of the European United Left/Nordic Green Left,None,Partito della rifondazione comunista ,1999-2004,07-1999,male,left
Demetrio VOLCIC,4418,Italy,Socialist Group,None,Democratici di Sinistra ,1999-2004,07-1999,male,centre-left
Stefano ZAPPALA',4433,Italy,European People's Party,None,Forza Italia ,1999-2004,07-1999,male,centre-right
Pietro-Paolo MENNEA,4711,Italy,"Group of the European Liberal, Democrat and Reform Party",Group of the European People's Party (Christian Democrats) and European Democrats ,I Democratici ,1999-2004,07-1999,male,centre
Vittorio AGNOLETTO,28975,Italy,Confederal Group of the European United Left,None,Partito della Rifondazione Comunista - Sinistra Europea ,2004-2009,07-2004,male,left
Gabriele ALBERTINI,28367,Italy,European People's Party,None,Forza Italia ,2004-2009,07-2004,male,centre-right
Alfonso ANDRIA,28363,Italy,Group of the Alliance of Liberals and Democrats for Europe,None,Uniti nell'Ulivo ,2004-2009,07-2004,male,centre
Roberta ANGELILLI,1941,Italy,Union for Europe of the Nations Group,None,Alleanza nazionale ,2004-2009,07-2004,female,right
Alfredo ANTONIOZZI,28422,Italy,European People's Party,None,Forza Italia ,2004-2009,07-2004,male,centre-right
Alessandro BATTILOCCHIO,28427,Italy,Non-attached Members,Socialist Group in the European Parliament ,Partito Socialista Nuovo PSI ,2004-2009,07-2004,male,Non aligned
Sergio BERLATO,4746,Italy,Union for Europe of the Nations Group,None,Alleanza nazionale ,2004-2009,07-2004,male,right
Giovanni BERLINGUER,28369,Italy,Socialist Group,None,Democratici di Sinistra ,2004-2009,07-2004,male,centre-left
Pier Luigi BERSANI,28329,Italy,Socialist Group,None,Uniti nell'Ulivo ,2004-2009,07-2004,male,centre-left
Fausto BERTINOTTI,2023,Italy,Confederal Group of the European United Left,None,Partito della Rifondazione Comunista - Sinistra Europea ,2004-2009,07-2004,male,left
Emma BONINO,1566,Italy,Group of the Alliance of Liberals and Democrats for Europe,None,Lista Emma Bonino ,2004-2009,07-2004,female,centre
Vito BONSIGNORE,29074,Italy,European People's Party,None,Unione dei Democratici cristiani e dei Democratici di Centro ,2004-2009,07-2004,male,centre-right
Mario BORGHEZIO,21817,Italy,Independence/Democracy Group,None,Lega Nord per l'indipendenza della Padania ,2004-2009,07-2004,male,right
Umberto BOSSI,2036,Italy,Independence/Democracy Group,Non-attached Members,Lega Nord per l'indipendenza della Padania ,2004-2009,07-2004,male,right
Iles BRAGHETTO,34174,Italy,European People's Party,None,Unione dei Democratici cristiani e dei Democratici di Centro ,2004-2009,07-2005,male,centre-right
Mercedes BRESSO,28346,Italy,Socialist Group,None,Democratici di Sinistra ,2004-2009,07-2004,female,centre-left
Renato BRUNETTA,4422,Italy,European People's Party,None,Forza Italia ,2004-2009,07-2004,male,centre-right
Giorgio CAROLLO,28415,Italy,European People's Party,None,Forza Italia ,2004-2009,07-2004,male,centre-right
Giuseppe CASTIGLIONE,28459,Italy,European People's Party,None,Forza Italia ,2004-2009,07-2004,male,centre-right
Giusto CATANIA,28979,Italy,Confederal Group of the European United Left,None,Partito della Rifondazione Comunista - Sinistra Europea ,2004-2009,07-2004,male,left
Lorenzo CESA,28451,Italy,European People's Party,None,Unione dei Democratici cristiani e dei Democratici di Centro ,2004-2009,07-2004,male,centre-right
Giulietto CHIESA,28973,Italy,Group of the Alliance of Liberals and Democrats for Europe,Socialist Group in the European Parliament ,Italia dei Valori ,2004-2009,07-2004,male,centre
Paolo CIRINO POMICINO,28978,Italy,European People's Party,None,Alleanza Popolare - Unione Democratici per l'Europa ,2004-2009,07-2004,male,centre-right
Luigi COCILOVO,4470,Italy,Group of the Alliance of Liberals and Democrats for Europe,None,La Margherita ,2004-2009,07-2004,male,centre
Paolo COSTA,4747,Italy,Group of the Alliance of Liberals and Democrats for Europe,None,Uniti nell'Ulivo ,2004-2009,07-2004,male,centre
Massimo D'ALEMA,28431,Italy,Socialist Group,None,Democratici di Sinistra ,2004-2009,07-2004,male,centre-left
Ottaviano DEL TURCO,28432,Italy,Socialist Group,None,Uniti nell'Ulivo ,2004-2009,07-2004,male,centre-left
Gianni DE MICHELIS,28452,Italy,Non-attached Members,Socialist Group in the European Parliament ,Partito Socialista Nuovo PSI ,2004-2009,07-2004,male,Non aligned
Antonio DE POLI,28417,Italy,European People's Party,None,Unione dei Democratici cristiani e dei Democratici di Centro ,2004-2009,07-2004,male,centre-right
Armando DIONISI,28426,Italy,European People's Party,None,Unione dei Democratici cristiani e dei Democratici di Centro ,2004-2009,07-2004,male,centre-right
Antonio DI PIETRO,4404,Italy,Group of the Alliance of Liberals and Democrats for Europe,None,Italia dei Valori ,2004-2009,07-2004,male,centre
Beniamino DONNICI,38399,Italy,Group of the Alliance of Liberals and Democrats for Europe,None,Italia dei Valori ,2004-2009,03-2007,male,centre
