fullName,id,country,eu_group_1,eu_group_2,nation_group,term,start_period_1,gender,orientation,mandate_length
Daniel CASPARY,28219,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Pilar del CASTILLO VERA,28390,Spain,European People's Party,None,Partido Popular,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Jean-Marie CAVADA,28206,France,European People's Party,None,Nouveau Centre,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Nessa CHILDERS,96603,Ireland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Non-attached Members,Labour Party,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Ole CHRISTENSEN,28154,Denmark,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Socialdemokratiet,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Carlos COELHO,1892,Portugal,European People's Party,None,Partido Social Democrata,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Sergio Gaetano COFFERATI,96915,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Lara COMI,96775,Italy,European People's Party,None,Il Popolo della Libertà,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Anna Maria CORAZZA BILDT,96674,Sweden,European People's Party,None,Moderata Samlingspartiet,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Silvia COSTA,96917,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Andrea COZZOLINO,96880,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Michael CRAMER,28238,Germany,Group of the Greens/European Free Alliance,None,Bündnis 90/Die Grünen,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Corina CREȚU,33997,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partidul Social Democrat,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Brian CROWLEY,2109,Ireland,Group of the Alliance of Liberals and Democrats for Europe,None,Fianna Fáil Party,2009-2014,07-2009,male,centre,2 terms (7-8)
Ryszard CZARNECKI,28372,Poland,European Conservatives and Reformists Group,None,Prawo i Sprawiedliwość,2009-2014,07-2009,male,right,2 terms (7-8)
Peter van DALEN,96809,Netherlands,European Conservatives and Reformists Group,None,ChristenUnie - Staatkundig Gereformeerde Parti,2009-2014,07-2009,male,right,2 terms (7-8)
Viorica DĂNCILĂ,95281,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partidul Social Democrat,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Arnaud DANJEAN,96747,France,European People's Party,None,Union pour un Mouvement Populaire,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Michel DANTIN,97296,France,European People's Party,None,Union pour un Mouvement Populaire,2009-2014,07-2009,male,centre-right,2 terms (7-8)
William (The Earl of) DARTMOUTH,96958,United Kingdom,Europe of freedom and democracy Group,None,United Kingdom Independence Party,2009-2014,07-2009,male,right,2 terms (7-8)
Rachida DATI,72775,France,European People's Party,None,Union pour un Mouvement Populaire,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Paolo DE CASTRO,96891,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Karima DELLI,96868,France,Group of the Greens/European Free Alliance,None,Europe Écologie,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Marielle DE SARNEZ,4335,France,Group of the Alliance of Liberals and Democrats for Europe,None,Mouvement Démocrate,2009-2014,07-2009,female,centre,2 terms (7-8)
Albert DESS,28228,Germany,European People's Party,None,Christlich-Soziale Union in Bayern e.V.,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Tamás DEUTSCH,96826,Hungary,European People's Party,None,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Agustín DÍAZ DE MERA GARCÍA CONSUEGRA,28397,Spain,European People's Party,None,Partido Popular,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Diane DODDS,96951,United Kingdom,Non-attached Members,None,Democratic Unionist Party,2009-2014,07-2009,female,Non aligned,2 terms (7-8)
Herbert DORFMANN,96787,Italy,European People's Party,None,Südtiroler Volkspartei,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Christian EHLER,28226,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Bas EICKHOUT,96725,Netherlands,Group of the Greens/European Free Alliance,None,GroenLinks,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Frank ENGEL,96876,Luxembourg,European People's Party,None,Parti chrétien social luxembourgeois,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Cornelia ERNST,96852,Germany,Confederal Group of the European United Left,None,DIE LINKE.,2009-2014,07-2009,female,left,2 terms (7-8)
Ismail ERTUG,96842,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Deutschlands,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Rosa ESTARÀS FERRAGUT,96811,Spain,European People's Party,None,Partido Popular,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Jill EVANS,4550,United Kingdom,Group of the Greens/European Free Alliance,None,Plaid Cymru - Party of Wales,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Tanja FAJON,96911,Slovenia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Socialni demokrati,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Nigel FARAGE,4525,United Kingdom,Europe of freedom and democracy Group,None,United Kingdom Independence Party,2009-2014,07-2009,male,right,2 terms (7-8)
Markus FERBER,1917,Germany,European People's Party,None,Christlich-Soziale Union in Bayern e.V.,2009-2014,07-2009,male,centre-right,2 terms (7-8)
José Manuel FERNANDES,96899,Portugal,European People's Party,None,Partido Social Democrata,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Elisa FERREIRA,28308,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partido Socialista,2009-2014,07-2009,female,centre-left,2 terms (7-8)
João FERREIRA,96706,Portugal,Confederal Group of the European United Left,None,Partido Comunista Português,2009-2014,07-2009,male,left,2 terms (7-8)
Santiago FISAS AYXELÀ,96729,Spain,European People's Party,None,Partido Popular,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Christofer FJELLNER,28126,Sweden,European People's Party,None,Moderata Samlingspartiet,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Knut FLECKENSTEIN,96840,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Deutschlands,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Karl-Heinz FLORENZ,1038,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Lorenzo FONTANA,96993,Italy,Europe of freedom and democracy Group,None,Lega Nord,2009-2014,07-2009,male,right,2 terms (7-8)
Vicky FORD,96949,United Kingdom,European Conservatives and Reformists Group,None,Conservative Party,2009-2014,07-2009,female,right,2 terms (7-8)
Jacqueline FOSTER,4553,United Kingdom,European Conservatives and Reformists Group,None,Conservative Party,2009-2014,07-2009,female,right,2 terms (7-8)
Ashley FOX,96957,United Kingdom,European Conservatives and Reformists Group,None,Conservative Party,2009-2014,07-2009,female,right,2 terms (7-8)
Mariya GABRIEL,96848,Bulgaria,European People's Party,None,Citizens for European Development of Bulgaria,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Michael GAHLER,2341,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Kinga GÁL,28150,Hungary,European People's Party,None,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Iratxe GARCÍA PÉREZ,28298,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partido Socialista Obrero Español,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Eider GARDIAZABAL RUBIAL,96991,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partido Socialista Obrero Español,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Elisabetta GARDINI,58758,Italy,European People's Party,None,Il Popolo della Libertà,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Evelyne GEBHARDT,1913,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Deutschlands,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Jens GEIER,96833,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Deutschlands,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Lidia Joanna GERINGER DE OEDENBERG,28377,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sojusz Lewicy Demokratycznej,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Sven GIEGOLD,96730,Germany,Group of the Greens/European Free Alliance,None,Bündnis 90/Die Grünen,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Adam GIEREK,28379,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Unia Pracy,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Julie GIRLING,96956,United Kingdom,European Conservatives and Reformists Group,None,Conservative Party,2009-2014,07-2009,female,right,2 terms (7-8)
Charles GOERENS,840,Luxembourg,Group of the Alliance of Liberals and Democrats for Europe,None,Parti démocratique,2009-2014,07-2009,male,centre,2 terms (7-8)
Bruno GOLLNISCH,1164,France,Non-attached Members,None,Front national,2009-2014,07-2009,male,Non aligned,2 terms (7-8)
Ana GOMES,28306,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partido Socialista,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Sylvie GOULARD,97137,France,Group of the Alliance of Liberals and Democrats for Europe,None,Mouvement Démocrate,2009-2014,07-2009,female,centre,2 terms (7-8)
Luis de GRANDES PASCUAL,28393,Spain,European People's Party,None,Partido Popular,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Ingeborg GRÄSSLE,28220,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Nathalie GRIESBECK,28208,France,Group of the Alliance of Liberals and Democrats for Europe,None,Mouvement Démocrate,2009-2014,07-2009,female,centre,2 terms (7-8)
Marek Józef GRÓBARCZYK,96790,Poland,European Conservatives and Reformists Group,None,Prawo i Sprawiedliwość,2009-2014,07-2009,male,right,2 terms (7-8)
Matthias GROOTE,34728,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Deutschlands,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Françoise GROSSETÊTE,2025,France,European People's Party,None,Union pour un Mouvement Populaire,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Andrzej GRZYB,23785,Poland,European People's Party,None,Polskie Stronnictwo Ludowe,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Roberto GUALTIERI,96892,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Enrique GUERRERO SALOM,96768,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partido Socialista Obrero Español,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Sylvie GUILLAUME,96952,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Parti socialiste,2009-2014,07-2009,female,centre-left,2 terms (7-8)
András GYÜRK,23816,Hungary,European People's Party,None,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Takis HADJIGEORGIOU,96907,Cyprus,Confederal Group of the European United Left,None,Progressive Party of Working People - Left - New Forces,2009-2014,07-2009,male,left,2 terms (7-8)
Thomas HÄNDEL,96851,Germany,Confederal Group of the European United Left,None,DIE LINKE.,2009-2014,07-2009,male,left,2 terms (7-8)
Daniel HANNAN,4555,United Kingdom,European Conservatives and Reformists Group,None,Conservative Party,2009-2014,07-2009,male,right,2 terms (7-8)
Marian HARKIN,28116,Ireland,Group of the Alliance of Liberals and Democrats for Europe,None,-,2009-2014,07-2009,female,centre,2 terms (7-8)
Rebecca HARMS,28233,Germany,Group of the Greens/European Free Alliance,None,Bündnis 90/Die Grünen,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Martin HÄUSLING,96752,Germany,Group of the Greens/European Free Alliance,None,Bündnis 90/Die Grünen,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Heidi HAUTALA,2054,Finland,Group of the Greens/European Free Alliance,None,Vihreä liitto,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Anna HEDH,28131,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Arbetarepartiet- Socialdemokraterna,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Roger HELMER,4516,United Kingdom,European Conservatives and Reformists Group,Europe of freedom and democracy Group ,Conservative Party,2009-2014,07-2009,male,right,2 terms (7-8)
Esther HERRANZ GARCÍA,22418,Spain,European People's Party,None,Partido Popular,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Monika HOHLMEIER,96780,Germany,European People's Party,None,Christlich-Soziale Union in Bayern e.V.,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Gunnar HÖKMARK,28124,Sweden,European People's Party,None,Moderata Samlingspartiet,2009-2014,07-2009,male,centre-right,2 terms (7-8)
