fullName,id,country,eu_group_1,eu_group_2,nation_group,term,start_period_1,gender,orientation,mandate_length
Verónica LOPE FONTAGNÉ,96765,Spain,European People's Party,None,Partido Popular,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Juan Fernando LÓPEZ AGUILAR,96812,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partido Socialista Obrero Español,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Antonio LÓPEZ-ISTÚRIZ WHITE,28399,Spain,European People's Party,None,Partido Popular,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Sabine LÖSING,96854,Germany,Confederal Group of the European United Left,None,DIE LINKE.,2009-2014,07-2009,female,left,2 terms (7-8)
Isabella LÖVIN,96675,Sweden,Group of the Greens/European Free Alliance,None,Miljöpartiet de gröna,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Olle LUDVIGSSON,96673,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Arbetarepartiet- Socialdemokraterna,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Elżbieta Katarzyna ŁUKACIJEWSKA,96791,Poland,European People's Party,None,Platforma Obywatelska,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Ulrike LUNACEK,97017,Austria,Group of the Greens/European Free Alliance,None,Die Grünen - Die Grüne Alternative,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Linda McAVAN,2327,United Kingdom,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Labour Party,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Emma McCLARKIN,96919,United Kingdom,European Conservatives and Reformists Group,None,Conservative Party,2009-2014,07-2009,female,right,2 terms (7-8)
Mairead McGUINNESS,28115,Ireland,European People's Party,None,Fine Gael Party,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Monica MACOVEI,96824,Romania,European People's Party,None,Partidul Democrat-Liberal,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Ramona Nicole MĂNESCU,39717,Romania,Group of the Alliance of Liberals and Democrats for Europe,None,Partidul Naţional Liberal,2009-2014,07-2009,female,centre,2 terms (7-8)
Vladimír MAŇKA,28192,Slovakia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,SMER-Sociálna demokracia,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Thomas MANN,1922,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,2 terms (7-8)
David MARTIN,1403,United Kingdom,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Labour Party,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Jiří MAŠTÁLKA,23704,Czechia,Confederal Group of the European United Left,None,Komunistická strana Čech a Moravy,2009-2014,07-2009,male,left,2 terms (7-8)
Barbara MATERA,96813,Italy,European People's Party,None,Il Popolo della Libertà,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Marisa MATIAS,96820,Portugal,Confederal Group of the European United Left,None,Bloco de Esquerda,2009-2014,07-2009,female,left,2 terms (7-8)
Gabriel MATO,96936,Spain,European People's Party,None,Partido Popular,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Gesine MEISSNER,96870,Germany,Group of the Alliance of Liberals and Democrats for Europe,None,Freie Demokratische Partei,2009-2014,07-2009,female,centre,2 terms (7-8)
Jean-Luc MÉLENCHON,96742,France,Confederal Group of the European United Left,None,Front de gauche pour changer d’Europe,2009-2014,07-2009,male,left,2 terms (7-8)
Nuno MELO,96978,Portugal,European People's Party,None,Partido Popular,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Morten MESSERSCHMIDT,96663,Denmark,Europe of freedom and democracy Group,None,Dansk Folkeparti,2009-2014,07-2009,male,right,2 terms (7-8)
Willy MEYER,28407,Spain,Confederal Group of the European United Left,None,Izquierda Unida,2009-2014,07-2009,male,left,2 terms (7-8)
Louis MICHEL,96670,Belgium,Group of the Alliance of Liberals and Democrats for Europe,None,Mouvement Réformateur,2009-2014,07-2009,male,centre,2 terms (7-8)
Miroslav MIKOLÁŠIK,28178,Slovakia,European People's Party,None,Kresťanskodemokratické hnutie,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Francisco José MILLÁN MON,28400,Spain,European People's Party,None,Partido Popular,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Claude MORAES,4519,United Kingdom,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Labour Party,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Elisabeth MORIN-CHARTIER,38596,France,European People's Party,None,Union pour un Mouvement Populaire,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Krisztina MORVAI,96661,Hungary,Non-attached Members,None,Jobbik Magyarországért Mozgalom,2009-2014,07-2009,female,Non aligned,2 terms (7-8)
Norbert NEUSER,96844,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Deutschlands,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Annemie NEYTS-UYTTEBROECK,1946,Belgium,Group of the Alliance of Liberals and Democrats for Europe,None,Open Vlaamse Liberalen en Democraten,2009-2014,07-2009,female,centre,2 terms (7-8)
James NICHOLSON,1318,United Kingdom,European Conservatives and Reformists Group,None,Ulster Conservatives and Unionists-New Force,2009-2014,07-2009,male,right,2 terms (7-8)
Norica NICOLAI,96825,Romania,Group of the Alliance of Liberals and Democrats for Europe,None,Partidul Naţional Liberal,2009-2014,07-2009,female,centre,2 terms (7-8)
Angelika NIEBLER,4289,Germany,European People's Party,None,Christlich-Soziale Union in Bayern e.V.,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Lambert van NISTELROOIJ,28165,Netherlands,European People's Party,None,Christen Democratisch Appèl,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Paul NUTTALL,96805,United Kingdom,Europe of freedom and democracy Group,None,United Kingdom Independence Party,2009-2014,07-2009,male,right,2 terms (7-8)
Franz OBERMAYR,96981,Austria,Non-attached Members,None,Freiheitliche Partei Österreichs,2009-2014,07-2009,male,Non aligned,2 terms (7-8)
Jan OLBRYCHT,28288,Poland,European People's Party,None,Platforma Obywatelska,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Rolandas PAKSAS,96694,Lithuania,Europe of freedom and democracy Group,None,Partija Tvarka ir teisingumas,2009-2014,07-2009,male,right,2 terms (7-8)
Pier Antonio PANZERI,28365,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Gilles PARGNEAUX,96948,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Parti socialiste,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Ioan Mircea PAŞCU,33984,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partidul Social Democrat,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Aldo PATRICIELLO,36392,Italy,European People's Party,None,Il Popolo della Libertà,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Marit PAULSEN,4270,Sweden,Group of the Alliance of Liberals and Democrats for Europe,None,Folkpartiet liberalerna,2009-2014,07-2009,female,centre,2 terms (7-8)
Vincent PEILLON,28166,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Parti socialiste,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Alojz PETERLE,23693,Slovenia,European People's Party,None,Nova Slovenija - Krščanska ljudska stranka,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Markus PIEPER,28224,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Sirpa PIETIKÄINEN,40599,Finland,European People's Party,None,Kansallinen Kokoomus,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Mirosław PIOTROWSKI,28341,Poland,European Conservatives and Reformists Group,None,Prawo i Sprawiedliwość,2009-2014,07-2009,male,right,2 terms (7-8)
Gianni PITTELLA,4436,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Pavel POC,96715,Czechia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Česká strana sociálně demokratická,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Maurice PONGA,96931,France,European People's Party,None,Union pour un Mouvement Populaire,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Tomasz Piotr PORĘBA,96801,Poland,European Conservatives and Reformists Group,None,Prawo i Sprawiedliwość,2009-2014,07-2009,male,right,2 terms (7-8)
Cristian Dan PREDA,96838,Romania,European People's Party,None,Partidul Democrat-Liberal,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Godelieve QUISTHOUDT-ROWOHL,1055,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Paulo RANGEL,96903,Portugal,European People's Party,None,Partido Social Democrata,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Miloslav RANSDORF,23706,Czechia,Confederal Group of the European United Left,None,Komunistická strana Čech a Moravy,2009-2014,07-2009,male,left,2 terms (7-8)
Evelyn REGNER,96998,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Österreichs,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Herbert REUL,28225,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Frédérique RIES,4253,Belgium,Group of the Alliance of Liberals and Democrats for Europe,None,Mouvement Réformateur,2009-2014,07-2009,female,centre,2 terms (7-8)
Dominique RIQUET,96885,France,European People's Party,None,Union pour un Mouvement Populaire - Parti Radical,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Michèle RIVASI,96743,France,Group of the Greens/European Free Alliance,None,Europe Écologie,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Robert ROCHEFORT,97022,France,Group of the Alliance of Liberals and Democrats for Europe,None,Mouvement Démocrate,2009-2014,07-2009,male,centre,2 terms (7-8)
Ulrike RODUST,93624,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Deutschlands,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Jens ROHDE,96710,Denmark,Group of the Alliance of Liberals and Democrats for Europe,None,"Venstre, Danmarks Liberale Parti",2009-2014,07-2009,male,centre,2 terms (7-8)
Paul RÜBIG,2278,Austria,European People's Party,None,Österreichische Volkspartei,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Tokia SAÏFI,4345,France,European People's Party,None,Union pour un Mouvement Populaire - Parti Radical,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Matteo SALVINI,28404,Italy,Europe of freedom and democracy Group,None,Lega Nord,2009-2014,07-2009,male,right,2 terms (7-8)
Daciana Octavia SÂRBU,33989,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partidul Social Democrat,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Judith SARGENTINI,96815,Netherlands,Group of the Greens/European Free Alliance,None,GroenLinks,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Jacek SARYUSZ-WOLSKI,28297,Poland,European People's Party,None,Platforma Obywatelska,2009-2014,07-2009,male,centre-right,2 terms (7-8)
David Maria SASSOLI,96864,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Algirdas SAUDARGAS,96696,Lithuania,European People's Party,None,Tėvynės sąjunga - Lietuvos krikščionys demokratai,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Marietje SCHAAKE,96945,Netherlands,Group of the Alliance of Liberals and Democrats for Europe,None,Democraten 66,2009-2014,07-2009,female,centre,2 terms (7-8)
Christel SCHALDEMOSE,37312,Denmark,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Socialdemokratiet,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Helmut SCHOLZ,96646,Germany,Confederal Group of the European United Left,None,DIE LINKE.,2009-2014,07-2009,male,left,2 terms (7-8)
György SCHÖPFLIN,28135,Hungary,European People's Party,None,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Martin SCHULZ,1911,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Deutschlands,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Andreas SCHWAB,28223,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Olga SEHNALOVÁ,96718,Czechia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Česká strana sociálně demokratická,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Czesław Adam SIEKIERSKI,23787,Poland,European People's Party,None,Polskie Stronnictwo Ludowe,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Peter SIMON,96836,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Deutschlands,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Birgit SIPPEL,96932,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Deutschlands,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Alyn SMITH,28508,United Kingdom,Group of the Greens/European Free Alliance,None,Scottish National Party,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Monika SMOLKOVÁ,96655,Slovakia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,SMER-Sociálna demokracia,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Csaba SÓGOR,39724,Romania,European People's Party,None,Uniunea Democrată Maghiară din România,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Renate SOMMER,4282,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Francisco SOSA WAGNER,97170,Spain,Non-attached Members,None,"Unión, Progreso y Democracia",2009-2014,07-2009,male,Non aligned,2 terms (7-8)
Bart STAES,4751,Belgium,Group of the Greens/European Free Alliance,None,Groen,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Jutta STEINRUCK,96831,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Deutschlands,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Catherine STIHLER,4545,United Kingdom,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Labour Party,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Theodor Dumitru STOLOJAN,39721,Romania,European People's Party,None,Partidul Democrat-Liberal,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Kay SWINBURNE,96920,United Kingdom,European Conservatives and Reformists Group,None,Conservative Party,2009-2014,07-2009,female,right,2 terms (7-8)
József SZÁJER,23821,Hungary,European People's Party,None,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Claudiu Ciprian TĂNĂSESCU,96847,Romania,Non-attached Members,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,Partidul România Mare,2009-2014,07-2009,male,Non aligned,2 terms (7-8)
Timothy Charles Ayrton TANNOCK,4521,United Kingdom,European Conservatives and Reformists Group,None,Conservative Party,2009-2014,07-2009,male,right,2 terms (7-8)
Marc TARABELLA,29579,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Parti Socialiste,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Indrek TARAND,97136,Estonia,Group of the Greens/European Free Alliance,None,Sõltumatu,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Eleni THEOCHAROUS,25704,Cyprus,European People's Party,None,Democratic Rally,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Michael THEURER,96871,Germany,Group of the Alliance of Liberals and Democrats for Europe,None,Freie Demokratische Partei,2009-2014,07-2009,male,centre,2 terms (7-8)
Róża THUN UND HOHENSTEIN,96776,Poland,European People's Party,None,Platforma Obywatelska,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Marianne THYSSEN,1832,Belgium,European People's Party,None,Christen-Democratisch & Vlaams,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Patrizia TOIA,28340,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2009-2014,07-2009,female,centre-left,2 terms (7-8)
László TŐKÉS,39726,Hungary,European People's Party,None,Uniunea Democrată Maghiară din România,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Waldemar TOMASZEWSKI,96697,Lithuania,European Conservatives and Reformists Group,None,Lietuvos lenkų rinkimų akcija,2009-2014,07-2009,male,right,2 terms (7-8)
Ramon TREMOSA i BALCELLS,97203,Spain,Group of the Alliance of Liberals and Democrats for Europe,None,Coalición por Europa,2009-2014,07-2009,male,centre,2 terms (7-8)
Helga TRÜPEL,28240,Germany,Group of the Greens/European Free Alliance,None,Bündnis 90/Die Grünen,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Claude TURMES,4432,Luxembourg,Group of the Greens/European Free Alliance,None,Déi Gréng - Les Verts,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Marita ULVSKOG,96672,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Arbetarepartiet- Socialdemokraterna,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Traian UNGUREANU,96835,Romania,European People's Party,None,Partidul Democrat-Liberal,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Vladimir URUTCHEV,38601,Bulgaria,European People's Party,None,Citizens for European Development of Bulgaria,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Viktor USPASKICH,96698,Lithuania,Group of the Alliance of Liberals and Democrats for Europe,None,Darbo partija,2009-2014,07-2009,male,centre,2 terms (7-8)
Ivo VAJGL,97019,Slovenia,Group of the Alliance of Liberals and Democrats for Europe,None,ZARES-Nova Politika,2009-2014,07-2009,male,centre,2 terms (7-8)
Adina-Ioana VĂLEAN,37324,Romania,Group of the Alliance of Liberals and Democrats for Europe,None,Partidul Naţional Liberal,2009-2014,07-2009,female,centre,2 terms (7-8)
Kathleen VAN BREMPT,5729,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Socialistische Partij.Anders,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Geoffrey VAN ORDEN,4513,United Kingdom,European Conservatives and Reformists Group,None,Conservative Party,2009-2014,07-2009,male,right,2 terms (7-8)
Derek VAUGHAN,96918,United Kingdom,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Labour Party,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Marie-Christine VERGIAT,96858,France,Confederal Group of the European United Left,None,Front de gauche pour changer d’Europe,2009-2014,07-2009,female,left,2 terms (7-8)
Sabine VERHEYEN,96756,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Guy VERHOFSTADT,97058,Belgium,Group of the Alliance of Liberals and Democrats for Europe,None,Open Vlaamse Liberalen en Democraten,2009-2014,07-2009,male,centre,2 terms (7-8)
Axel VOSS,96761,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Jarosław WAŁĘSA,96774,Poland,European People's Party,None,Platforma Obywatelska,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Manfred WEBER,28229,Germany,European People's Party,None,Christlich-Soziale Union in Bayern e.V.,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Renate WEBER,39713,Romania,Group of the Alliance of Liberals and Democrats for Europe,None,Partidul Naţional Liberal,2009-2014,07-2009,female,centre,2 terms (7-8)
Kerstin WESTPHAL,96839,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Deutschlands,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Rainer WIELAND,2323,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Cecilia WIKSTRÖM,96677,Sweden,Group of the Alliance of Liberals and Democrats for Europe,None,Folkpartiet liberalerna,2009-2014,07-2009,female,centre,2 terms (7-8)
Dame Glenis WILLMOTT,35743,United Kingdom,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Labour Party,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Hermann WINKLER,96764,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Iuliu WINKLER,39725,Romania,European People's Party,None,Uniunea Democrată Maghiară din România,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Janusz WOJCIECHOWSKI,23784,Poland,European Conservatives and Reformists Group,None,Prawo i Sprawiedliwość,2009-2014,07-2009,male,right,2 terms (7-8)
Anna ZÁBORSKÁ,23894,Slovakia,European People's Party,None,Kresťanskodemokratické hnutie,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Jan ZAHRADIL,23712,Czechia,European Conservatives and Reformists Group,None,Občanská demokratická strana,2009-2014,07-2009,male,right,2 terms (7-8)
Boris ZALA,96656,Slovakia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,SMER-Sociálna demokracia,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Pablo ZALBA BIDEGAIN,96763,Spain,European People's Party,None,Partido Popular,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Tatjana ŽDANOKA,28619,Latvia,Group of the Greens/European Free Alliance,None,Par cilvēka tiesībām vienotā Latvijā,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Joachim ZELLER,96762,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Janusz ZEMKE,96784,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sojusz Lewicy Demokratycznej,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Roberts ZĪLE,28615,Latvia,European Conservatives and Reformists Group,None,Tēvzemei un Brīvībai/LNNK,2009-2014,07-2009,male,right,2 terms (7-8)
Gabriele ZIMMER,28248,Germany,Confederal Group of the European United Left,None,DIE LINKE.,2009-2014,07-2009,male,left,2 terms (7-8)
Milan ZVER,96933,Slovenia,European People's Party,None,Slovenska demokratska stranka,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Tadeusz ZWIEFKA,28301,Poland,European People's Party,None,Platforma Obywatelska,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Nirj DEVA,4556,United Kingdom,European Conservatives and Reformists Group,None,Conservative Party,2009-2014,07-2009,male,right,2 terms (7-8)
Gerben-Jan GERBRANDY,96940,Netherlands,Group of the Alliance of Liberals and Democrats for Europe,None,Democraten 66,2009-2014,07-2009,male,centre,2 terms (7-8)
Dieter-Lebrecht KOCH,1852,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Marian-Jean MARINESCU,33982,Romania,European People's Party,None,Partidul Democrat-Liberal,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Evžen TOŠENOVSKÝ,96713,Czechia,European Conservatives and Reformists Group,None,Občanská demokratická strana,2009-2014,07-2009,male,right,2 terms (7-8)
Margrete AUKEN,28161,Denmark,Group of the Greens/European Free Alliance,None,Socialistisk Folkeparti,2014-2019,07-2014,female,centre-left,2 terms (8-9)
Monika BEŇOVÁ,23868,Slovakia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,SMER-Sociálna demokracia,2014-2019,07-2014,female,centre-left,2 terms (8-9)
Izaskun BILBAO BARANDICA,96922,Spain,Group of the Alliance of Liberals and Democrats for Europe,None,Partido Nacionalista Vasco,2014-2019,07-2014,female,centre,2 terms (8-9)
Vilija BLINKEVIČIŪTĖ,96681,Lithuania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Lietuvos socialdemokratų partija,2014-2019,07-2014,female,centre-left,2 terms (8-9)
Udo BULLMANN,4267,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Deutschlands,2014-2019,07-2014,male,centre-left,2 terms (8-9)
Cristian-Silviu BUŞOI,38420,Romania,European People's Party,None,Partidul Naţional Liberal,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Reinhard BÜTIKOFER,96739,Germany,Group of the Greens/European Free Alliance,None,Bündnis 90/Die Grünen,2014-2019,07-2014,male,centre-left,2 terms (8-9)
Jerzy BUZEK,28269,Poland,European People's Party,None,Platforma Obywatelska,2014-2019,07-2014,male,centre-right,2 terms (8-9)
David CASA,28122,Malta,European People's Party,None,Partit Nazzjonalista,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Daniel CASPARY,28219,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Pilar del CASTILLO VERA,28390,Spain,European People's Party,None,Partido Popular,2014-2019,07-2014,female,centre-right,2 terms (8-9)
Lara COMI,96775,Italy,European People's Party,None,Forza Italia,2014-2019,07-2014,female,centre-right,2 terms (8-9)
Andrea COZZOLINO,96880,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2014-2019,07-2014,female,centre-left,2 terms (8-9)
Corina CREȚU,33997,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partidul Social Democrat,2014-2019,07-2014,female,centre-left,2 terms (8-9)
Ryszard CZARNECKI,28372,Poland,European Conservatives and Reformists Group,None,Prawo i Sprawiedliwość,2014-2019,07-2014,male,right,2 terms (8-9)
Peter van DALEN,96809,Netherlands,European Conservatives and Reformists Group,None,ChristenUnie,2014-2019,07-2014,male,right,2 terms (8-9)
Arnaud DANJEAN,96747,France,European People's Party,None,Union pour un Mouvement Populaire,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Paolo DE CASTRO,96891,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2014-2019,07-2014,male,centre-left,2 terms (8-9)
Karima DELLI,96868,France,Group of the Greens/European Free Alliance,None,Europe Écologie,2014-2019,07-2014,female,centre-left,2 terms (8-9)
Tamás DEUTSCH,96826,Hungary,European People's Party,None,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Herbert DORFMANN,96787,Italy,European People's Party,None,Südtiroler Volkspartei,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Christian EHLER,28226,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Bas EICKHOUT,96725,Netherlands,Group of the Greens/European Free Alliance,None,GroenLinks,2014-2019,07-2014,female,centre-left,2 terms (8-9)
Cornelia ERNST,96852,Germany,Confederal Group of the European United Left,None,DIE LINKE.,2014-2019,07-2014,female,left,2 terms (8-9)
Ismail ERTUG,96842,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Deutschlands,2014-2019,07-2014,male,centre-left,2 terms (8-9)
Rosa ESTARÀS FERRAGUT,96811,Spain,European People's Party,None,Partido Popular,2014-2019,07-2014,female,centre-right,2 terms (8-9)
Markus FERBER,1917,Germany,European People's Party,None,Christlich-Soziale Union in Bayern e.V.,2014-2019,07-2014,male,centre-right,2 terms (8-9)
José Manuel FERNANDES,96899,Portugal,European People's Party,None,Partido Social Democrata,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Michael GAHLER,2341,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2014-2019,07-2014,male,centre-right,2 terms (8-9)
