fullName,id,country,eu_group_1,eu_group_2,nation_group,term,start_period_1,gender
Enric MORERA CATALÀ,26811,Spain,Group of the Greens/European Free Alliance ,None,Bloc Nacionalista Valencia ,1999-2004,04-2004,male
Eluned MORGAN,2171,United Kingdom,Group of the Party of European Socialists ,None,Labour Party ,1999-2004,07-1999,female
Luisa MORGANTINI,4453,Italy,Confederal Group of the European United Left/Nordic Green Left ,None,Partito della rifondazione comunista ,1999-2004,07-1999,female
Philippe MORILLON,4332,France,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Union pour la démocratie française ,1999-2004,07-1999,male
Emilia Franziska MÜLLER,4290,Germany,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Christlich-Soziale Union in Bayern e.V. ,1999-2004,07-1999,female
Rosemarie MÜLLER,4268,Germany,Group of the Party of European Socialists ,None,Sozialdemokratische Partei Deutschlands ,1999-2004,07-1999,female
Jan MULDER,1965,Netherlands,"Group of the European Liberal, Democrat and Reform Party ",None,Volkspartij voor Vrijheid en Democratie ,1999-2004,07-1999,male
Simon Francis MURPHY,2045,United Kingdom,Group of the Party of European Socialists ,None,Labour Party ,1999-2004,07-1999,male
Cristiana MUSCARDINI,1073,Italy,Non-attached Members,Union for Europe of the Nations Group ,Alleanza nazionale ,1999-2004,07-1999,female
Francesco MUSOTTO,4471,Italy,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Forza Italia ,1999-2004,07-1999,male
Antonio MUSSA,21951,Italy,Union for Europe of the Nations Group ,None,Alleanza nazionale ,1999-2004,07-2001,male
Sebastiano (Nello) MUSUMECI,1944,Italy,Non-attached Members,Union for Europe of the Nations Group ,Alleanza nazionale ,1999-2004,07-1999,male
Riitta MYLLER,2062,Finland,Group of the Party of European Socialists ,None,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti ,1999-2004,07-1999,female
Sami NAÏR,4287,France,Group of the Party of European Socialists ,Non-attached Members,Mouvement des citoyens ,1999-2004,07-1999,male
Pasqualina NAPOLETANO,1065,Italy,Group of the Party of European Socialists ,None,Democratici di Sinistra ,1999-2004,07-1999,female
Giorgio NAPOLITANO,1103,Italy,Group of the Party of European Socialists ,None,Democratici di Sinistra ,1999-2004,07-1999,male
Juan Andrés NARANJO ESCOBAR,5537,Spain,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Partido Popular ,1999-2004,09-1999,male
Hartmut NASSAUER,1920,Germany,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Christlich Demokratische Union Deutschlands ,1999-2004,07-1999,male
Zsolt NÉMETH,23818,Hungary,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Fidesz-Magyar Polgári Szövetség ,1999-2004,04-2003,male
Bill NEWTON DUNN,1394,United Kingdom,Group of the European People's Party (Christian Democrats) and European Democrats ,"Group of the European Liberal, Democrat and Reform Party ",Conservative and Unionist Party ,1999-2004,07-1999,male
James NICHOLSON,1318,United Kingdom,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Ulster Unionist Party ,1999-2004,07-1999,male
Baroness NICHOLSON OF WINTERBOURNE,4522,United Kingdom,"Group of the European Liberal, Democrat and Reform Party ",None,Liberal Democrat Party ,1999-2004,07-1999,female
Angelika NIEBLER,4289,Germany,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Christlich-Soziale Union in Bayern e.V. ,1999-2004,07-1999,female
Giuseppe NISTICO',4749,Italy,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Forza Italia ,1999-2004,07-1999,male
Mauro NOBILIA,4744,Italy,Non-attached Members,Union for Europe of the Nations Group ,Alleanza nazionale ,1999-2004,07-1999,male
Camilo NOGUEIRA ROMÁN,4380,Spain,Group of the Greens/European Free Alliance ,None,Bloque Nacionalista Galego ,1999-2004,07-1999,male
Jean-Thomas NORDMANN,1194,France,Group of the European People's Party (Christian Democrats) and European Democrats ,"Group of the European Liberal, Democrat and Reform Party ",Union pour la démocratie française - Parti radical ,1999-2004,07-2002,male
Hervé NOVELLI,4357,France,Group of the European People's Party (Christian Democrats) and European Democrats ,"Group of the European Liberal, Democrat and Reform Party ",Démocratie libérale ,1999-2004,07-1999,male
