fullName,id,country,eu_group_1,eu_group_2,nation_group,term,start_period_1,gender
Victor ABENS,1802,Luxembourg,Socialist Group ,None,Parti ouvrier socialiste luxembourgeois ,1979-1984,07-1979,male
Gordon J. ADAM,1427,United Kingdom,Socialist Group ,None,Labour Party ,1979-1984,07-1979,male
Dimitrios ADAMOU,1765,Greece,Communist and Allies Group ,None,Kommounistiko Komma Elladas ,1979-1984,11-1981,male
Pietro ADONNINO,957,Italy,Group of the European People's Party (Christian,None,Democrazia cristiana ,1979-1984,07-1979,male
Jochen van AERSSEN,1797,Germany,Group of the European People's Party (Christian,None,Christlich Demokratische Union Deutschlands ,1979-1984,07-1979,male
Susanna AGNELLI,943,Italy,Liberal and Democratic Group ,None,Partito repubblicano italiano ,1979-1984,07-1979,female
Heinrich AIGNER,1762,Germany,Group of the European People's Party (Christian,None,Christlich-Soziale Union in Bayern e.V. ,1979-1984,07-1979,male
Alexandros ALAVANOS,1461,Greece,Communist and Allies Group ,None,Kommounistiko Komma Elladas ,1979-1984,11-1981,male
Siegbert ALBER,1271,Germany,Group of the European People's Party (Christian,None,Christlich Demokratische Union Deutschlands ,1979-1984,07-1979,male
Willem ALBERS,927,Netherlands,Socialist Group ,None,Partij van de Arbeid ,1979-1984,07-1979,male
Mechthild von ALEMANN,942,Germany,Liberal and Democratic Group ,None,Freie Demokratische Partei ,1979-1984,07-1979,female
Georgios ALEXIADIS,950,Greece,Non-attached Members,None,Komma Proodevtikon ,1979-1984,11-1982,male
Nicolas ALFONSI,951,France,Socialist Group ,None,Mouvement des Radicaux de Gauche ,1979-1984,09-1981,male
Giorgio ALMIRANTE,1478,Italy,Non-attached Members,None,Movimento sociale italiano - Destra nazionale ,1979-1984,07-1979,male
Giorgio AMENDOLA,928,Italy,Communist and Allies Group ,None,Partito comunista italiano ,1979-1984,07-1979,male
Magdeleine ANGLADE,1772,France,Group of European Progressive Democrats ,None,Centre national des indépendents et paysans ,1979-1984,10-1982,female
Gustave ANSART,936,France,Communist and Allies Group ,None,Parti communiste français ,1979-1984,07-1979,male
