,fullName,country,politicalGroup,id,nationalPoliticalGroup
131,Gilbert COLLARD,France,Non-attached Members,197683,Reconquête!
132,Lara COMI,Italy,Group of the European People's Party (Christian Democrats),96775,Forza Italia
133,Antoni COMÍN I OLIVERES,Spain,Non-attached Members,202352,Junts per Catalunya - Lliures per Europa
134,Rosanna CONTE,Italy,Identity and Democracy Group,197616,Lega
135,David CORMAND,France,Group of the Greens/European Free Alliance,197503,Europe Écologie
136,Ignazio CORRAO,Italy,Group of the Greens/European Free Alliance,124856,Independent
137,Beatrice COVASSI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,240478,Partito Democratico
138,Andrea COZZOLINO,Italy,Non-attached Members,96880,Partito Democratico
139,Corina CREȚU,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,33997,PRO Romania
140,Katalin CSEH,Hungary,Renew Europe Group,197588,Momentum
141,Ciarán CUFFE,Ireland,Group of the Greens/European Free Alliance,197654,Green Party
142,Josianne CUTAJAR,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197394,Partit Laburista
143,Ryszard CZARNECKI,Poland,European Conservatives and Reformists Group,28372,Prawo i Sprawiedliwość
144,Peter van DALEN,Netherlands,Group of the European People's Party (Christian Democrats),96809,ChristenUnie
145,Jakop G. DALUNDE,Sweden,Group of the Greens/European Free Alliance,183338,Miljöpartiet de gröna
146,Clare DALY,Ireland,The Left group in the European Parliament - GUE/NGL,197731,Independents for change
147,Rosa D'AMATO,Italy,Group of the Greens/European Free Alliance,124835,Independent
148,Arnaud DANJEAN,France,Group of the European People's Party (Christian Democrats),96747,Les Républicains
149,Nicola DANTI,Italy,Renew Europe Group,124821,Azione - Italia Viva
150,Maria Angela DANZÌ,Italy,Non-attached Members,239258,Movimento 5 Stelle
151,Gianantonio DA RE,Italy,Identity and Democracy Group,197608,Lega
152,Marie DAUCHY,France,Identity and Democracy Group,236050,Rassemblement national
153,Ivan DAVID,Czechia,Identity and Democracy Group,197556,Svoboda a přímá demokracie
154,Elisabetta DE BLASIS,Italy,Identity and Democracy Group,239262,Lega
155,Ilan DE BASSO,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,228604,Arbetarepartiet- Socialdemokraterna
156,Paolo DE CASTRO,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96891,Partito Democratico
157,Jérémy DECERLE,France,Renew Europe Group,197504,Liste L'Europe Ensemble
158,Gwendoline DELBOS-CORFIELD,France,Group of the Greens/European Free Alliance,197531,Europe Écologie
159,Andor DELI,Hungary,Non-attached Members,124714,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
160,Karima DELLI,France,Group of the Greens/European Free Alliance,96868,Europe Écologie
161,Filip DE MAN,Belgium,Identity and Democracy Group,197472,Vlaams Belang
162,Salvatore DE MEO,Italy,Group of the European People's Party (Christian Democrats),204333,Forza Italia
163,Özlem DEMIREL,Germany,The Left group in the European Parliament - GUE/NGL,197468,DIE LINKE.
164,Anna DEPARNAY-GRUNENBERG,Germany,Group of the Greens/European Free Alliance,197453,Bündnis 90/Die Grünen
165,Tamás DEUTSCH,Hungary,Non-attached Members,96826,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
166,Geoffroy DIDIER,France,Group of the European People's Party (Christian Democrats),190774,Les Républicains
167,Martina DLABAJOVÁ,Czechia,Renew Europe Group,124709,ANO 2011
168,Klára DOBREV,Hungary,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197579,Demokratikus Koalíció
169,Christian DOLESCHAL,Germany,Group of the European People's Party (Christian Democrats),197473,Christlich-Soziale Union in Bayern e.V.
170,Anna Júlia DONÁTH,Hungary,Renew Europe Group,197595,Momentum
171,Francesca DONATO,Italy,Non-attached Members,197822,Independent
172,Herbert DORFMANN,Italy,Group of the European People's Party (Christian Democrats),96787,Südtiroler Volkspartei
173,Jarosław DUDA,Poland,Group of the European People's Party (Christian Democrats),197510,Platforma Obywatelska
174,Lena DÜPONT,Germany,Group of the European People's Party (Christian Democrats),99945,Christlich Demokratische Union Deutschlands
175,Estrella DURÁ FERRANDIS,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,198329,Partido Socialista Obrero Español
176,Pascal DURAND,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124693,Liste Renaissance
177,Lucia ĎURIŠ NICHOLSONOVÁ,Slovakia,Renew Europe Group,197766,Independent
178,Angel DZHAMBAZKI,Bulgaria,European Conservatives and Reformists Group,124873,VMRO
179,Matthias ECKE,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,237465,Sozialdemokratische Partei Deutschlands
180,Christian EHLER,Germany,Group of the European People's Party (Christian Democrats),28226,Christlich Demokratische Union Deutschlands
181,Bas EICKHOUT,Netherlands,Group of the Greens/European Free Alliance,96725,GroenLinks
182,Cyrus ENGERER,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,209091,Partit Laburista
183,Cornelia ERNST,Germany,The Left group in the European Parliament - GUE/NGL,96852,DIE LINKE.
184,Engin EROGLU,Germany,Renew Europe Group,197430,Freie Wähler
185,Ismail ERTUG,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96842,Sozialdemokratische Partei Deutschlands
186,Rosa ESTARÀS FERRAGUT,Spain,Group of the European People's Party (Christian Democrats),96811,Partido Popular
187,Agnès EVREN,France,Group of the European People's Party (Christian Democrats),197535,Les Républicains
188,Gheorghe FALCĂ,Romania,Group of the European People's Party (Christian Democrats),197649,Partidul Naţional Liberal
189,Laurence FARRENG,France,Renew Europe Group,197589,Mouvement Démocrate
190,Markus FERBER,Germany,Group of the European People's Party (Christian Democrats),1917,Christlich-Soziale Union in Bayern e.V.
191,José Manuel FERNANDES,Portugal,Group of the European People's Party (Christian Democrats),96899,Partido Social Democrata
192,Jonás FERNÁNDEZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125046,Partido Socialista Obrero Español
193,Giuseppe FERRANDINO,Italy,Renew Europe Group,192634,Azione - Italia Viva
194,Laura FERRARA,Italy,Non-attached Members,124833,Movimento 5 Stelle
195,Nicolaus FEST,Germany,Identity and Democracy Group,197480,Alternative für Deutschland
196,Carlo FIDANZA,Italy,European Conservatives and Reformists Group,96810,Fratelli d'Italia
197,Pietro FIOCCHI,Italy,European Conservatives and Reformists Group,197607,Fratelli d'Italia
198,Frances FITZGERALD,Ireland,Group of the European People's Party (Christian Democrats),197720,Fine Gael Party
199,Luke Ming FLANAGAN,Ireland,The Left group in the European Parliament - GUE/NGL,124985,Independent
200,Valter FLEGO,Croatia,Renew Europe Group,197419,Istarski demokratski sabor - Dieta democratica istriana
201,Anna FOTYGA,Poland,European Conservatives and Reformists Group,28353,Prawo i Sprawiedliwość
202,Loucas FOURLAS,Cyprus,Group of the European People's Party (Christian Democrats),197414,Democratic Rally
203,Emmanouil FRAGKOS,Greece,European Conservatives and Reformists Group,198490,Elliniki Lusi-Greek Solution
204,Tomasz FRANKOWSKI,Poland,Group of the European People's Party (Christian Democrats),197513,Platforma Obywatelska
205,Cindy FRANSSEN,Belgium,Group of the European People's Party (Christian Democrats),197455,Christen-Democratisch & Vlaams
206,Romeo FRANZ,Germany,Group of the Greens/European Free Alliance,193273,Bündnis 90/Die Grünen
207,Daniel FREUND,Germany,Group of the Greens/European Free Alliance,106936,Bündnis 90/Die Grünen
208,Heléne FRITZON,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197391,Arbetarepartiet- Socialdemokraterna
209,Niels FUGLSANG,Denmark,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,101585,Socialdemokratiet
210,Mario FURORE,Italy,Non-attached Members,197795,Movimento 5 Stelle
211,Michael GAHLER,Germany,Group of the European People's Party (Christian Democrats),2341,Christlich Demokratische Union Deutschlands
212,Kinga GÁL,Hungary,Non-attached Members,28150,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
213,Malte GALLÉE,Germany,Group of the Greens/European Free Alliance,229352,Bündnis 90/Die Grünen
214,Lina GÁLVEZ MUÑOZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197702,Partido Socialista Obrero Español
215,Claudia GAMON,Austria,Renew Europe Group,197632,NEOS – Das Neue Österreich
216,Gianna GANCIA,Italy,Identity and Democracy Group,197582,Lega
217,Ibán GARCÍA DEL BLANCO,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197717,Partido Socialista Obrero Español
218,José Manuel GARCÍA-MARGALLO Y MARFIL,Spain,Group of the European People's Party (Christian Democrats),1992,Partido Popular
219,Isabel GARCÍA MUÑOZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197742,Partido Socialista Obrero Español
220,Iratxe GARCÍA PÉREZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,28298,Partido Socialista Obrero Español
221,Eider GARDIAZABAL RUBIAL,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96991,Partido Socialista Obrero Español
222,Jean-Paul GARRAUD,France,Identity and Democracy Group,197628,Rassemblement national
223,Matteo GAZZINI,Italy,Identity and Democracy Group,239255,Lega
224,Alexandra GEESE,Germany,Group of the Greens/European Free Alliance,183916,Bündnis 90/Die Grünen
225,Jens GEIER,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96833,Sozialdemokratische Partei Deutschlands
226,Chiara GEMMA,Italy,European Conservatives and Reformists Group,197794,Independent
227,Giorgos GEORGIOU,Cyprus,The Left group in the European Parliament - GUE/NGL,197416,Progressive Party of Working People - Left - New Forces
228,Alexis GEORGOULIS,Greece,The Left group in the European Parliament - GUE/NGL,197819,Coalition of the Radical Left
229,Helmut GEUKING,Germany,Group of the European People's Party (Christian Democrats),197436,Familien-Partei Deutschlands
230,Vlad GHEORGHE,Romania,Renew Europe Group,209140,Uniunea Salvați România
231,Paola GHIDONI,Italy,Identity and Democracy Group,239256,Lega
232,Dino GIARRUSSO,Italy,Non-attached Members,197804,Independent
233,Jens GIESEKE,Germany,Group of the European People's Party (Christian Democrats),124807,Christlich Demokratische Union Deutschlands
234,Sunčana GLAVAK,Croatia,Group of the European People's Party (Christian Democrats),202036,Hrvatska demokratska zajednica
235,Andreas GLÜCK,Germany,Renew Europe Group,197443,Freie Demokratische Partei
236,Raphaël GLUCKSMANN,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197694,Place publique
237,Charles GOERENS,Luxembourg,Renew Europe Group,840,Parti démocratique
238,Mónica Silvana GONZÁLEZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197728,Partido Socialista Obrero Español
239,Nicolás GONZÁLEZ CASARES,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197718,Partido Socialista Obrero Español
240,Esteban GONZÁLEZ PONS,Spain,Group of the European People's Party (Christian Democrats),125027,Partido Popular
241,Sandro GOZI,France,Renew Europe Group,204419,Liste Renaissance
242,Marcel de GRAAFF,Netherlands,Non-attached Members,125025,Forum voor Democratie
243,Valentino GRANT,Italy,Identity and Democracy Group,197799,Lega
244,Maria GRAPINI,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124785,Partidul Umanist Social Liberal
245,Markéta GREGOROVÁ,Czechia,Group of the Greens/European Free Alliance,197549,PIRÁTI
246,Catherine GRISET,France,Identity and Democracy Group,94649,Rassemblement national
247,Bart GROOTHUIS,Netherlands,Renew Europe Group,197780,Volkspartij voor Vrijheid en Democratie
248,Klemen GROŠELJ,Slovenia,Renew Europe Group,197452,Gibanje Svoboda
249,Christophe GRUDLER,France,Renew Europe Group,197557,Mouvement Démocrate
250,Claude GRUFFAT,France,Group of the Greens/European Free Alliance,204420,Europe Écologie
251,Elisabetta GUALMINI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197618,Partito Democratico
252,Francisco GUERREIRO,Portugal,Group of the Greens/European Free Alliance,197645,Independente
253,Bernard GUETTA,France,Renew Europe Group,197543,Liste Renaissance
254,Sylvie GUILLAUME,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96952,Parti socialiste
255,José GUSMÃO,Portugal,The Left group in the European Parliament - GUE/NGL,88715,Bloco de Esquerda
256,Márton GYÖNGYÖSI,Hungary,Non-attached Members,198063,Jobbik – Konzervatívok
257,Enikő GYŐRI,Hungary,Non-attached Members,96830,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
258,András GYÜRK,Hungary,Non-attached Members,23816,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
259,Svenja HAHN,Germany,Renew Europe Group,197444,Freie Demokratische Partei
260,Henrike HAHN,Germany,Group of the Greens/European Free Alliance,197457,Bündnis 90/Die Grünen
261,Roman HAIDER,Austria,Identity and Democracy Group,198176,Freiheitliche Partei Österreichs
262,Robert HAJŠEL,Slovakia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,34578,Independent
263,Teuvo HAKKARAINEN,Finland,Identity and Democracy Group,197596,Perussuomalaiset
264,Andrzej HALICKI,Poland,Group of the European People's Party (Christian Democrats),197514,Platforma Obywatelska
265,Christophe HANSEN,Luxembourg,Group of the European People's Party (Christian Democrats),193419,Parti chrétien social luxembourgeois
266,Martin HÄUSLING,Germany,Group of the Greens/European Free Alliance,96752,Bündnis 90/Die Grünen
267,Heidi HAUTALA,Finland,Group of the Greens/European Free Alliance,2054,Vihreä liitto
268,Mircea-Gheorghe HAVA,Romania,Group of the European People's Party (Christian Democrats),197646,Partidul Naţional Liberal
269,Valérie HAYER,France,Renew Europe Group,135511,Renaissance
270,Anja HAZEKAMP,Netherlands,The Left group in the European Parliament - GUE/NGL,125023,Partij voor de Dieren
271,Hannes HEIDE,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197682,Sozialdemokratische Partei Österreichs
272,Eero HEINÄLUOMA,Finland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197800,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti
273,Niclas HERBST,Germany,Group of the European People's Party (Christian Democrats),197412,Christlich Demokratische Union Deutschlands
274,Pierrette HERZBERGER-FOFANA,Germany,Group of the Greens/European Free Alliance,197459,Bündnis 90/Die Grünen
275,Krzysztof HETMAN,Poland,Group of the European People's Party (Christian Democrats),124895,Polskie Stronnictwo Ludowe
276,Balázs HIDVÉGHI,Hungary,Non-attached Members,124586,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
277,Martin HLAVÁČEK,Czechia,Renew Europe Group,197526,ANO 2011
278,Monika HOHLMEIER,Germany,Group of the European People's Party (Christian Democrats),96780,Christlich-Soziale Union in Bayern e.V.
279,Martin HOJSÍK,Slovakia,Renew Europe Group,197770,Progresívne Slovensko
280,Pär HOLMGREN,Sweden,Group of the Greens/European Free Alliance,197398,Miljöpartiet de gröna
281,György HÖLVÉNYI,Hungary,Group of the European People's Party (Christian Democrats),124715,Kereszténydemokrata Néppárt
282,Alicia HOMS GINEL,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,122978,Partido Socialista Obrero Español
283,Michiel HOOGEVEEN,Netherlands,European Conservatives and Reformists Group,218349,JA21
284,Brice HORTEFEUX,France,Group of the European People's Party (Christian Democrats),5565,Les Républicains
285,Ivo HRISTOV,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197846,Bulgarian Socialist Party
286,Danuta Maria HÜBNER,Poland,Group of the European People's Party (Christian Democrats),96779,Platforma Obywatelska
287,Laura HUHTASAARI,Finland,Identity and Democracy Group,197594,Perussuomalaiset
288,Jan HUITEMA,Netherlands,Renew Europe Group,58789,Volkspartij voor Vrijheid en Democratie
289,Ivars IJABS,Latvia,Renew Europe Group,197624,Attīstībai/Par!
290,Ladislav ILČIĆ,Croatia,European Conservatives and Reformists Group,221463,Hrvatski suverenisti
291,Evin INCIR,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197392,Arbetarepartiet- Socialdemokraterna
292,Sophia IN 'T VELD,Netherlands,Renew Europe Group,28266,Democraten 66
293,Yannick JADOT,France,Group of the Greens/European Free Alliance,96740,Europe Écologie
294,Peter JAHR,Germany,Group of the European People's Party (Christian Democrats),96772,Christlich Demokratische Union Deutschlands
295,Stasys JAKELIŪNAS,Lithuania,Group of the Greens/European Free Alliance,197837,Independent
296,Patryk JAKI,Poland,European Conservatives and Reformists Group,197516,Solidarna Polska Zbigniewa Ziobro
297,Jean-François JALKH,France,Identity and Democracy Group,124770,Rassemblement national
298,France JAMET,France,Identity and Democracy Group,189065,Rassemblement national
299,Lívia JÁRÓKA,Hungary,Non-attached Members,28141,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
300,Adam JARUBAS,Poland,Group of the European People's Party (Christian Democrats),197517,Polskie Stronnictwo Ludowe
301,Romana JERKOVIĆ,Croatia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,112747,Socijaldemokratska partija Hrvatske
302,Agnes JONGERIUS,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125021,Partij van de Arbeid
303,Virginie JORON,France,Identity and Democracy Group,197627,Rassemblement national
304,Irena JOVEVA,Slovenia,Renew Europe Group,197447,Gibanje Svoboda
305,Rasa JUKNEVIČIENĖ,Lithuania,Group of the European People's Party (Christian Democrats),197840,Tėvynės sąjunga-Lietuvos krikščionys demokratai
306,Krzysztof JURGIEL,Poland,European Conservatives and Reformists Group,197518,Prawo i Sprawiedliwość
307,Eugen JURZYCA,Slovakia,European Conservatives and Reformists Group,197767,Sloboda a Solidarita
308,Hervé JUVIN,France,Non-attached Members,197626,Rassemblement national
309,Eva KAILI,Greece,Non-attached Members,125109,Independent
310,Jarosław KALINOWSKI,Poland,Group of the European People's Party (Christian Democrats),96771,Polskie Stronnictwo Ludowe
311,Marina KALJURAND,Estonia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197491,Sotsiaaldemokraatlik Erakond
312,Sandra KALNIETE,Latvia,Group of the European People's Party (Christian Democrats),96934,"Partija ""VIENOTĪBA"""
313,Petra KAMMEREVERT,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96837,Sozialdemokratische Partei Deutschlands
314,Radan KANEV,Bulgaria,Group of the European People's Party (Christian Democrats),197839,Democrats for Strong Bulgaria
315,Assita KANKO,Belgium,European Conservatives and Reformists Group,197469,Nieuw-Vlaamse Alliantie
316,Othmar KARAS,Austria,Group of the European People's Party (Christian Democrats),4246,Österreichische Volkspartei
317,Pierre KARLESKIND,France,Renew Europe Group,197585,La République en marche
318,Karin KARLSBRO,Sweden,Renew Europe Group,197401,Liberalerna
319,Karol KARSKI,Poland,European Conservatives and Reformists Group,124887,Prawo i Sprawiedliwość
320,Elsi KATAINEN,Finland,Renew Europe Group,191693,Suomen Keskusta
321,Manolis KEFALOGIANNIS,Greece,Group of the European People's Party (Christian Democrats),125068,Nea Demokratia
322,Billy KELLEHER,Ireland,Renew Europe Group,197818,Fianna Fáil Party
323,Fabienne KELLER,France,Renew Europe Group,22858,Agir - La Droite constructive
324,Ska KELLER,Germany,Group of the Greens/European Free Alliance,96734,Bündnis 90/Die Grünen
325,Seán KELLY,Ireland,Group of the European People's Party (Christian Democrats),96668,Fine Gael Party
326,Beata KEMPA,Poland,European Conservatives and Reformists Group,197519,Solidarna Polska Zbigniewa Ziobro
327,Niyazi KIZILYÜREK,Cyprus,The Left group in the European Parliament - GUE/NGL,197415,Progressive Party of Working People - Left - New Forces
328,Izabela-Helena KLOC,Poland,European Conservatives and Reformists Group,197520,Prawo i Sprawiedliwość
329,Ondřej KNOTEK,Czechia,Renew Europe Group,197528,ANO 2011
330,Łukasz KOHUT,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197523,Nowa Lewica
331,Arba KOKALARI,Sweden,Group of the European People's Party (Christian Democrats),197406,Moderaterna
332,Petros KOKKALIS,Greece,The Left group in the European Parliament - GUE/NGL,197743,Coalition of the Radical Left
333,Marcel KOLAJA,Czechia,Group of the Greens/European Free Alliance,197546,PIRÁTI
334,Mislav KOLAKUŠIĆ,Croatia,Non-attached Members,197438,-
335,Kateřina KONEČNÁ,Czechia,The Left group in the European Parliament - GUE/NGL,23699,Komunistická strana Čech a Moravy
336,Athanasios KONSTANTINOU,Greece,Non-attached Members,197740,Independent
337,Ewa KOPACZ,Poland,Group of the European People's Party (Christian Democrats),197525,Platforma Obywatelska
338,Joanna KOPCIŃSKA,Poland,European Conservatives and Reformists Group,197530,Prawo i Sprawiedliwość
339,Moritz KÖRNER,Germany,Renew Europe Group,197445,Freie Demokratische Partei
340,Ádám KÓSA,Hungary,Non-attached Members,96829,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
341,Dietmar KÖSTER,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124822,Sozialdemokratische Partei Deutschlands
342,Stelios KOULOGLOU,Greece,The Left group in the European Parliament - GUE/NGL,130833,Coalition of the Radical Left
343,Elena KOUNTOURA,Greece,The Left group in the European Parliament - GUE/NGL,197699,Coalition of the Radical Left
344,Ondřej KOVAŘÍK,Czechia,Renew Europe Group,118949,ANO 2011
345,Andrey KOVATCHEV,Bulgaria,Group of the European People's Party (Christian Democrats),97968,Citizens for European Development of Bulgaria
346,Maximilian KRAH,Germany,Identity and Democracy Group,197481,Alternative für Deutschland
347,Zdzisław KRASNODĘBSKI,Poland,European Conservatives and Reformists Group,124891,Prawo i Sprawiedliwość
348,Elżbieta KRUK,Poland,European Conservatives and Reformists Group,197532,Prawo i Sprawiedliwość
349,Andrius KUBILIUS,Lithuania,Group of the European People's Party (Christian Democrats),197843,Tėvynės sąjunga-Lietuvos krikščionys demokratai
350,Alice KUHNKE,Sweden,Group of the Greens/European Free Alliance,197395,Miljöpartiet de gröna
351,Joachim KUHS,Germany,Identity and Democracy Group,197482,Alternative für Deutschland
352,Miapetra KUMPULA-NATRI,Finland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124735,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti
353,Zbigniew KUŹMIUK,Poland,European Conservatives and Reformists Group,28389,Prawo i Sprawiedliwość
354,Stelios KYMPOUROPOULOS,Greece,Group of the European People's Party (Christian Democrats),197692,Nea Demokratia
355,Georgios KYRTSOS,Greece,Renew Europe Group,125063,Independent
356,Ilhan KYUCHYUK,Bulgaria,Renew Europe Group,124866,Movement for Rights and Freedoms
357,Jean-Lin LACAPELLE,France,Identity and Democracy Group,204421,Rassemblement national
358,Sergey LAGODINSKY,Germany,Group of the Greens/European Free Alliance,197460,Bündnis 90/Die Grünen
359,Ioannis LAGOS,Greece,Non-attached Members,197737,Independent
360,Aurore LALUCQ,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197697,Place publique
361,Philippe LAMBERTS,Belgium,Group of the Greens/European Free Alliance,96648,Ecologistes Confédérés pour l'Organisation de Luttes Originales
362,Danilo Oscar LANCINI,Italy,Identity and Democracy Group,192635,Lega
363,Bernd LANGE,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1909,Sozialdemokratische Partei Deutschlands
364,Esther de LANGE,Netherlands,Group of the European People's Party (Christian Democrats),38398,Christen Democratisch Appèl
365,Katrin LANGENSIEPEN,Germany,Group of the Greens/European Free Alliance,197461,Bündnis 90/Die Grünen
366,Pierre LARROUTUROU,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197698,Nouvelle Donne
367,Camilla LAURETI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,230085,Partito Democratico
368,Gilles LEBRETON,France,Identity and Democracy Group,124738,Rassemblement national
369,David LEGA,Sweden,Group of the European People's Party (Christian Democrats),197393,Kristdemokraterna
370,Ryszard Antoni LEGUTKO,Poland,European Conservatives and Reformists Group,96796,Prawo i Sprawiedliwość
371,Maria-Manuel LEITÃO-MARQUES,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197635,Partido Socialista
372,Jeroen LENAERS,Netherlands,Group of the European People's Party (Christian Democrats),95074,Christen Democratisch Appèl
373,Janusz LEWANDOWSKI,Poland,Group of the European People's Party (Christian Democrats),23781,Platforma Obywatelska
374,Miriam LEXMANN,Slovakia,Group of the European People's Party (Christian Democrats),204336,Kresťanskodemokratické hnutie
375,Bogusław LIBERADZKI,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,23768,Nowa Lewica
376,Peter LIESE,Germany,Group of the European People's Party (Christian Democrats),1927,Christlich Demokratische Union Deutschlands
377,Sylvia LIMMER,Germany,Identity and Democracy Group,197483,Alternative für Deutschland
378,Norbert LINS,Germany,Group of the European People's Party (Christian Democrats),124808,Christlich Demokratische Union Deutschlands
379,Elena LIZZI,Italy,Identity and Democracy Group,197611,Lega
380,Nathalie LOISEAU,France,Renew Europe Group,197494,Liste Renaissance
381,Morten LØKKEGAARD,Denmark,Renew Europe Group,96709,"Venstre, Danmarks Liberale Parti"
382,Javi LÓPEZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125042,Partit dels Socialistes de Catalunya
383,Juan Fernando LÓPEZ AGUILAR,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96812,Partido Socialista Obrero Español
384,Leopoldo LÓPEZ GIL,Spain,Group of the European People's Party (Christian Democrats),197777,Partido Popular
385,Antonio LÓPEZ-ISTÚRIZ WHITE,Spain,Group of the European People's Party (Christian Democrats),28399,Partido Popular
386,Karsten LUCKE,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,228286,Sozialdemokratische Partei Deutschlands
387,César LUENA,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197721,Partido Socialista Obrero Español
388,Elżbieta Katarzyna ŁUKACIJEWSKA,Poland,Group of the European People's Party (Christian Democrats),96791,Platforma Obywatelska
389,Peter LUNDGREN,Sweden,European Conservatives and Reformists Group,124996,Sverigedemokraterna
390,Benoît LUTGEN,Belgium,Group of the European People's Party (Christian Democrats),197458,Les Engagés
391,Bergur Løkke RASMUSSEN,Denmark,Renew Europe Group,239973,"Venstre, Danmarks Liberale Parti"
392,David McALLISTER,Germany,Group of the European People's Party (Christian Democrats),124806,Christlich Demokratische Union Deutschlands
393,Chris MACMANUS,Ireland,The Left group in the European Parliament - GUE/NGL,205452,Sinn Féin
394,Jaak MADISON,Estonia,Identity and Democracy Group,197493,Eesti Konservatiivne Rahvaerakond
395,Cristina MAESTRE MARTÍN DE ALMAGRO,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197719,Partido Socialista Obrero Español
396,Pierfrancesco MAJORINO,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197592,Partito Democratico
397,Aušra MALDEIKIENĖ,Lithuania,Group of the European People's Party (Christian Democrats),197835,Independent
398,Adriana MALDONADO LÓPEZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197735,Partido Socialista Obrero Español
399,Claudiu MANDA,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197653,Partidul Social Democrat
400,Antonius MANDERS,Netherlands,Group of the European People's Party (Christian Democrats),4560,Christen Democratisch Appèl
401,Lukas MANDL,Austria,Group of the European People's Party (Christian Democrats),190713,Österreichische Volkspartei
402,Thierry MARIANI,France,Identity and Democracy Group,197623,Rassemblement national
403,Marian-Jean MARINESCU,Romania,Group of the European People's Party (Christian Democrats),33982,Partidul Naţional Liberal
404,Colm MARKEY,Ireland,Group of the European People's Party (Christian Democrats),209896,Fine Gael Party
405,Erik MARQUARDT,Germany,Group of the Greens/European Free Alliance,197462,Bündnis 90/Die Grünen
