fullName,id,country,eu_group_1,eu_group_2,nation_group,term,start_period_1,gender
Gérard d'ABOVILLE,2202,France,Group of the European Democratic Alliance ,Group Union for Europe ,Rassemblement pour la République ,1994-1999,07-1994,male
Gordon J. ADAM,1427,United Kingdom,Group of the Party of European Socialists ,None,Labour Party ,1994-1999,07-1994,male
Magda G.H. AELVOET,1950,Belgium,The Green Group in the European Parliament ,None,Anders gaan leven ,1994-1999,07-1994,female
Maria Adelaide AGLIETTA,1114,Italy,The Green Group in the European Parliament ,None,Federazione dei Verdi ,1994-1999,07-1994,female
Nuala AHERN,2230,Ireland,The Green Group in the European Parliament ,None,Green Party ,1994-1999,07-1994,female
Birgitta AHLQVIST,2129,Sweden,Group of the Party of European Socialists ,None,Socialdemokraterna ,1994-1999,01-1995,female
Sylviane H. AINARDI,1133,France,Confederal Group of the European United Left ,None,Parti communiste français ,1994-1999,07-1994,female
Alexandros ALAVANOS,1461,Greece,Confederal Group of the European United Left ,Confederal Group of the European United Left/Nordic Green Left ,Synaspismos tis Aristeras kai tis Proodou ,1994-1999,07-1994,male
Siegbert ALBER,1271,Germany,Group of the European People's Party (Christian,None,Christlich Demokratische Union Deutschlands ,1994-1999,07-1994,male
Blaise ALDO,2019,France,Group of the European Democratic Alliance ,Group Union for Europe ,Rassemblement pour la République ,1994-1999,07-1994,male
Amedeo AMADEO,2035,Italy,Non-attached Members,None,Alleanza nazionale ,1994-1999,07-1994,male
Georgios ANASTASSOPOULOS,1462,Greece,Group of the European People's Party (Christian,None,Nea Dimokratia ,1994-1999,07-1994,male
Hedy d'ANCONA,1432,Netherlands,Group of the Party of European Socialists ,None,Partij van de Arbeid ,1994-1999,07-1994,female
Axel ANDERSSON,2105,Sweden,Group of the Party of European Socialists ,None,Socialdemokraterna ,1994-1999,01-1995,male
Jan ANDERSSON,2107,Sweden,Group of the Party of European Socialists ,None,Socialdemokraterna ,1994-1999,01-1995,male
Anne ANDRÉ-LÉONARD,1817,Belgium,"Group of the European Liberal, Democrat and Reform Party ",None,Parti réformateur libéral ,1994-1999,07-1994,female
Niall ANDREWS,1441,Ireland,Group of the European Democratic Alliance ,Group Union for Europe ,Fianna Fáil Party ,1994-1999,07-1994,male
Roberta ANGELILLI,1941,Italy,Non-attached Members,None,Alleanza nazionale ,1994-1999,07-1994,female
Julio AÑOVEROS TRIAS DE BES,2004,Spain,Group of the European People's Party (Christian,None,Partido Popular ,1994-1999,07-1994,male
Bernard ANTONY,1209,France,Non-attached Members,None,Front national ,1994-1999,07-1994,male
Sirkka-Liisa ANTTILA,2296,Finland,"Group of the European Liberal, Democrat and Reform Party ",None,Suomen Keskusta ,1994-1999,11-1996,female
Pedro APARICIO SÁNCHEZ,2006,Spain,Group of the Party of European Socialists ,None,Partido Socialista Obrero Español ,1994-1999,07-1994,male
José APOLINÁRIO,1874,Portugal,Group of the Party of European Socialists ,None,Partido Socialista ,1994-1999,07-1994,male
María Jesús ARAMBURU DEL RÍO,1971,Spain,Confederal Group of the European United Left ,Confederal Group of the European United Left/Nordic Green Left ,Izquierda Unida-Iniciativa per Catalunya ,1994-1999,07-1994,female
Javier AREITIO TOLEDO,1884,Spain,Group of the European People's Party (Christian,None,Partido Popular ,1994-1999,07-1994,male
Stelios ARGYROS,2184,Greece,Group of the European People's Party (Christian,None,Nea Dimokratia ,1994-1999,07-1994,male
Miguel ARIAS CAÑETE,1351,Spain,Group of the European People's Party (Christian,None,Partido Popular ,1994-1999,07-1994,male
Aldo ARRONI,2033,Italy,Forza Europa Group ,Group Union for Europe ,Forza Italia ,1994-1999,07-1994,male
Corrado AUGIAS,2136,Italy,Group of the Party of European Socialists ,None,Partito democratico della sinistra ,1994-1999,07-1994,male
Paraskevas AVGERINOS,1463,Greece,Group of the Party of European Socialists ,None,Panellinio Socialistiko Kinima ,1994-1999,07-1994,male
Claudio AZZOLINI,2140,Italy,Forza Europa Group ,Group Union for Europe ,Forza Italia ,1994-1999,07-1994,male
Jean BAGGIONI,2201,France,Group of the European Democratic Alliance ,Group Union for Europe ,Rassemblement pour la République ,1994-1999,07-1994,female
Francesco BALDARELLI,1939,Italy,Group of the Party of European Socialists ,None,Partito democratico della sinistra ,1994-1999,07-1994,male
Monica Stefania BALDI,2131,Italy,Forza Europa Group ,Group Union for Europe ,Forza Italia ,1994-1999,07-1994,female
Valerio BALDINI,2090,Italy,Forza Europa Group ,Group Union for Europe ,Forza Italia ,1994-1999,07-1994,male
Richard A. BALFE,1428,United Kingdom,Group of the Party of European Socialists ,None,Labour Party ,1994-1999,07-1994,male
Mary Elizabeth BANOTTI,1426,Ireland,Group of the European People's Party (Christian,None,Fine Gael Party ,1994-1999,07-1994,female
Otto BARDONG,1825,Germany,Group of the European People's Party (Christian,None,Christlich Demokratische Union Deutschlands ,1994-1999,07-1994,male
Enrique BARÓN CRESPO,1352,Spain,Group of the Party of European Socialists ,None,Partido Socialista Obrero Español ,1994-1999,07-1994,male
José BARROS MOURA,1371,Portugal,Group of the Party of European Socialists ,None,Partido Socialista ,1994-1999,07-1994,male
Roger BARTON,981,United Kingdom,Group of the Party of European Socialists ,None,Labour Party ,1994-1999,07-1994,male
Roberto BARZANTI,1135,Italy,Group of the Party of European Socialists ,None,Partito democratico della sinistra ,1994-1999,07-1994,male
Dominique BAUDIS,1759,France,Group of the European People's Party (Christian,None,Union pour la démocratie française - Centre des démocrates sociaux ,1994-1999,07-1994,male
Jean-Pierre BAZIN,2022,France,Group of the European Democratic Alliance ,Group Union for Europe ,Rassemblement pour la République ,1994-1999,07-1994,male
Jean-Pierre BEBEAR,2204,France,Group of the European People's Party (Christian,None,Union pour la démocratie française - Parti républicain ,1994-1999,07-1994,male
Spalato BELLERE',2134,Italy,Non-attached Members,None,Alleanza nazionale ,1994-1999,07-1994,male
Francisca BENNASAR TOUS,2003,Spain,Group of the European People's Party (Christian,None,Partido Popular ,1994-1999,07-1994,female
Rolf BEREND,1842,Germany,Group of the European People's Party (Christian,None,Christlich Demokratische Union Deutschlands ,1994-1999,07-1994,male
Pervenche BERÈS,1985,France,Group of the Party of European Socialists ,None,Parti socialiste ,1994-1999,07-1994,female
Maria BERGER,2285,Austria,Group of the Party of European Socialists ,None,Sozialdemokratische Partei Österreichs ,1994-1999,11-1996,female
Pierre BERNARD-REYMOND,1036,France,Group of the European People's Party (Christian,None,Union pour la démocratie française - Centre des démocrates sociaux ,1994-1999,07-1994,male
Jan Willem BERTENS,1281,Netherlands,"Group of the European Liberal, Democrat and Reform Party ",None,Democraten 66 ,1994-1999,07-1994,male
Georges BERTHU,2217,France,Europe of Nations Group (Coordination Group) ,Non-attached Members,Majorité pour l'autre Europe ,1994-1999,07-1994,male
Fausto BERTINOTTI,2023,Italy,Confederal Group of the European United Left ,Confederal Group of the European United Left/Nordic Green Left ,Rifondazione comunista ,1994-1999,07-1994,male
Gerardo BIANCO,2143,Italy,Group of the European People's Party (Christian,None,Partito popolare italiano ,1994-1999,07-1994,male
