fullName,id,country,eu_group_1,eu_group_2,term,nation_group,start_period_1,gender
Francesco GUIDOLIN,1089,Italy,Group of the European People's Party (Christian,None,1989-1994,Democrazia cristiana ,07-1989,male
François GUILLAUME,1177,France,Group of the European Democratic Alliance,None,1989-1994,Rassemblement pour la République ,07-1989,male
Antoni GUTIÉRREZ DÍAZ,1345,Spain,Group for the European United Left,Non-attached Members,1989-1994,Izquierda Unida ,07-1989,male
Otto von HABSBURG,1265,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich-Soziale Union in Bayern e.V. ,07-1989,male
Menelaos HADJIGEORGIOU,922,Greece,Group of the European People's Party (Christian,None,1989-1994,Nea Dimokratia ,04-1990,male
Helga HALLER von HALLERSTEIN,1891,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich Demokratische Union Deutschlands ,12-1993,female
Klaus HÄNSCH,1266,Germany,Socialist Group,Group of the Party of European Socialists,1989-1994,Sozialdemokratische Partei Deutschlands ,07-1989,male
José H.G. HAPPART,1466,Belgium,Socialist Group,Group of the Party of European Socialists,1989-1994,Parti socialiste ,07-1989,male
Lyndon H.A. HARRISON,1316,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
Jean-Paul HEIDER,1881,France,Group of the European Democratic Alliance,None,1989-1994,Rassemblement pour la République ,06-1993,male
Fernand H.J. HERMAN,1467,Belgium,Group of the European People's Party (Christian,None,1989-1994,Parti social-chrétien ,07-1989,male
Anna (An) M.A. HERMANS,1251,Belgium,Group of the European People's Party (Christian,None,1989-1994,Christelijke Volkspartij ,07-1989,female
Robert E.V. HERSANT,1193,France,Liberal and Democratic Reformist Group,Group of the European People's Party (Christian,1989-1994,Union pour la démocratie française ,07-1989,male
Michel HERVÉ,954,France,Socialist Group,Group of the Party of European Socialists,1989-1994,Parti socialiste ,11-1989,male
Philippe A.R. HERZOG,1167,France,Left Unity,None,1989-1994,Parti communiste français ,07-1989,male
Michael J. HINDLEY,1414,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
Magdalene HOFF,1235,Germany,Socialist Group,Group of the Party of European Socialists,1989-1994,Sozialdemokratische Partei Deutschlands ,07-1989,female
Martin HOLZFUSS,984,Germany,Liberal and Democratic Reformist Group,None,1989-1994,Freie Demokratische Partei ,07-1989,male
Geoffrey W. HOON,1415,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
Karsten Friedrich HOPPENSTEDT,1222,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich Demokratische Union Deutschlands ,07-1989,male
Jean-François HORY,1213,France,Socialist Group,Group of the Party of European Socialists,1989-1994,Mouvement des Radicaux de Gauche ,07-1989,male
Paul F. HOWELL,1416,United Kingdom,European Democratic Group,Group of the European People's Party (Christian,1989-1994,Conservative and Unionist Party ,07-1989,male
Stephen HUGHES,1407,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
John HUME,1408,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Social Democratic and Labour Party ,07-1989,male
Franco IACONO,1105,Italy,Socialist Group,Group of the Party of European Socialists,1989-1994,Partito socialista italiano ,07-1989,male
Renzo IMBENI,1106,Italy,Group for the European United Left,Socialist Group,1989-1994,Partito comunista italiano ,07-1989,male
The Lord INGLEWOOD,1217,United Kingdom,European Democratic Group,Group of the European People's Party (Christian,1989-1994,Conservative and Unionist Party ,07-1989,male
Antonio IODICE,969,Italy,Group of the European People's Party (Christian,None,1989-1994,Democrazia cristiana ,07-1989,male
Marie Anne ISLER BÉGUIN,1833,France,The Green Group in the European Parliament,None,1989-1994,Les Verts-Europe-Ecologie ,12-1991,female
John IVERSEN,1277,Denmark,Group for the European United Left,The Green Group in the European Parliament,1989-1994,Socialistisk folkeparti ,07-1989,male
María IZQUIERDO ROJO,1190,Spain,Socialist Group,Group of the Party of European Socialists,1989-1994,Partido Socialista Obrero Español ,07-1989,female
Caroline JACKSON,1370,United Kingdom,European Democratic Group,None,1989-1994,Conservative and Unionist Party ,07-1989,female
Christopher Murray JACKSON,1409,United Kingdom,European Democratic Group,None,1989-1994,Conservative and Unionist Party ,07-1989,male
Erhard V. JAKOBSEN,1278,Denmark,Group of the European People's Party (Christian,None,1989-1994,Centrum-Demokraterne ,07-1989,male
James L. JANSSEN van RAAY,1455,Netherlands,Group of the European People's Party (Christian,None,1989-1994,Christen Democratisch Appèl ,07-1989,male
Georg JARZEMBOWSKI,1,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich Demokratische Union Deutschlands ,09-1991,male
Kirsten M. JENSEN,1120,Denmark,Socialist Group,Group of the Party of European Socialists,1989-1994,Socialdemokratiet ,07-1989,female
Marie JEPSEN,1243,Denmark,European Democratic Group,Group of the European People's Party (Christian,1989-1994,Det konservative folkeparti ,07-1989,female
Claire JOANNY,1126,France,The Green Group in the European Parliament,None,1989-1994,Les Verts-Europe-Ecologie ,07-1989,female
Karin JUNKER,1062,Germany,Socialist Group,Group of the Party of European Socialists,1989-1994,Sozialdemokratische Partei Deutschlands ,07-1989,female
Alain JUPPÉ,1168,France,Group of the European Democratic Alliance,None,1989-1994,Rassemblement pour la République ,07-1989,male
Emmanouil KARELLIS,1887,Greece,Group of the Party of European Socialists,None,1989-1994,Panellinio Socialistiko Kinima ,10-1993,male
Edward T. KELLETT-BOWMAN,1410,United Kingdom,European Democratic Group,None,1989-1994,Conservative and Unionist Party ,07-1989,male
Hedwig KEPPELHOFF-WIECHERT,1063,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich Demokratische Union Deutschlands ,07-1989,female
Mark KILLILEA,1444,Ireland,Group of the European Democratic Alliance,None,1989-1994,Fianna Fáil Party ,07-1989,male
Egon A. KLEPSCH,1267,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich Demokratische Union Deutschlands ,07-1989,male
Heinz Fritz KÖHLER,1074,Germany,Socialist Group,Group of the Party of European Socialists,1989-1994,Sozialdemokratische Partei Deutschlands ,07-1989,male
Klaus-Peter KÖHLER,1075,Germany,Technical Group of the European Right,None,1989-1994,Die Republikaner ,07-1989,male
Niels Anker KOFOED,1145,Denmark,Liberal and Democratic Reformist Group,None,1989-1994,Venstre ,07-1989,male
Sotiris KOSTOPOULOS,1072,Greece,Socialist Group,Non-attached Members,1989-1994,Panellinio Socialistiko Kinima ,07-1989,male
Robert Ernest KRIEPS,1216,Luxembourg,Socialist Group,None,1989-1994,Parti ouvrier socialiste luxembourgeois ,07-1989,male
Annemarie KUHN,3,Germany,Socialist Group,Group of the Party of European Socialists,1989-1994,Sozialdemokratische Partei Deutschlands ,12-1990,female
Jeannou LACAZE,1169,France,Liberal and Democratic Reformist Group,Group of the European People's Party (Christian,1989-1994,Centre national des indépendants ,07-1989,female
José María LAFUENTE LÓPEZ,2,Spain,Group of the European People's Party (Christian,None,1989-1994,Partido Popular ,10-1991,male
Efstathios LAGAKOS,1058,Greece,Group of the European People's Party (Christian,None,1989-1994,Nea Dimokratia ,07-1989,male
Lelio LAGORIO,970,Italy,Socialist Group,Group of the Party of European Socialists,1989-1994,Partito socialista italiano ,07-1989,male
Giorgio LA MALFA,1010,Italy,Liberal and Democratic Reformist Group,None,1989-1994,Partito repubblicano italiano ,07-1989,male
Francesco LAMANNA,1870,Italy,Group of the European People's Party (Christian,None,1989-1994,Democrazia cristiana ,09-1992,male
Alain LAMASSOURE,1204,France,Liberal and Democratic Reformist Group,Group of the European People's Party (Christian,1989-1994,Union pour la démocratie française - Clubs Perspectives et Réalités ,07-1989,male
Panayotis LAMBRIAS,1456,Greece,Group of the European People's Party (Christian,None,1989-1994,Nea Dimokratia ,07-1989,male
Karmelo LANDA MENDIBE,237,Spain,Non-attached Members,None,1989-1994,Herri Batasuna ,09-1990,male
Patrick LANE,1280,Ireland,Group of the European Democratic Alliance,None,1989-1994,Fianna Fáil Party ,07-1989,male
Brigitte LANGENHAGEN,35,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich Demokratische Union Deutschlands ,11-1990,female
Alexander LANGER,1107,Italy,The Green Group in the European Parliament,None,1989-1994,Verdi Europa ,07-1989,male
Horst LANGES,1268,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich Demokratische Union Deutschlands ,07-1989,male
Paul A.A.J.G. LANNOYE,1292,Belgium,The Green Group in the European Parliament,None,1989-1994,Ecologistes confédérés pour l'organisation de luttes originales - Verts européens pour des régions transfrontalières et solidaires ,07-1989,male
Antonio LA PERGOLA,1108,Italy,Socialist Group,Group of the Party of European Socialists,1989-1994,Partito socialista italiano ,07-1989,male
Jessica E.S. LARIVE,1434,Netherlands,Liberal and Democratic Reformist Group,None,1989-1994,Volkspartij voor Vrijheid en Democratie ,07-1989,female
Nereo LARONI,1099,Italy,Socialist Group,Group of the Party of European Socialists,1989-1994,Partito socialista italiano ,07-1989,male
Pierre LATAILLADE,1021,France,Group of the European Democratic Alliance,None,1989-1994,Rassemblement pour la République ,07-1989,male
Louis LAUGA,962,France,Group of the European Democratic Alliance,None,1989-1994,Rassemblement pour la République ,11-1989,male
Jean-Marie LE CHEVALLIER,1022,France,Technical Group of the European Right,None,1989-1994,Front national ,07-1989,female
Martine LEHIDEUX,1127,France,Technical Group of the European Right,None,1989-1994,Front national ,07-1989,female
Gerd Ludwig LEMMER,1257,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich Demokratische Union Deutschlands ,07-1989,male
Marlene LENZ,1236,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich Demokratische Union Deutschlands ,07-1989,female
Jean-Marie LE PEN,1023,France,Technical Group of the European Right,None,1989-1994,Front national ,07-1989,female
Salvatore LIMA,991,Italy,Group of the European People's Party (Christian,None,1989-1994,Democrazia cristiana ,07-1989,male
Rolf LINKOHR,1258,Germany,Socialist Group,Group of the Party of European Socialists,1989-1994,Sozialdemokratische Partei Deutschlands ,07-1989,male
Dionysios LIVANOS,1049,Greece,Socialist Group,Group of the Party of European Socialists,1989-1994,Panellinio Socialistiko Kinima ,07-1989,male
Carmen LLORCA VILAPLANA,1306,Spain,Group of the European People's Party (Christian,None,1989-1994,Partido Popular ,07-1989,female
Calogero LO GIUDICE,982,Italy,Group of the European People's Party (Christian,None,1989-1994,Democrazia cristiana ,07-1989,male
Alfred LOMAS,1411,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
Francisco António LUCAS PIRES,1363,Portugal,Group of the European People's Party (Christian,None,1989-1994,Partido do Centro Democrático Social ,07-1989,male
Günter LÜTTGE,1076,Germany,Socialist Group,Group of the Party of European Socialists,1989-1994,Sozialdemokratische Partei Deutschlands ,07-1989,male
Astrid LULLING,1186,Luxembourg,Group of the European People's Party (Christian,None,1989-1994,Parti chrétien social ,07-1989,female
Rudolf LUSTER,1259,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich Demokratische Union Deutschlands ,07-1989,male
John Joseph McCARTIN,1436,Ireland,Group of the European People's Party (Christian,None,1989-1994,Fine Gael Party ,07-1989,male
Henry Bell McCUBBIN,1317,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
Michael McGOWAN,1402,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
Anne Caroline B. MCINTOSH,1299,United Kingdom,European Democratic Group,Group of the European People's Party (Christian,1989-1994,Conservative and Unionist Party ,07-1989,female
Hugh R. McMAHON,1404,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
Edward MCMILLAN-SCOTT,1405,United Kingdom,European Democratic Group,Group of the European People's Party (Christian,1989-1994,Conservative and Unionist Party ,07-1989,male
Alain MADELIN,1024,France,Liberal and Democratic Reformist Group,None,1989-1994,Parti républicain ,07-1989,male
Maria MAGNANI NOYA,994,Italy,Socialist Group,None,1989-1994,Partito socialista italiano ,07-1989,female
Thomas Joseph MAHER,1437,Ireland,Liberal and Democratic Reformist Group,None,1989-1994,Independent ,07-1989,male
Gepa MAIBAUM,1064,Germany,Socialist Group,Group of the Party of European Socialists,1989-1994,Sozialdemokratische Partei Deutschlands ,07-1989,male
Hanja MAIJ-WEGGEN,1425,Netherlands,Group of the European People's Party (Christian,None,1989-1994,Christen Democratisch Appèl ,07-1989,female
Kurt MALANGRÉ,1260,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich Demokratische Union Deutschlands ,07-1989,male
Christian de la MALÈNE,974,France,Group of the European Democratic Alliance,None,1989-1994,Rassemblement pour la République ,07-1989,male
Claude MALHURET,1025,France,Liberal and Democratic Reformist Group,None,1989-1994,Parti républicain ,07-1989,male
Bernie MALONE,1895,Ireland,Group of the Party of European Socialists,None,1989-1994,Labour Party ,02-1994,male
Agostino MANTOVANI,8,Italy,Group of the European People's Party (Christian,None,1989-1994,Democrazia cristiana ,04-1991,male
Pol M.E.E. MARCK,1468,Belgium,Group of the European People's Party (Christian,None,1989-1994,Christelijke Volkspartij ,07-1989,male
Luís MARINHO,1364,Portugal,Socialist Group,None,1989-1994,Partido Socialista ,07-1989,male
Alain MARLEIX,1165,France,Group of the European Democratic Alliance,None,1989-1994,Rassemblement pour la République ,07-1989,male
António Joaquim MARQUES MENDES,1365,Portugal,Liberal and Democratic Reformist Group,None,1989-1994,Partido Social Democrata ,07-1989,male
David MARTIN,1403,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
Simone M.M. MARTIN,946,France,Liberal and Democratic Reformist Group,None,1989-1994,Parti républicain ,07-1989,female
Jean-Claude MARTINEZ,966,France,Technical Group of the European Right,None,1989-1994,Front national ,09-1989,male
Vincenzo MATTINA,1011,Italy,Socialist Group,Group of the Party of European Socialists,1989-1994,Partito socialista italiano ,07-1989,male
Sylvie MAYER,1128,France,Left Unity,None,1989-1994,Parti communiste français ,07-1989,female
Antonio MAZZONE,958,Italy,Non-attached Members,None,1989-1994,Movimento sociale italiano - Destra nazionale ,10-1989,male
Nora MEBRAK-ZAïDI,992,France,Socialist Group,Group of the Party of European Socialists,1989-1994,apparenté Parti socialiste ,07-1989,female
Manuel MEDINA ORTEGA,1337,Spain,Socialist Group,Group of the Party of European Socialists,1989-1994,Partido Socialista Obrero Español ,07-1989,male
Thomas MEGAHY,1406,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
Bruno A.A. MÉGRET,1166,France,Technical Group of the European Right,None,1989-1994,Front national ,07-1989,male
Eugenio MELANDRI,1080,Italy,The Green Group in the European Parliament,None,1989-1994,Democrazia proletaria ,07-1989,male
Arne MELCHIOR,1896,Denmark,Group of the European People's Party (Christian,None,1989-1994,Centrum-Demokraterne ,03-1994,male
Mario MELIS,1100,Italy,Rainbow Group in the European Parliament,None,1989-1994,Unione Valdostana - Partito sardo d'azione ,07-1989,male
José MENDES BOTA,1140,Portugal,Liberal and Democratic Reformist Group,None,1989-1994,Partido Social Democrata ,07-1989,male
Íñigo MÉNDEZ DE VIGO,1873,Spain,Group of the European People's Party (Christian,None,1989-1994,Partido Popular ,10-1992,male
Winfried MENRAD,1041,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich Demokratische Union Deutschlands ,07-1989,male
Friedrich MERZ,1077,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich Demokratische Union Deutschlands ,07-1989,male
Alman METTEN,1445,Netherlands,Socialist Group,Group of the Party of European Socialists,1989-1994,Partij van de Arbeid ,07-1989,male
Alberto MICHELINI,971,Italy,Group of the European People's Party (Christian,None,1989-1994,Democrazia cristiana ,07-1989,male
Karl-Heinrich MIHR,1261,Germany,Socialist Group,Group of the Party of European Socialists,1989-1994,Sozialdemokratische Partei Deutschlands ,07-1989,male
Joaquim MIRANDA,1356,Portugal,Left Unity,None,1989-1994,Partido Comunista Português ,07-1989,male
Ana MIRANDA DE LAGE,1307,Spain,Socialist Group,Group of the Party of European Socialists,1989-1994,Partido Socialista Obrero Español ,07-1989,female
Pietro MITOLO,1867,Italy,Non-attached Members,None,1989-1994,Movimento sociale italiano - Destra nazionale ,05-1992,male
Gérard P.M.J. MONNIER-BESOMBES,1156,France,The Green Group in the European Parliament,None,1989-1994,Les Verts-Europe-Ecologie ,07-1989,male
José María MONTERO ZABALA,1338,Spain,Non-attached Members,None,1989-1994,Herri Batasuna ,07-1989,male
Aymeri de MONTESQUIOU FEZENSAC,952,France,Liberal and Democratic Reformist Group,None,1989-1994,Parti radical ,11-1989,male
James MOORHOUSE,1398,United Kingdom,European Democratic Group,Group of the European People's Party (Christian,1989-1994,Conservative and Unionist Party ,07-1989,male
Fernando MORÁN LÓPEZ,1339,Spain,Socialist Group,Group of the Party of European Socialists,1989-1994,Partido Socialista Obrero Español ,07-1989,male
Luigi MORETTI,1101,Italy,Rainbow Group in the European Parliament,None,1989-1994,Lega lombarda ,07-1989,male
Raúl MORODO LEONCIO,1340,Spain,Liberal and Democratic Reformist Group,None,1989-1994,Centro Democràtico y Social ,07-1989,male
David R. MORRIS,1399,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
Giuseppe MOTTOLA,1102,Italy,Group of the European People's Party (Christian,None,1989-1994,Democrazia cristiana ,07-1989,male
Gerd MÜLLER,1042,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich-Soziale Union in Bayern e.V. ,07-1989,male
Günther MÜLLER,1592,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich-Soziale Union in Bayern e.V. ,12-1992,male
Werner MÜNCH,1262,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich Demokratische Union Deutschlands ,07-1989,male
Hemmo J. MUNTINGH,1446,Netherlands,Socialist Group,Group of the Party of European Socialists,1989-1994,Partij van de Arbeid ,07-1989,male
Cristiana MUSCARDINI,1073,Italy,Non-attached Members,None,1989-1994,Movimento sociale italiano - Destra nazionale ,07-1989,female
François MUSSO,960,France,Group of the European Democratic Alliance,None,1989-1994,Rassemblement pour la République ,10-1989,male
Pasqualina NAPOLETANO,1065,Italy,Group for the European United Left,Socialist Group,1989-1994,Partito comunista italiano ,07-1989,female
Vito NAPOLI,1897,Italy,Group of the European People's Party (Christian,None,1989-1994,Democrazia cristiana ,04-1994,male
Giorgio NAPOLITANO,1103,Italy,Group for the European United Left,None,1989-1994,Partito comunista italiano ,07-1989,male
Antonio NAVARRO,1149,Spain,Group of the European People's Party (Christian,None,1989-1994,Partido Popular ,07-1989,male
Harald NEUBAUER,1223,Germany,Technical Group of the European Right,None,1989-1994,Die Republikaner ,07-1989,male
Arthur Stanley NEWENS,1400,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
Edward NEWMAN,1401,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
Bill NEWTON DUNN,1394,United Kingdom,European Democratic Group,None,1989-1994,Conservative and Unionist Party ,07-1989,male
Dimitrios NIANIAS,1032,Greece,Group of the European Democratic Alliance,None,1989-1994,Dimokratiki Ananeossi ,07-1989,male
James NICHOLSON,1318,United Kingdom,Group of the European People's Party (Christian,None,1989-1994,Ulster Unionist Party ,07-1989,male
Tove NIELSEN,1244,Denmark,Liberal and Democratic Reformist Group,None,1989-1994,Venstre ,07-1989,female
Jean-Thomas NORDMANN,1194,France,Liberal and Democratic Reformist Group,None,1989-1994,Parti radical ,07-1989,male
Achille OCCHETTO,1094,Italy,Group for the European United Left,Socialist Group,1989-1994,Partito comunista italiano ,07-1989,male
Christine Margaret ODDY,1178,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,female
The Lord O'HAGAN,1395,United Kingdom,European Democratic Group,Group of the European People's Party (Christian,1989-1994,Conservative and Unionist Party ,07-1989,male
Francisco OLIVA GARCIA,1341,Spain,Socialist Group,None,1989-1994,Partido Socialista Obrero Español ,07-1989,male
Gérard ONESTA,1838,France,The Green Group in the European Parliament,None,1989-1994,Les Verts-Europe-Ecologie ,12-1991,male
Leyla ONUR,1053,Germany,Socialist Group,Group of the Party of European Socialists,1989-1994,Sozialdemokratische Partei Deutschlands ,07-1989,female
Ria OOMEN-RUIJTEN,1122,Netherlands,Group of the European People's Party (Christian,None,1989-1994,Christen Democratisch Appèl ,07-1989,female
Arie M. OOSTLANDER,1282,Netherlands,Group of the European People's Party (Christian,None,1989-1994,Christen Democratisch Appèl ,07-1989,male
Marcelino OREJA,1150,Spain,Group of the European People's Party (Christian,None,1989-1994,Partido Popular ,07-1989,male
Leopoldo ORTIZ CLIMENT,1151,Spain,Group of the European People's Party (Christian,None,1989-1994,Partido Popular ,07-1989,male
Pedro PACHECO HERRERA,1143,Spain,Rainbow Group in the European Parliament,None,1989-1994,Partido Andalucista ,07-1989,male
Doris PACK,1191,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich Demokratische Union Deutschlands ,07-1989,female
Dimitrios PAGOROPOULOS,1050,Greece,Socialist Group,Group of the Party of European Socialists,1989-1994,Panellinio Socialistiko Kinima ,07-1989,male
Ian R.K. PAISLEY,1396,United Kingdom,Non-attached Members,None,1989-1994,Democratic Unionist Party ,07-1989,male
Gabriele PANIZZI,2101,Italy,Non-attached Members,Group of the Party of European Socialists,1989-1994,Partito socialista italiano ,05-1994,male
Marco PANNELLA,1002,Italy,Non-attached Members,None,1989-1994,Polo laico ,07-1989,male
Mihail PAPAYANNAKIS,1051,Greece,Group for the European United Left,Non-attached Members,1989-1994,Synaspismos tis Aristeras kai tis Proodou ,07-1989,male
Christos PAPOUTSIS,1457,Greece,Socialist Group,Group of the Party of European Socialists,1989-1994,Panellinio Socialistiko Kinima ,07-1989,male
Eolo PARODI,233,Italy,Group of the European People's Party (Christian,None,1989-1994,Democrazia cristiana ,09-1990,male
Karl PARTSCH,1078,Germany,The Green Group in the European Parliament,Liberal and Democratic Reformist Group,1989-1994,Bündnis 90/die Grünen ,07-1989,male
Jean-Claude PASTY,1205,France,Group of the European Democratic Alliance,None,1989-1994,Rassemblement pour la République ,07-1989,male
Karla M.H. PEIJS,1123,Netherlands,Group of the European People's Party (Christian,None,1989-1994,Christen Democratisch Appèl ,07-1989,female
Jean J.M. PENDERS,1447,Netherlands,Group of the European People's Party (Christian,None,1989-1994,Christen Democratisch Appèl ,07-1989,female
Virgílio PEREIRA,1357,Portugal,Liberal and Democratic Reformist Group,None,1989-1994,Partido Social Democrata ,07-1989,male
Fernando PÉREZ ROYO,1333,Spain,Group for the European United Left,None,1989-1994,Izquierda Unida ,07-1989,male
Carlos PERREAU DE PINNINCK DOMENECH,1220,Spain,Non-attached Members,Group of the European Democratic Alliance,1989-1994,Agrupación de Electores José María Ruiz-Mateos ,07-1989,male
Hartmut PERSCHAU,1079,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich Demokratische Union Deutschlands ,07-1989,male
Nicole PERY,1068,France,Socialist Group,Group of the Party of European Socialists,1989-1994,Parti socialiste ,07-1989,female
Ioannis PESMAZOGLOU,1043,Greece,Group of the European People's Party (Christian,None,1989-1994,Nea Dimokratia ,07-1989,male
Helwin PETER,973,Germany,Socialist Group,Group of the Party of European Socialists,1989-1994,Sozialdemokratische Partei Deutschlands ,07-1989,male
Willi PIECYK,1866,Germany,Socialist Group,Group of the Party of European Socialists,1989-1994,Sozialdemokratische Partei Deutschlands ,05-1992,male
Dorothee PIERMONT,1054,Germany,The Green Group in the European Parliament,Rainbow Group in the European Parliament,1989-1994,Bündnis 90/die Grünen ,07-1989,female
Filippos PIERROS,1052,Greece,Group of the European People's Party (Christian,None,1989-1994,Nea Dimokratia ,07-1989,male
Carlos PIMENTA,1358,Portugal,Liberal and Democratic Reformist Group,None,1989-1994,Partido Social Democrata ,07-1989,male
Michel PINTON,1876,France,Non-attached Members,None,1989-1994,Union pour la démocratie française ,04-1993,male
Karel A.H.A.M. PINXTEN,1293,Belgium,Group of the European People's Party (Christian,None,1989-1994,Christelijke Volkspartij ,07-1989,male
Fritz PIRKL,1254,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich-Soziale Union in Bayern e.V. ,07-1989,male
Ferruccio PISONI,1003,Italy,Group of the European People's Party (Christian,None,1989-1994,Democrazia cristiana ,07-1989,male
Nino PISONI,983,Italy,Group of the European People's Party (Christian,None,1989-1994,Democrazia cristiana ,07-1989,male
Luis PLANAS PUCHADES,1334,Spain,Socialist Group,None,1989-1994,Partido Socialista Obrero Español ,07-1989,male
The Lord Henry PLUMB,1389,United Kingdom,European Democratic Group,Group of the European People's Party (Christian,1989-1994,Conservative and Unionist Party ,07-1989,male
Lydie POLFER,28862,Luxembourg,Liberal and Democratic Reformist Group,None,1989-1994,Parti démocratique ,06-1990,female
Anita Jean POLLACK,1300,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,female
José Javier POMÉS RUIZ,1882,Spain,Group of the European People's Party (Christian,None,1989-1994,Partido Popular ,06-1993,male
Alain POMPIDOU,1206,France,Group of the European Democratic Alliance,None,1989-1994,Rassemblement pour la République ,07-1989,male
Josep E. PONS GRAU,1335,Spain,Socialist Group,Group of the Party of European Socialists,1989-1994,Partido Socialista Obrero Español ,07-1989,male
Giacomo PORRAZZINI,1095,Italy,Group for the European United Left,Socialist Group,1989-1994,Partito comunista italiano ,07-1989,male
Manuel PORTO,1141,Portugal,Liberal and Democratic Reformist Group,None,1989-1994,Partido Social Democrata ,07-1989,male
José Domingo POSADA GONZÁLEZ,1885,Spain,Rainbow Group in the European Parliament,None,1989-1994,Coalición Nacionalista ,07-1993,male
Hans-Gert PÖTTERING,1253,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich Demokratische Union Deutschlands ,07-1989,male
Derek PRAG,1390,United Kingdom,European Democratic Group,Group of the European People's Party (Christian,1989-1994,Conservative and Unionist Party ,07-1989,male
Peter N. PRICE,1391,United Kingdom,European Democratic Group,None,1989-1994,Conservative and Unionist Party ,07-1989,male
Bartho PRONK,953,Netherlands,Group of the European People's Party (Christian,None,1989-1994,Christen Democratisch Appèl ,11-1989,male
Sir Christopher J. PROUT (Lord Kingsland),1392,United Kingdom,European Democratic Group,Group of the European People's Party (Christian,1989-1994,Conservative and Unionist Party ,07-1989,male
Elda PUCCI,1862,Italy,Liberal and Democratic Reformist Group,None,1989-1994,Partito repubblicano italiano ,03-1992,female
Alonso José PUERTA,1033,Spain,Group for the European United Left,Non-attached Members,1989-1994,Izquierda Unida ,07-1989,male
Eduardo PUNSET I CASALS,1336,Spain,Liberal and Democratic Reformist Group,None,1989-1994,Centro Democràtico y Social ,07-1989,male
Maartje J.A. van PUTTEN,1241,Netherlands,Socialist Group,Group of the Party of European Socialists,1989-1994,Partij van de Arbeid ,07-1989,female
Jean QUERBES,1894,France,Left Unity,None,1989-1994,Parti communiste français ,02-1994,female
Godelieve QUISTHOUDT-ROWOHL,1055,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich Demokratische Union Deutschlands ,07-1989,female
Eva-Maria QUISTORP,1056,Germany,The Green Group in the European Parliament,None,1989-1994,Bündnis 90/die Grünen ,07-1989,female
Jean-Pierre RAFFARIN,1207,France,Liberal and Democratic Reformist Group,None,1989-1994,Parti républicain ,07-1989,male
Jean-Pierre RAFFIN,1837,France,The Green Group in the European Parliament,None,1989-1994,Les Verts-Europe-Ecologie ,12-1991,male
Georgios RAFTOPOULOS,1890,Greece,Group of the Party of European Socialists,None,1989-1994,Panellinio Socialistiko Kinima ,11-1993,male
Andrea RAGGIO,1004,Italy,Group for the European United Left,None,1989-1994,Partito comunista italiano ,07-1989,female
