fullName,id,country,eu_group_1,eu_group_2,nation_group,term,start_period_1,gender
Jean-Pierre ABELIN,1829,France,Group of the European People's Party (Christian,None,Union pour la démocratie française ,1984-1989,07-1984,male
Victor ABENS,1802,Luxembourg,Socialist Group ,None,Parti ouvrier socialiste luxembourgeois ,1984-1989,07-1984,male
Carlos ABOIM INGLEZ,1680,Portugal,Communist and Allies Group ,None,Partido Comunista Português ,1984-1989,09-1987,male
Gordon J. ADAM,1427,United Kingdom,Socialist Group ,None,Labour Party ,1984-1989,07-1984,male
Dimitrios ADAMOU,1765,Greece,Communist and Allies Group ,None,Kommounistiko Komma Elladas ,1984-1989,07-1984,male
Jochen van AERSSEN,1797,Germany,Group of the European People's Party (Christian,None,Christlich Demokratische Union Deutschlands ,1984-1989,07-1984,male
Heinrich AIGNER,1762,Germany,Group of the European People's Party (Christian,None,Christlich-Soziale Union in Bayern e.V. ,1984-1989,07-1984,male
Alexandros ALAVANOS,1461,Greece,Communist and Allies Group ,None,Kommounistiko Komma Elladas ,1984-1989,07-1984,male
Siegbert ALBER,1271,Germany,Group of the European People's Party (Christian,None,Christlich Demokratische Union Deutschlands ,1984-1989,07-1984,male
Jean-Marie ALEXANDRE,1170,France,Socialist Group ,None,Parti socialiste ,1984-1989,09-1987,female
Rui Manuel ALMEIDA MENDES,1813,Portugal,Liberal and Democratic Reformist Group ,None,Partido Social Democrata ,1984-1989,01-1986,male
Giorgio ALMIRANTE,1478,Italy,Group of the European Right ,None,Movimento sociale italiano - Destra nazionale ,1984-1989,07-1984,male
José María ALVAREZ DE EULATE PEÑARANDA,1795,Spain,European Democratic Group ,None,Coalición Popular ,1984-1989,01-1986,male
José ÁLVAREZ DE PAZ,1359,Spain,Socialist Group ,None,Partido Socialista Obrero Español ,1984-1989,01-1986,male
Giuseppe AMADEI,1790,Italy,Socialist Group ,None,Partito socialista democratico italiano ,1984-1989,07-1984,male
Rui AMARAL,1380,Portugal,Liberal and Democratic Reformist Group ,None,Partido Social Democrata ,1984-1989,02-1986,male
Werner AMBERG,1827,Germany,Socialist Group ,None,Sozialdemokratische Partei Deutschlands ,1984-1989,02-1987,male
Georgios ANASTASSOPOULOS,1462,Greece,Group of the European People's Party (Christian,None,Nea Dimokratia ,1984-1989,07-1984,male
Hedy d'ANCONA,1432,Netherlands,Socialist Group ,None,Partij van de Arbeid ,1984-1989,07-1984,female
Ettore Giovanni ANDENNA,1828,Italy,Socialist Group ,None,Partito socialista democratico italiano ,1984-1989,02-1987,male
Anne ANDRÉ-LÉONARD,1817,Belgium,Liberal and Democratic Group ,Liberal and Democratic Reformist Group ,Parti réformateur libéral ,1984-1989,11-1985,female
Niall ANDREWS,1441,Ireland,Group of the European Democratic Alliance ,None,Fianna Fáil Party ,1984-1989,07-1984,male
Magdeleine ANGLADE,1772,France,Group of the European Democratic Alliance ,None,Centre national des indépendents et paysans ,1984-1989,07-1984,female
Dario ANTONIOZZI,1789,Italy,Group of the European People's Party (Christian,None,Democrazia cristiana ,1984-1989,07-1984,male
Bernard ANTONY,1209,France,Group of the European Right ,None,Front national ,1984-1989,07-1984,male
Víctor Manuel ARBELOA MURU,1360,Spain,Socialist Group ,None,Partido Socialista Obrero Español ,1984-1989,01-1986,male
Pedro ARGÜELLES SALAVERRIA,1826,Spain,European Democratic Group ,None,Alianza Popular ,1984-1989,07-1987,male
Miguel ARIAS CAÑETE,1351,Spain,European Democratic Group ,None,Coalición Popular ,1984-1989,01-1986,male
Rudi ARNDT,1786,Germany,Socialist Group ,None,Sozialdemokratische Partei Deutschlands ,1984-1989,07-1984,male
Evangelos AVEROF-TOSSITSAS,1763,Greece,Group of the European People's Party (Christian,None,Nea Dimokratia ,1984-1989,07-1984,male
Paraskevas AVGERINOS,1463,Greece,Socialist Group ,None,Panellinio Socialistiko Kinima ,1984-1989,07-1984,male
Jean-Paul BACHY,1769,France,Socialist Group ,None,Parti socialiste ,1984-1989,07-1984,male
Monique BADÉNES,1818,France,Group of the European People's Party (Christian,None,Union pour la démocratie française ,1984-1989,01-1989,female
Gianni BAGET BOZZO,1093,Italy,Socialist Group ,None,Partito socialista italiano ,1984-1989,07-1984,male
Louis BAILLOT,1787,France,Communist and Allies Group ,None,Parti communiste français ,1984-1989,04-1986,male
Richard A. BALFE,1428,United Kingdom,Socialist Group ,None,Labour Party ,1984-1989,07-1984,male
Francisco Pinto BALSEMÃO,1791,Portugal,Liberal and Democratic Reformist Group ,None,Partido Social Democrata ,1984-1989,01-1986,male
Juan María BANDRÉS MOLET,1155,Spain,Rainbow Group,None,Grupo Mixto Congreso ,1984-1989,01-1986,male
Mary Elizabeth BANOTTI,1426,Ireland,Group of the European People's Party (Christian,None,Fine Gael Party ,1984-1989,07-1984,female
Carla BARBARELLA,1773,Italy,Communist and Allies Group ,None,Partito comunista italiano ,1984-1989,07-1984,female
Otto BARDONG,1825,Germany,Group of the European People's Party (Christian,None,Christlich Demokratische Union Deutschlands ,1984-1989,07-1984,male
Enrique BARÓN CRESPO,1352,Spain,Socialist Group ,None,Partido Socialista Obrero Español ,1984-1989,01-1986,male
Carlos BARRAL AGESTA,1758,Spain,Socialist Group ,None,Partido Socialista Obrero Español ,1984-1989,01-1986,male
Sylvester BARRETT,1824,Ireland,Group of the European Democratic Alliance ,None,Fianna Fáil Party ,1984-1989,07-1984,male
José BARROS MOURA,1371,Portugal,Communist and Allies Group ,None,Partido Comunista Português ,1984-1989,01-1986,male
Roberto BARZANTI,1135,Italy,Communist and Allies Group ,None,Partito comunista italiano ,1984-1989,07-1984,male
Robert BATAILLY,1477,France,Liberal and Democratic Reformist Group ,None,Parti radical ,1984-1989,01-1989,male
Robert C. BATTERSBY,1784,United Kingdom,European Democratic Group ,None,Conservative and Unionist Party ,1984-1989,07-1984,male
Dominique BAUDIS,1759,France,Group of the European People's Party (Christian,None,Union pour la démocratie française ,1984-1989,07-1984,male
Denis BAUDOUIN,1822,France,Group of the European Democratic Alliance ,None,Rassemblement pour la République ,1984-1989,07-1984,male
Charles E. BAUR,1035,France,Liberal and Democratic Reformist Group ,None,Union pour la démocratie française - Parti social démocrate ,1984-1989,12-1986,male
Bernardo BAYONA AZNAR,1760,Spain,Socialist Group ,None,Partido Socialista Obrero Español ,1984-1989,01-1986,male
Christopher BEAZLEY,1429,United Kingdom,European Democratic Group ,None,Conservative and Unionist Party ,1984-1989,07-1984,male
Peter BEAZLEY,1421,United Kingdom,European Democratic Group ,None,Conservative and Unionist Party ,1984-1989,07-1984,male
Hans-Joachim BECKMANN,1823,Germany,Socialist Group ,None,Sozialdemokratische Partei Deutschlands ,1984-1989,08-1988,male
Luis Filipe Pais BEIRÔCO,1138,Portugal,Group of the European People's Party (Christian,None,Partido do Centro Democrático Social ,1984-1989,01-1986,male
Maria BELO,1362,Portugal,Socialist Group ,None,Partido Socialista ,1984-1989,03-1988,female
Carlos Manuel BENCOMO MENDOZA,1761,Spain,Liberal and Democratic Reformist Group ,None,Grupo Mixto Senado ,1984-1989,01-1986,male
Gérard BENHAMOU,1820,France,Liberal and Democratic Reformist Group ,None,Parti radical ,1984-1989,09-1987,male
Pierre BERNARD-REYMOND,1036,France,Group of the European People's Party (Christian,None,Centre des démocrates sociaux ,1984-1989,07-1984,male
Giovanni BERSANI,1781,Italy,Group of the European People's Party (Christian,None,Democrazia cristiana ,1984-1989,07-1984,male
Jean BESSE,1821,France,Socialist Group ,None,Parti socialiste ,1984-1989,07-1984,female
The Lord Nicholas BETHELL,1422,United Kingdom,European Democratic Group ,None,Conservative and Unionist Party ,1984-1989,07-1984,male
Vincenzo BETTIZA,977,Italy,Liberal and Democratic Group ,Liberal and Democratic Reformist Group ,Partito liberale italiano ,1984-1989,07-1984,male
Bouke BEUMER,1451,Netherlands,Group of the European People's Party (Christian,None,Christen Democratisch Appèl ,1984-1989,07-1984,male
Luc Ch.H. BEYER DE RYKE,1780,Belgium,Liberal and Democratic Group ,Liberal and Democratic Reformist Group ,Parti réformateur libéral ,1984-1989,07-1984,male
John A.W. BIRD,1423,United Kingdom,Socialist Group ,None,Labour Party ,1984-1989,03-1987,male
Philipp von BISMARCK,1778,Germany,Group of the European People's Party (Christian,None,Christlich Demokratische Union Deutschlands ,1984-1989,07-1984,male
Birgit BJØRNVIG,1242,Denmark,Rainbow Group,None,Folkebevægelsen mod EF ,1984-1989,09-1987,female
Roland BLUM,1766,France,Liberal and Democratic Reformist Group ,None,Union pour la démocratie française ,1984-1989,03-1986,male
Erik Bernhard BLUMENFELD,1776,Germany,Group of the European People's Party (Christian,None,Christlich Demokratische Union Deutschlands ,1984-1989,07-1984,male
Gisèle BOCHENEK-FORRAY,1707,France,Socialist Group ,None,Parti socialiste ,1984-1989,07-1984,female
Reinhold L. BOCKLET,1272,Germany,Group of the European People's Party (Christian,None,Christlich-Soziale Union in Bayern e.V. ,1984-1989,07-1984,male
Jørgen BØGH,1779,Denmark,Rainbow Group,None,Folkebevægelsen mod EF ,1984-1989,07-1984,male
Alfons BOESMANS,1819,Belgium,Socialist Group ,None,Socialistische Partij ,1984-1989,11-1985,male
Alain BOMBARD,1212,France,Socialist Group ,None,Parti socialiste ,1984-1989,07-1984,male
Aldo BONACCINI,1770,Italy,Communist and Allies Group ,None,Partito comunista italiano ,1984-1989,07-1984,male
Jens-Peter BONDE,1275,Denmark,Rainbow Group,None,Folkebevægelsen mod EF ,1984-1989,07-1984,male
Emma BONINO,1566,Italy,Non-attached Members,None,Partito radicale ,1984-1989,07-1984,female
Margherita BONIVER,1816,Italy,Socialist Group ,None,Partito socialista italiano ,1984-1989,09-1987,female
Elise C.A.M. BOOT,1737,Netherlands,Group of the European People's Party (Christian,None,Christen Democratisch Appèl ,1984-1989,07-1984,female
Franco BORGO,1012,Italy,Group of the European People's Party (Christian,None,Democrazia cristiana ,1984-1989,07-1984,male
Bodil BOSERUP,1738,Denmark,Communist and Allies Group ,None,Socialistisk folkeparti ,1984-1989,07-1984,female
Ioannis BOUTOS,1814,Greece,Group of the European People's Party (Christian,Group of the European Democratic Alliance ,Nea Dimokratia ,1984-1989,07-1984,male
Ursula BRAUN-MOSER,941,Germany,Group of the European People's Party (Christian,None,Christlich Demokratische Union Deutschlands ,1984-1989,07-1984,female
Georges de BRÉMOND d'ARS,1741,France,Liberal and Democratic Reformist Group ,None,Union pour la démocratie française ,1984-1989,09-1988,male
Jürgen BRINCKMEIER,1754,Germany,Socialist Group ,None,Sozialdemokratische Partei Deutschlands ,1984-1989,07-1984,male
José António BRITO APOLONIA,1755,Portugal,Communist and Allies Group ,None,Partido Comunista Português ,1984-1989,01-1986,male
Elmar BROK,1263,Germany,Group of the European People's Party (Christian,None,Christlich Demokratische Union Deutschlands ,1984-1989,07-1984,male
Beate Ann BROOKES,1739,United Kingdom,European Democratic Group ,None,Conservative and Unionist Party ,1984-1989,07-1984,female
Carlos María BRU PURÓN,1353,Spain,Socialist Group ,None,Partido Socialista Obrero Español ,1984-1989,01-1986,male
Janey O'Neil BUCHAN,1366,United Kingdom,Socialist Group ,None,Labour Party ,1984-1989,07-1984,female
Hubert Jean BUCHOU,1767,France,Group of the European Democratic Alliance ,None,Rassemblement pour la République ,1984-1989,04-1987,male
José Miguel BUENO VICENTE,1768,Spain,Socialist Group ,None,Partido Socialista Obrero Español ,1984-1989,01-1986,male
Martine BURON,1181,France,Socialist Group ,None,Parti socialiste ,1984-1989,07-1988,female
Antonino BUTTAFUOCO,1764,Italy,Group of the European Right ,None,Movimento sociale italiano - Destra nazionale ,1984-1989,07-1984,male
Esteban CAAMAÑO BERNAL,1731,Spain,Socialist Group ,None,Partido Socialista Obrero Español ,1984-1989,01-1986,male
Pío CABANILLAS GALLAS,1354,Spain,Non-attached Members,European Democratic Group ,Coalición Popular ,1984-1989,01-1986,male
Jesús CABEZÓN ALONSO,1355,Spain,Socialist Group ,None,Partido Socialista Obrero Español ,1984-1989,01-1986,male
José CABRERA BAZAN,1728,Spain,Socialist Group ,None,Partido Socialista Obrero Español ,1984-1989,01-1986,male
Rafael CALVO ORTEGA,1346,Spain,Non-attached Members,Technical Coordination and Defence of Independent Groups and Members ,Centro Democràtico y Social ,1984-1989,07-1987,male
Leopoldo CALVO-SOTELO,1717,Spain,Group of the European People's Party (Christian,None,Unión Centro Democràtico ,1984-1989,01-1986,male
Michel de CAMARET,1757,France,Group of the European Right ,None,Front national ,1984-1989,07-1984,male
Jorge CAMPINOS,1783,Portugal,Socialist Group ,None,Partido Socialista ,1984-1989,01-1986,male
Eusebio CANO PINTO,1347,Spain,Socialist Group ,None,Partido Socialista Obrero Español ,1984-1989,01-1986,male
Antonio Nicola CANTALAMESSA,1812,Italy,Group of the European Right ,None,Movimento sociale italiano - Destra nazionale ,1984-1989,09-1988,male
