fullName,id,country,eu_group_1,eu_group_2,nation_group,term,start_period_1,gender
Manuel CANTARERO DEL CASTILLO,1749,Spain,European Democratic Group ,None,Coalición Popular ,1984-1989,01-1986,male
Alain CARIGNON,1750,France,Group of the European Democratic Alliance ,None,Rassemblement pour la République ,1984-1989,07-1984,male
Angelo CAROSSINO,1730,Italy,Communist and Allies Group ,None,Partito comunista italiano ,1984-1989,07-1984,male
José Vicente CARVALHO CARDOSO,1372,Portugal,Group of the European People's Party (Christian,None,Partido do Centro Democrático Social ,1984-1989,09-1987,male
Carlo CASINI,988,Italy,Group of the European People's Party (Christian,None,Democrazia cristiana ,1984-1989,07-1984,male
Jean-Pierre CASSABEL,1751,France,Group of the European Democratic Alliance ,None,Rassemblement pour la République ,1984-1989,07-1986,male
Maria Luisa CASSANMAGNAGO CERRETTI,949,Italy,Group of the European People's Party (Christian,None,Democrazia cristiana ,1984-1989,07-1984,female
Bryan M.D. CASSIDY,1424,United Kingdom,European Democratic Group ,None,Conservative and Unionist Party ,1984-1989,07-1984,male
Luciana CASTELLINA,947,Italy,Rainbow Group,Communist and Allies Group ,Partito comunista italiano ,1984-1989,07-1984,female
Barbara A. CASTLE,1706,United Kingdom,Socialist Group ,None,Labour Party ,1984-1989,07-1984,female
Sir Fred CATHERWOOD,1417,United Kingdom,European Democratic Group ,None,Conservative and Unionist Party ,1984-1989,07-1984,male
Marco CELLAI,1809,Italy,Group of the European Right ,None,Movimento sociale italiano - Destra nazionale ,1984-1989,10-1988,male
José Emilio CERVERA CARDONA,1810,Spain,Non-attached Members,Technical Coordination and Defence of Independent Groups and Members ,Centro Democràtico y Social ,1984-1989,07-1987,male
Giovanni CERVETTI,1811,Italy,Communist and Allies Group ,None,Partito comunista italiano ,1984-1989,07-1984,male
Dominique CHABOCHE,1752,France,Group of the European Right ,None,Front national ,1984-1989,07-1984,male
Robert CHAMBEIRON,1723,France,Communist and Allies Group ,None,Parti communiste français ,1984-1989,07-1984,male
Raphaël M.G. CHANTERIE,1471,Belgium,Group of the European People's Party (Christian,None,Christelijke Volkspartij ,1984-1989,07-1984,male
Mauro CHIABRANDO,1014,Italy,Group of the European People's Party (Christian,None,Democrazia cristiana ,1984-1989,07-1984,male
Roger CHINAUD,1807,France,Liberal and Democratic Group ,Liberal and Democratic Reformist Group ,Parti républicain ,1984-1989,07-1984,male
Vittorino CHIUSANO,1808,Italy,Group of the European People's Party (Christian,None,Democrazia cristiana ,1984-1989,07-1984,male
Louis CHOPIER,1805,France,Socialist Group ,None,Parti socialiste ,1984-1989,07-1988,male
Nicole CHOURAQUI,1774,France,Group of the European Democratic Alliance ,None,Rassemblement pour la République ,1984-1989,07-1984,female
Ib CHRISTENSEN,1048,Denmark,Rainbow Group,None,Folkebevægelsen mod EF ,1984-1989,07-1984,male
Ejner Hovgård CHRISTIANSEN,1144,Denmark,Socialist Group ,None,Socialdemokratiet ,1984-1989,07-1984,male
Efthymios CHRISTODOULOU,1464,Greece,Group of the European People's Party (Christian,None,Nea Dimokratia ,1984-1989,07-1984,male
Michelangelo CIANCAGLINI,1753,Italy,Group of the European People's Party (Christian,None,Democrazia cristiana ,1984-1989,07-1984,male
Roberto CICCIOMESSERE,1806,Italy,Non-attached Members,Technical Coordination and Defence of Independent Groups and Members ,Partito radicale ,1984-1989,09-1984,male
Maria Lisa CINCIARI RODANO,1705,Italy,Communist and Allies Group ,None,Partito comunista italiano ,1984-1989,07-1984,female
Mark CLINTON,1725,Ireland,Group of the European People's Party (Christian,None,Fine Gael Party ,1984-1989,07-1984,male
José CODERCH PLANAS,1804,Spain,Non-attached Members,Technical Coordination and Defence of Independent Groups and Members ,Centro Democràtico y Social ,1984-1989,07-1987,male
Robert COHEN,1722,Netherlands,Socialist Group ,None,Partij van de Arbeid ,1984-1989,07-1984,male
António Antero COIMBRA MARTINS,1373,Portugal,Socialist Group ,None,Partido Socialista ,1984-1989,01-1986,male
Juan Luis COLINO SALAMANCA,1348,Spain,Socialist Group ,None,Partido Socialista Obrero Español ,1984-1989,01-1986,male
Michel COLLINOT,1801,France,Group of the European Right ,None,Front national ,1984-1989,07-1984,male
Kenneth D. COLLINS,1418,United Kingdom,Socialist Group ,None,Labour Party ,1984-1989,07-1984,male
Joan COLOM i NAVAL,1349,Spain,Socialist Group ,None,Partido Socialista Obrero Español ,1984-1989,01-1986,female
Michele COLUMBU,1799,Italy,Rainbow Group,None,Unione Valdostana - Partito sardo d'azione ,1984-1989,07-1984,female
Francesco COMPASSO,1800,Italy,Liberal and Democratic Reformist Group ,None,Partito liberale italiano ,1984-1989,04-1987,male
Fernando CONDESSO,1719,Portugal,Liberal and Democratic Reformist Group ,None,Partido Social Democrata ,1984-1989,01-1986,male
Petrus A.M. CORNELISSEN,1452,Netherlands,Group of the European People's Party (Christian,None,Christen Democratisch Appèl ,1984-1989,07-1984,male
Roberto COSTANZO,1720,Italy,Group of the European People's Party (Christian,None,Democrazia cristiana ,1984-1989,07-1984,male
Alfred COSTE-FLORET,1798,France,Group of the European Democratic Alliance ,None,Démocratie chrétienne française ,1984-1989,07-1984,male
Jean-Pierre COT,1027,France,Socialist Group ,None,Parti socialiste ,1984-1989,07-1984,male
Richard J. COTTRELL,1721,United Kingdom,European Democratic Group ,None,Conservative and Unionist Party ,1984-1989,07-1984,male
John de COURCY LING,1713,United Kingdom,European Democratic Group ,None,Conservative and Unionist Party ,1984-1989,07-1984,male
Baroness Christine M. CRAWLEY,1367,United Kingdom,Socialist Group ,None,Labour Party ,1984-1989,07-1984,female
Rodolfo CRESPO,1745,Portugal,Socialist Group ,None,Partido Socialista ,1984-1989,01-1986,male
Lambert V.J. CROUX,1714,Belgium,Group of the European People's Party (Christian,None,Christelijke Volkspartij ,1984-1989,07-1984,male
Jean E. CRUSOL,1796,France,Socialist Group ,None,Parti socialiste ,1984-1989,05-1988,female
George Robert CRYER,1794,United Kingdom,Socialist Group ,None,Labour Party ,1984-1989,07-1984,male
David M. CURRY,1716,United Kingdom,European Democratic Group ,None,Conservative and Unionist Party ,1984-1989,07-1984,male
Joachim DALSASS,1087,Italy,Group of the European People's Party (Christian,None,Südtiroler Volkspartei ,1984-1989,07-1984,male
Margaret E. DALY,1368,United Kingdom,European Democratic Group ,None,Conservative and Unionist Party ,1984-1989,07-1984,female
Pieter DANKERT,1453,Netherlands,Socialist Group ,None,Partij van de Arbeid ,1984-1989,07-1984,male
Rika M.R. DE BACKER-VAN OCKEN,1735,Belgium,Group of the European People's Party (Christian,None,Christelijke Volkspartij ,1984-1989,07-1984,female
Michel DEBATISSE,1710,France,Group of the European People's Party (Christian,None,Union pour la démocratie française ,1984-1989,07-1984,male
Karel DE GUCHT,1472,Belgium,Liberal and Democratic Group ,Liberal and Democratic Reformist Group ,Partij voor vrijheid en vooruitgang ,1984-1989,07-1984,male
Antonio DEL DUCA,893,Italy,Group of the European People's Party (Christian,None,Democrazia cristiana ,1984-1989,05-1988,male
Robert DELOROZOY,1703,France,Liberal and Democratic Reformist Group ,None,Union pour la démocratie française ,1984-1989,09-1986,male
Danielle DE MARCH-WALLER,1691,France,Communist and Allies Group ,None,Parti communiste français ,1984-1989,07-1984,female
Luigi Ciriaco DE MITA,1746,Italy,Group of the European People's Party (Christian,None,Democrazia cristiana ,1984-1989,07-1984,male
Jean-François DENIAU,1747,France,Liberal and Democratic Group ,Liberal and Democratic Reformist Group ,Union pour la démocratie française ,1984-1989,07-1984,male
Pancrazio DE PASQUALE,1704,Italy,Communist and Allies Group ,None,Partito comunista italiano ,1984-1989,07-1984,male
Gérard DEPREZ,1473,Belgium,Group of the European People's Party (Christian,None,Parti social-chrétien ,1984-1989,07-1984,male
Stéphane DERMAUX,1740,France,Liberal and Democratic Reformist Group ,None,Union pour la démocratie française - Parti républicain ,1984-1989,07-1988,male
Claude J.-M.J. DESAMA,1474,Belgium,Socialist Group ,None,Parti socialiste ,1984-1989,05-1988,male
Dimitrios DESSYLAS,1465,Greece,Communist and Allies Group ,None,Kommounistiko Komma Elladas ,1984-1989,10-1987,male
Gilbert DEVÈZE,1736,France,Group of the European Right ,None,Front national ,1984-1989,04-1986,male
Gijs M. de VRIES,1454,Netherlands,Liberal and Democratic Group ,Liberal and Democratic Reformist Group ,Volkspartij voor Vrijheid en Democratie ,1984-1989,07-1984,male
August M.C. DE WINTER,1732,Belgium,Liberal and Democratic Group ,Liberal and Democratic Reformist Group ,Partij voor vrijheid en vooruitgang ,1984-1989,07-1984,male
Ramón DIAZ DEL RIO JAUDENES,1733,Spain,European Democratic Group ,None,Alianza Popular ,1984-1989,07-1987,male
Mario DI BARTOLOMEI,1698,Italy,Liberal and Democratic Group ,Liberal and Democratic Reformist Group ,Partito repubblicano italiano ,1984-1989,07-1984,male
Mario DIDO',1699,Italy,Socialist Group ,None,Partito socialista italiano ,1984-1989,07-1984,male
Carmen DÍEZ DE RIVERA ICAZA,1312,Spain,Non-attached Members,Technical Coordination and Defence of Independent Groups and Members ,Centro Democràtico y Social ,1984-1989,07-1987,female
Nel B.M. van DIJK,1433,Netherlands,Rainbow Group,None,Communistische Partij Nederland ,1984-1989,12-1986,female
Chrysanthos DIMITRIADIS,1748,Greece,Group of the European Right ,None,Ethniki Politiki Enossis ,1984-1989,07-1984,male
Aristides DIMOPOULOS,1734,Greece,Group of the European Right ,None,Ethniki Politiki Enossis ,1984-1989,08-1988,male
Georges H. DONNEZ,1700,France,Liberal and Democratic Group ,Liberal and Democratic Reformist Group ,Union pour la démocratie française ,1984-1989,07-1984,male
The Lord DOURO,1701,United Kingdom,European Democratic Group ,None,Conservative and Unionist Party ,1984-1989,07-1984,male
José Manuel DUARTE CENDÁN,232,Spain,Socialist Group ,None,Partido Socialista Obrero Español ,1984-1989,01-1986,male
Daniel DUCARME,1788,Belgium,Liberal and Democratic Group ,None,Parti réformateur libéral ,1984-1989,07-1984,male
Peter Klaus DUETOFT,1742,Denmark,Group of the European People's Party (Christian,None,Centrum-Demokraterne ,1984-1989,09-1987,male
Bárbara DÜHRKOP DÜHRKOP,1313,Spain,Socialist Group ,None,Partido Socialista Obrero Español ,1984-1989,07-1987,female
Anne-Marie DUPUY,1709,France,Group of the European Democratic Alliance ,None,Rassemblement pour la République ,1984-1989,07-1984,female
Emilio DURAN CORSANEGO,1743,Spain,European Democratic Group ,None,Coalición Popular ,1984-1989,01-1986,male
Josep Antoni DURAN I LLEIDA,1744,Spain,Group of the European People's Party (Christian,None,Unió Democràtica de Catalunya ,1984-1989,01-1986,male
Raymonde M.E.A. DURY,1439,Belgium,Socialist Group ,None,Parti socialiste ,1984-1989,07-1984,female
Manfred Artur EBEL,1697,Germany,Group of the European People's Party (Christian,None,Christlich Demokratische Union Deutschlands ,1984-1989,07-1984,male
The Baroness ELLES,1662,United Kingdom,European Democratic Group ,None,Conservative and Unionist Party ,1984-1989,07-1984,male
James ELLES,1419,United Kingdom,European Democratic Group ,None,Conservative and Unionist Party ,1984-1989,07-1984,male
Michael N. ELLIOTT,1420,United Kingdom,Socialist Group ,None,Labour Party ,1984-1989,07-1984,male
Vassilis EPHREMIDIS,955,Greece,Communist and Allies Group ,None,Kommounistiko Komma Elladas ,1984-1989,07-1984,male
Sergio ERCINI,1683,Italy,Group of the European People's Party (Christian,None,Democrazia cristiana ,1984-1989,07-1984,male
Arturo Juan ESCUDER CROFT,1350,Spain,European Democratic Group ,None,Coalición Popular ,1984-1989,01-1986,male
José Antonio ESCUDERO,961,Spain,Non-attached Members,None,Centro Democràtico y Social ,1984-1989,12-1987,male
Nicolas ESTGEN,987,Luxembourg,Group of the European People's Party (Christian,None,Parti chrétien social ,1984-1989,07-1984,male
Rafael ESTRELLA PEDROLA,1695,Spain,Socialist Group ,None,Partido Socialista Obrero Español ,1984-1989,01-1986,male
Dimitrios EVRIGENIS,1696,Greece,Group of the European People's Party (Christian,None,Nea Dimokratia ,1984-1989,07-1984,male
Winifred M. EWING,1369,United Kingdom,Group of the European Democratic Alliance ,None,Scottish National Party ,1984-1989,07-1984,female
Louis EYRAUD,1679,France,Socialist Group ,None,Parti socialiste ,1984-1989,07-1984,male
Sheila FAITH,1687,United Kingdom,European Democratic Group ,None,Conservative and Unionist Party ,1984-1989,07-1984,female
Roger FAJARDIE,1803,France,Socialist Group ,None,Parti socialiste ,1984-1989,07-1984,male
Alexander C. FALCONER,1412,United Kingdom,Socialist Group ,None,Labour Party ,1984-1989,07-1984,male
Guido FANTI,1681,Italy,Communist and Allies Group ,None,Partito comunista italiano ,1984-1989,07-1984,male
André FANTON,433,France,Group of the European Democratic Alliance ,None,Rassemblement pour la République ,1984-1989,07-1984,male
Léon FATOUS,1693,France,Socialist Group ,None,Parti socialiste ,1984-1989,07-1984,male
Ludwig FELLERMAIER,1678,Germany,Socialist Group ,None,Sozialdemokratische Partei Deutschlands ,1984-1989,07-1984,male
António José FERNANDES,1690,Portugal,Group of the European Democratic Alliance ,None,Partido Renovador Democratico ,1984-1989,01-1986,male
Basil de FERRANTI,1673,United Kingdom,European Democratic Group ,None,Conservative and Unionist Party ,1984-1989,07-1984,male
Bruno FERRERO,1675,Italy,Communist and Allies Group ,None,Partito comunista italiano ,1984-1989,01-1988,male
Ove FICH,1676,Denmark,Socialist Group ,None,Socialdemokratiet ,1984-1989,07-1984,male
António Jorge de FIGUEIREDO LOPES,1685,Portugal,Liberal and Democratic Reformist Group ,None,Partido Social Democrata ,1984-1989,09-1987,male
Konstantinos FILINIS,1694,Greece,Communist and Allies Group ,None,Elliniki Aristera ,1984-1989,01-1985,male
Gene FITZGERALD,1442,Ireland,Group of the European Democratic Alliance ,None,Fianna Fáil Party ,1984-1989,07-1984,male
James (Jim) FITZSIMONS,1443,Ireland,Group of the European Democratic Alliance ,None,Fianna Fáil Party ,1984-1989,07-1984,male
Seán FLANAGAN,1670,Ireland,Group of the European Democratic Alliance ,None,Fianna Fáil Party ,1984-1989,07-1984,male
Colette FLESCH,1184,Luxembourg,Liberal and Democratic Group ,None,Parti démocratique ,1984-1989,07-1984,female
María Elena FLORES VALENCIA,1664,Spain,Socialist Group ,None,Partido Socialista Obrero Español ,1984-1989,01-1986,female
Gaston FLOSSE,1686,France,Group of the European Democratic Alliance ,None,Rassemblement pour la République ,1984-1989,07-1984,male
Katharina FOCKE,1658,Germany,Socialist Group ,None,Sozialdemokratische Partei Deutschlands ,1984-1989,07-1984,female
Nicole FONTAINE,945,France,Group of the European People's Party (Christian,None,Union pour la démocratie française ,1984-1989,07-1984,female
Glyn FORD,1413,United Kingdom,Socialist Group ,None,Labour Party ,1984-1989,07-1984,male
Roberto FORMIGONI,1110,Italy,Group of the European People's Party (Christian,None,Democrazia cristiana ,1984-1989,07-1984,male
André FOURÇANS,1692,France,Liberal and Democratic Reformist Group ,None,Union pour la démocratie française ,1984-1989,08-1986,male
Manuel FRAGA IRIBARNE,1689,Spain,European Democratic Group ,None,Alianza Popular ,1984-1989,07-1987,male
