fullName,id,country,eu_group_1,eu_group_2,nation_group,term,start_period_1,gender
Monika BEŇOVÁ,23868,Slovakia,Socialist Group in the European Parliament ,None,Smer ,2004-2009,07-2004,female
Rolf BEREND,1842,Germany,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Christlich Demokratische Union Deutschlands ,2004-2009,07-2004,male
Pervenche BERÈS,1985,France,Socialist Group in the European Parliament ,None,Parti socialiste ,2004-2009,07-2004,female
Maria BERGER,2285,Austria,Socialist Group in the European Parliament ,None,Sozialdemokratische Partei Österreichs ,2004-2009,07-2004,female
Sergio BERLATO,4746,Italy,Union for Europe of the Nations Group ,None,Alleanza nazionale ,2004-2009,07-2004,male
Giovanni BERLINGUER,28369,Italy,Socialist Group in the European Parliament ,None,Democratici di Sinistra ,2004-2009,07-2004,male
Thijs BERMAN,28174,Netherlands,Socialist Group in the European Parliament ,None,Partij van de Arbeid ,2004-2009,07-2004,male
Pier Luigi BERSANI,28329,Italy,Socialist Group in the European Parliament ,None,Uniti nell'Ulivo ,2004-2009,07-2004,male
Fausto BERTINOTTI,2023,Italy,Confederal Group of the European United Left ,None,Partito della Rifondazione Comunista - Sinistra Europea ,2004-2009,07-2004,male
Adam BIELAN,23788,Poland,Union for Europe of the Nations Group ,None,Prawo i Sprawiedliwość ,2004-2009,07-2004,male
Slavi BINEV,38610,Bulgaria,"Identity, Tradition and Sovereignty Group ",Non-attached Members,Attack Coalition ,2004-2009,06-2007,male
Šarūnas BIRUTIS,28216,Lithuania,Group of the Alliance of Liberals and Democrats for Europe ,None,Darbo partija ,2004-2009,07-2004,male
Georgi BLIZNASHKI,34230,Bulgaria,Socialist Group in the European Parliament ,None,Coalition for Bulgaria ,2004-2009,09-2005,male
Johannes BLOKLAND,1969,Netherlands,Independence/Democracy Group ,None,ChristenUnie - Staatkundig Gereformeerde Parti ,2004-2009,07-2004,male
Godfrey BLOOM,28513,United Kingdom,Independence/Democracy Group ,None,UK Independence Party ,2004-2009,07-2004,male
Jana BOBOŠÍKOVÁ,28359,Czechia,Non-attached Members,None,NEZÁVISLÍ ,2004-2009,07-2004,female
Sebastian Valentin BODU,39722,Romania,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Partidul Democrat ,2004-2009,12-2007,male
Reimer BÖGE,1037,Germany,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Christlich Demokratische Union Deutschlands ,2004-2009,07-2004,male
Jens-Peter BONDE,1275,Denmark,Independence/Democracy Group ,None,JuniBevægelsen - Mod Unionen ,2004-2009,07-2004,male
Emma BONINO,1566,Italy,Group of the Alliance of Liberals and Democrats for Europe ,None,Lista Emma Bonino ,2004-2009,07-2004,female
Guy BONO,28140,France,Socialist Group in the European Parliament ,None,Parti socialiste ,2004-2009,07-2004,male
Vito BONSIGNORE,29074,Italy,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Unione dei Democratici cristiani e dei Democratici di Centro ,2004-2009,07-2004,male
Graham BOOTH,23286,United Kingdom,Independence/Democracy Group ,None,UK Independence Party ,2004-2009,07-2004,male
Mario BORGHEZIO,21817,Italy,Independence/Democracy Group ,None,Lega Nord per l'indipendenza della Padania ,2004-2009,07-2004,male
Josep BORRELL FONTELLES,28267,Spain,Socialist Group in the European Parliament ,None,Partido Socialista Obrero Español ,2004-2009,07-2004,male
Herbert BÖSCH,2048,Austria,Socialist Group in the European Parliament ,None,Sozialdemokratische Partei Österreichs ,2004-2009,07-2004,male
Erminio Enzo BOSO,72753,Italy,Union for Europe of the Nations Group ,None,Lega Nord per l'indipendenza della Padania ,2004-2009,06-2008,male
Umberto BOSSI,2036,Italy,Independence/Democracy Group ,Non-attached Members,Lega Nord per l'indipendenza della Padania ,2004-2009,07-2004,male
Victor BOŞTINARU,39711,Romania,Socialist Group in the European Parliament ,None,Partidul Social Democrat ,2004-2009,12-2007,male
Costas BOTOPOULOS,39318,Greece,Socialist Group in the European Parliament ,None,Panellinio Socialistiko Kinima ,2004-2009,10-2007,male
Jean-Louis BOURLANGES,1026,France,Group of the Alliance of Liberals and Democrats for Europe ,None,Union pour la démocratie française ,2004-2009,07-2004,male
Catherine BOURSIER,58711,France,Socialist Group in the European Parliament ,None,Parti socialiste ,2004-2009,05-2008,female
Bernadette BOURZAI,28143,France,Socialist Group in the European Parliament ,None,Parti socialiste ,2004-2009,07-2004,female
Giuseppe BOVA,41003,Italy,Non-attached Members,None,Uniti nell'Ulivo ,2004-2009,05-2008,male
John BOWIS,4527,United Kingdom,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Conservative and Unionist Party ,2004-2009,07-2004,male
Sharon BOWLES,33570,United Kingdom,Group of the Alliance of Liberals and Democrats for Europe ,None,Liberal Democrat Party ,2004-2009,05-2005,female
Emine BOZKURT,28171,Netherlands,Socialist Group in the European Parliament ,None,Partij van de Arbeid ,2004-2009,07-2004,female
Philip BRADBOURN,4540,United Kingdom,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Conservative and Unionist Party ,2004-2009,07-2004,male
Iles BRAGHETTO,34174,Italy,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Unione dei Democratici cristiani e dei Democratici di Centro ,2004-2009,07-2005,male
Mihael BREJC,23713,Slovenia,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Slovenska demokratska stranka ,2004-2009,07-2004,male
Frieda BREPOELS,28463,Belgium,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Christen-Democratisch & Vlaams - Nieuw-Vlaamse Alliantie ,2004-2009,07-2004,female
Mercedes BRESSO,28346,Italy,Socialist Group in the European Parliament ,None,Democratici di Sinistra ,2004-2009,07-2004,female
Hiltrud BREYER,1059,Germany,Group of the Greens/European Free Alliance ,None,Bündnis 90/Die Grünen ,2004-2009,07-2004,female
Jan BŘEZINA,28354,Czechia,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Křesťanská a demokratická unie - Československá strana lidová ,2004-2009,07-2004,male
André BRIE,4298,Germany,Confederal Group of the European United Left ,None,Partei des Demokratischen Sozialismus ,2004-2009,07-2004,male
Elmar BROK,1263,Germany,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Christlich Demokratische Union Deutschlands ,2004-2009,07-2004,male
Renato BRUNETTA,4422,Italy,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Forza Italia ,2004-2009,07-2004,male
Danutė BUDREIKAITĖ,28268,Lithuania,Group of the Alliance of Liberals and Democrats for Europe ,None,Darbo partija ,2004-2009,07-2004,female
Paul van BUITENEN,28264,Netherlands,Group of the Greens/European Free Alliance ,None,Europa Transparant ,2004-2009,07-2004,male
Kathalijne Maria BUITENWEG,4504,Netherlands,Group of the Greens/European Free Alliance ,None,GroenLinks ,2004-2009,07-2004,female
Wolfgang BULFON,37761,Austria,Socialist Group in the European Parliament ,None,Sozialdemokratische Partei Österreichs ,2004-2009,01-2007,male
Udo BULLMANN,4267,Germany,Socialist Group in the European Parliament ,None,Sozialdemokratische Partei Deutschlands ,2004-2009,07-2004,male
Nicodim BULZESC,39720,Romania,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Partidul Democrat ,2004-2009,12-2007,male
Ieke van den BURG,4483,Netherlands,Socialist Group in the European Parliament ,None,Partij van de Arbeid ,2004-2009,07-2004,female
Colm BURKE,38724,Ireland,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Fine Gael Party ,2004-2009,06-2007,male
Daniela BURUIANĂ-APRODU,33966,Romania,Non-attached Members,None,Partidul România Mare ,2004-2009,09-2005,female
Philip BUSHILL-MATTHEWS,4535,United Kingdom,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Conservative and Unionist Party ,2004-2009,07-2004,male
Niels BUSK,4442,Denmark,Group of the Alliance of Liberals and Democrats for Europe ,None,"Venstre, Danmarks Liberale Parti ",2004-2009,07-2004,male
Cristian-Silviu BUŞOI,38420,Romania,Group of the Alliance of Liberals and Democrats for Europe ,None,Partidul Naţional Liberal ,2004-2009,04-2007,male
Philippe BUSQUIN,4248,Belgium,Socialist Group in the European Parliament ,None,Parti Socialiste ,2004-2009,09-2004,male
Simon BUSUTTIL,28120,Malta,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Partit Nazzjonalista ,2004-2009,07-2004,male
Jerzy BUZEK,28269,Poland,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Platforma Obywatelska ,2004-2009,07-2004,male
Milan CABRNOCH,28324,Czechia,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Občanská demokratická strana ,2004-2009,07-2004,male
Joan CALABUIG RULL,28322,Spain,Socialist Group in the European Parliament ,None,Partido Socialista Obrero Español ,2004-2009,07-2004,female
Maddalena CALIA,93776,Italy,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Forza Italia ,2004-2009,09-2008,female
Martin CALLANAN,4536,United Kingdom,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Conservative and Unionist Party ,2004-2009,07-2004,male
Mogens CAMRE,4439,Denmark,Union for Europe of the Nations Group ,None,Dansk Folkeparti ,2004-2009,07-2004,male
Luis Manuel CAPOULAS SANTOS,28311,Portugal,Socialist Group in the European Parliament ,None,Partido Socialista ,2004-2009,07-2004,male
Marco CAPPATO,4740,Italy,Group of the Alliance of Liberals and Democrats for Europe ,None,Lista Emma Bonino ,2004-2009,05-2006,male
Marie-Arlette CARLOTTI,2031,France,Socialist Group in the European Parliament ,None,Parti socialiste ,2004-2009,07-2004,female
Carlos CARNERO GONZÁLEZ,1973,Spain,Socialist Group in the European Parliament ,None,Partido Socialista Obrero Español ,2004-2009,07-2004,male
Giorgio CAROLLO,28415,Italy,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Forza Italia ,2004-2009,07-2004,male
David CASA,28122,Malta,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Partit Nazzjonalista ,2004-2009,07-2004,male
Paulo CASACA,4447,Portugal,Socialist Group in the European Parliament ,None,Partido Socialista ,2004-2009,07-2004,male
Michael CASHMAN,4532,United Kingdom,Socialist Group in the European Parliament ,None,Labour Party ,2004-2009,07-2004,male
Carlo CASINI,988,Italy,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Unione dei Democratici cristiani e dei Democratici di Centro ,2004-2009,05-2006,male
Daniel CASPARY,28219,Germany,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Christlich Demokratische Union Deutschlands ,2004-2009,07-2004,male
Françoise CASTEX,28148,France,Socialist Group in the European Parliament ,None,Parti socialiste ,2004-2009,07-2004,female
Giuseppe CASTIGLIONE,28459,Italy,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Forza Italia ,2004-2009,07-2004,male
Pilar del CASTILLO VERA,28390,Spain,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Partido Popular ,2004-2009,07-2004,female
Giusto CATANIA,28979,Italy,Confederal Group of the European United Left ,None,Partito della Rifondazione Comunista - Sinistra Europea ,2004-2009,07-2004,male
Jean-Marie CAVADA,28206,France,Group of the Alliance of Liberals and Democrats for Europe ,None,Union pour la démocratie française ,2004-2009,07-2004,female
Charlotte CEDERSCHIÖLD,2110,Sweden,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Moderata Samlingspartiet ,2004-2009,07-2004,female
Alejandro CERCAS,4337,Spain,Socialist Group in the European Parliament ,None,Partido Socialista Obrero Español ,2004-2009,07-2004,male
Lorenzo CESA,28451,Italy,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Unione dei Democratici cristiani e dei Democratici di Centro ,2004-2009,07-2004,male
Jorgo CHATZIMARKAKIS,28243,Germany,Group of the Alliance of Liberals and Democrats for Europe ,None,Freie Demokratische Partei - Die Liberalen ,2004-2009,07-2004,male
Mladen Petrov CHERVENYAKOV,37525,Bulgaria,Socialist Group in the European Parliament ,None,Coalition for Bulgaria ,2004-2009,01-2007,male
Giles CHICHESTER,2097,United Kingdom,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Conservative and Unionist Party ,2004-2009,07-2004,male
Giulietto CHIESA,28973,Italy,Group of the Alliance of Liberals and Democrats for Europe ,Socialist Group in the European Parliament ,Italia dei Valori ,2004-2009,07-2004,male
Călin Cătălin CHIRIȚĂ,95018,Romania,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Partidul Democrat-Liberal ,2004-2009,12-2008,male
Zdzisław Kazimierz CHMIELEWSKI,28274,Poland,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Platforma Obywatelska ,2004-2009,07-2004,male
Ole CHRISTENSEN,28154,Denmark,Socialist Group in the European Parliament ,None,Socialdemokratiet ,2004-2009,07-2004,male
Christina CHRISTOVA,34248,Bulgaria,Group of the Alliance of Liberals and Democrats for Europe ,None,National Movement Simeon II ,2004-2009,09-2005,female
Sylwester CHRUSZCZ,28325,Poland,Independence/Democracy Group ,Non-attached Members,Liga Polskich Rodzin ,2004-2009,07-2004,male
Desislav CHUKOLOV,38603,Bulgaria,"Identity, Tradition and Sovereignty Group ",Non-attached Members,Attack Coalition ,2004-2009,06-2007,male
Fabio CIANI,41005,Italy,Group of the Alliance of Liberals and Democrats for Europe ,None,Partito Democratico ,2004-2009,05-2008,male
Silvia CIORNEI,33995,Romania,Group of the Alliance of Liberals and Democrats for Europe ,None,Partidul Conservator ,2004-2009,09-2005,female
Adrian-Mihai CIOROIANU,33996,Romania,Group of the Alliance of Liberals and Democrats for Europe ,None,"Alianţei ""Dreptate si Adevar PNL-PD"" ",2004-2009,09-2005,male
Paolo CIRINO POMICINO,28978,Italy,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Alleanza Popolare - Unione Democratici per l'Europa ,2004-2009,07-2004,male
Philip CLAEYS,24030,Belgium,Non-attached Members,"Identity, Tradition and Sovereignty Group ",Vlaams Blok ,2004-2009,07-2004,male
Derek Roland CLARK,28493,United Kingdom,Independence/Democracy Group ,None,UK Independence Party ,2004-2009,07-2004,male
Luigi COCILOVO,4470,Italy,Group of the Alliance of Liberals and Democrats for Europe ,None,La Margherita ,2004-2009,07-2004,male
Carlos COELHO,1892,Portugal,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Coligaçao Força Portugal ,2004-2009,07-2004,male
Daniel COHN-BENDIT,1934,France,Group of the Greens/European Free Alliance ,None,Bündnis 90/Die Grünen ,2004-2009,07-2004,male
Trevor COLMAN,94283,United Kingdom,Independence/Democracy Group ,None,UK Independence Party ,2004-2009,10-2008,male
Richard CORBETT,2309,United Kingdom,Socialist Group in the European Parliament ,None,Labour Party ,2004-2009,07-2004,male
Dorette CORBEY,4558,Netherlands,Socialist Group in the European Parliament ,None,Partij van de Arbeid ,2004-2009,07-2004,female
Giovanna CORDA,39023,Belgium,Socialist Group in the European Parliament ,None,Parti Socialiste ,2004-2009,08-2007,female
Titus CORLĂȚEAN,33968,Romania,Socialist Group in the European Parliament ,None,Partidul Social Democrat ,2004-2009,09-2005,male
Thierry CORNILLET,4338,France,Group of the Alliance of Liberals and Democrats for Europe ,None,Union pour la démocratie française ,2004-2009,07-2004,male
Fausto CORREIA,28309,Portugal,Socialist Group in the European Parliament ,None,Partido Socialista ,2004-2009,07-2004,male
Dumitru Gheorghe Mircea COȘEA,33976,Romania,Group of the Alliance of Liberals and Democrats for Europe ,None,Partidul Naţional Liberal ,2004-2009,09-2005,male
António COSTA,28303,Portugal,Socialist Group in the European Parliament ,None,Partido Socialista ,2004-2009,07-2004,male
Paolo COSTA,4747,Italy,Group of the Alliance of Liberals and Democrats for Europe ,None,Uniti nell'Ulivo ,2004-2009,07-2004,male
Jean Louis COTTIGNY,2315,France,Socialist Group in the European Parliament ,None,Parti socialiste ,2004-2009,07-2004,female
Paul Marie COÛTEAUX,4383,France,Independence/Democracy Group ,None,Mouvement pour la France ,2004-2009,07-2004,male
Simon COVENEY,28118,Ireland,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Fine Gael Party ,2004-2009,07-2004,male
Michael CRAMER,28238,Germany,Group of the Greens/European Free Alliance ,None,Bündnis 90/Die Grünen ,2004-2009,07-2004,male
Jan CREMERS,40818,Netherlands,Socialist Group in the European Parliament ,None,Partij van de Arbeid ,2004-2009,04-2008,male
Corina CREȚU,33997,Romania,Socialist Group in the European Parliament ,None,Partidul Social Democrat ,2004-2009,09-2005,female
Gabriela CREȚU,33977,Romania,Socialist Group in the European Parliament ,None,Partidul Social Democrat ,2004-2009,09-2005,female
Brian CROWLEY,2109,Ireland,Union for Europe of the Nations Group ,None,Fianna Fáil Party ,2004-2009,07-2004,male
Magor Imre CSIBI,39719,Romania,Group of the Alliance of Liberals and Democrats for Europe ,None,Partidul Naţional Liberal ,2004-2009,12-2007,male
Marek Aleksander CZARNECKI,28371,Poland,Non-attached Members,Union for Europe of the Nations Group ,Samoobrona RP ,2004-2009,07-2004,male
Ryszard CZARNECKI,28372,Poland,Non-attached Members,Union for Europe of the Nations Group ,Samoobrona RP ,2004-2009,07-2004,male
Hanne DAHL,40817,Denmark,Independence/Democracy Group ,None,JuniBevægelsen - Mod Unionen ,2004-2009,05-2008,female
Daniel DĂIANU,39716,Romania,Group of the Alliance of Liberals and Democrats for Europe ,None,Partidul Naţional Liberal ,2004-2009,12-2007,male
Massimo D'ALEMA,28431,Italy,Socialist Group in the European Parliament ,None,Democratici di Sinistra ,2004-2009,07-2004,male
Viorica DĂNCILĂ,95281,Romania,Socialist Group in the European Parliament ,None,Partidul Social Democrat ,2004-2009,01-2009,female
Joseph DAUL,4342,France,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Union pour un Mouvement Populaire ,2004-2009,07-2004,male
Dragoș Florin DAVID,39712,Romania,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Partidul Democrat ,2004-2009,12-2007,male
Chris DAVIES,4554,United Kingdom,Group of the Alliance of Liberals and Democrats for Europe ,None,Liberal Democrat Party ,2004-2009,07-2004,male
Antonio DE BLASIO,36748,Hungary,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Fidesz-Magyar Polgári Szövetség ,2004-2009,07-2006,male
Bairbre de BRÚN,28511,United Kingdom,Confederal Group of the European United Left ,None,Sinn Féin ,2004-2009,07-2004,female
Arūnas DEGUTIS,28270,Lithuania,Group of the Alliance of Liberals and Democrats for Europe ,None,Darbo partija ,2004-2009,07-2004,male
Jean-Luc DEHAENE,28256,Belgium,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Christen-Democratisch & Vlaams - Nieuw-Vlaamse Alliantie ,2004-2009,07-2004,male
Véronique DE KEYSER,22097,Belgium,Socialist Group in the European Parliament ,None,Parti Socialiste ,2004-2009,07-2004,female
Ottaviano DEL TURCO,28432,Italy,Socialist Group in the European Parliament ,None,Uniti nell'Ulivo ,2004-2009,07-2004,male
Panayiotis DEMETRIOU,23730,Cyprus,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Dimokratikos Synagermos ,2004-2009,07-2004,male
Gianni DE MICHELIS,28452,Italy,Non-attached Members,Socialist Group in the European Parliament ,Partito Socialista Nuovo PSI ,2004-2009,07-2004,male
Gábor DEMSZKY,28203,Hungary,Group of the Alliance of Liberals and Democrats for Europe ,None,Szabad Demokraták Szövetsége ,2004-2009,07-2004,male
Jean-Paul DENANOT,94282,France,Socialist Group in the European Parliament ,None,Parti Socialiste ,2004-2009,10-2008,male
Antonio DE POLI,28417,Italy,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Unione dei Democratici cristiani e dei Democratici di Centro ,2004-2009,07-2004,male
Gérard DEPREZ,1473,Belgium,Group of the Alliance of Liberals and Democrats for Europe ,None,Mouvement Réformateur ,2004-2009,07-2004,male
Proinsias DE ROSSA,1289,Ireland,Socialist Group in the European Parliament ,None,Labour Party ,2004-2009,07-2004,male
Marielle DE SARNEZ,4335,France,Group of the Alliance of Liberals and Democrats for Europe ,None,Union pour la démocratie française ,2004-2009,07-2004,female
Marie-Hélène DESCAMPS,22859,France,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Union pour un Mouvement Populaire ,2004-2009,07-2004,female
Harlem DÉSIR,4318,France,Socialist Group in the European Parliament ,None,Parti socialiste ,2004-2009,07-2004,male
Albert DESS,28228,Germany,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Christlich-Soziale Union in Bayern e.V. ,2004-2009,07-2004,male
