fullName,id,country,eu_group_1,eu_group_2,nation_group,term,start_period_1,gender
Adamos ADAMOU,28469,Cyprus,Confederal Group of the European United Left ,None,Anorthotiko Komma Ergazomenou Laou - Aristera - Nees Dynameis ,2004-2009,07-2004,male
Filip ADWENT,28302,Poland,Independence/Democracy Group ,None,Liga Polskich Rodzin ,2004-2009,07-2004,male
Vittorio AGNOLETTO,28975,Italy,Confederal Group of the European United Left ,None,Partito della Rifondazione Comunista - Sinistra Europea ,2004-2009,07-2004,male
Vincenzo AITA,36583,Italy,Confederal Group of the European United Left ,None,Partito della Rifondazione Comunista - Sinistra Europea ,2004-2009,06-2006,male
Gabriele ALBERTINI,28367,Italy,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Forza Italia ,2004-2009,07-2004,male
Jim ALLISTER,28512,United Kingdom,Non-attached Members,None,Democratic Unionist Party ,2004-2009,07-2004,male
Alexander Nuno PICKART ALVARO,28246,Germany,Group of the Alliance of Liberals and Democrats for Europe ,None,Freie Demokratische Partei - Die Liberalen ,2004-2009,07-2004,male
Roberta Alma ANASTASE,33964,Romania,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Partidul Democrat ,2004-2009,09-2005,female
Jan ANDERSSON,2107,Sweden,Socialist Group in the European Parliament ,None,Arbetarepartiet- Socialdemokraterna ,2004-2009,07-2004,male
Georgs ANDREJEVS,28620,Latvia,Group of the Alliance of Liberals and Democrats for Europe ,None,"Savienība ""Latvijas Celš"" ",2004-2009,07-2004,male
Alfonso ANDRIA,28363,Italy,Group of the Alliance of Liberals and Democrats for Europe ,None,Uniti nell'Ulivo ,2004-2009,07-2004,male
Laima Liucija ANDRIKIENĖ,28276,Lithuania,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Tėvynės sąjunga ,2004-2009,07-2004,female
Emmanouil ANGELAKAS,39316,Greece,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Nea Dimokratia ,2004-2009,10-2007,male
Roberta ANGELILLI,1941,Italy,Union for Europe of the Nations Group ,None,Alleanza nazionale ,2004-2009,07-2004,female
Alin Lucian ANTOCHI,95280,Romania,Socialist Group in the European Parliament ,None,Partidul Social Democrat ,2004-2009,01-2009,male
Alfredo ANTONIOZZI,28422,Italy,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Forza Italia ,2004-2009,07-2004,male
Kader ARIF,28137,France,Socialist Group in the European Parliament ,None,Parti socialiste ,2004-2009,07-2004,male
Stavros ARNAOUTAKIS,28578,Greece,Socialist Group in the European Parliament ,None,Panellinio Socialistiko Kinima ,2004-2009,07-2004,male
Richard ASHWORTH,28132,United Kingdom,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Conservative and Unionist Party ,2004-2009,07-2004,male
Francisco ASSIS,28307,Portugal,Socialist Group in the European Parliament ,None,Partido Socialista ,2004-2009,07-2004,male
Alexandru ATHANASIU,33994,Romania,Socialist Group in the European Parliament ,None,Partidul Social Democrat ,2004-2009,09-2005,male
Sir Robert ATKINS,4537,United Kingdom,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Conservative and Unionist Party ,2004-2009,07-2004,male
John ATTARD-MONTALTO,23938,Malta,Socialist Group in the European Parliament ,None,Partit Laburista ,2004-2009,07-2004,male
Elspeth ATTWOOLL,4547,United Kingdom,Group of the Alliance of Liberals and Democrats for Europe ,None,Liberal Democrat Party ,2004-2009,07-2004,female
Marie-Hélène AUBERT,28213,France,Group of the Greens/European Free Alliance ,None,Les Verts-Europe-Ecologie ,2004-2009,07-2004,female
Jean-Pierre AUDY,33775,France,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Union pour un Mouvement Populaire ,2004-2009,06-2005,male
Margrete AUKEN,28161,Denmark,Group of the Greens/European Free Alliance ,None,Socialistisk Folkeparti ,2004-2009,07-2004,female
Inés AYALA SENDER,28292,Spain,Socialist Group in the European Parliament ,None,Partido Socialista Obrero Español ,2004-2009,07-2004,female
Liam AYLWARD,28114,Ireland,Union for Europe of the Nations Group ,None,Fianna Fáil Party ,2004-2009,07-2004,male
Pilar AYUSO,4319,Spain,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Partido Popular ,2004-2009,07-2004,female
Roselyne BACHELOT-NARQUIN,28179,France,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Union pour un Mouvement Populaire ,2004-2009,07-2004,female
Peter BACO,28195,Slovakia,Non-attached Members,None,Hnutie za demokratické Slovensko ,2004-2009,07-2004,male
Maria BADIA i CUTCHET,28342,Spain,Socialist Group in the European Parliament ,None,Partido Socialista Obrero Español ,2004-2009,07-2004,female
Mariela Velichkova BAEVA,38606,Bulgaria,Group of the Alliance of Liberals and Democrats for Europe ,None,Movement for Rights and Freedoms ,2004-2009,06-2007,female
Tiberiu BĂRBULEȚIU,33967,Romania,Group of the Alliance of Liberals and Democrats for Europe ,None,Partidul Naţional Liberal ,2004-2009,09-2005,male
Enrique BARÓN CRESPO,1352,Spain,Socialist Group in the European Parliament ,None,Partido Socialista Obrero Español ,2004-2009,07-2004,male
Etelka BARSI-PATAKY,28136,Hungary,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Fidesz-Magyar Polgári Szövetség ,2004-2009,07-2004,female
Paolo BARTOLOZZI,21818,Italy,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Forza Italia ,2004-2009,06-2008,male
Domenico Antonio BASILE,72722,Italy,Union for Europe of the Nations Group ,None,Alleanza nazionale ,2004-2009,06-2008,male
Gerard BATTEN,28497,United Kingdom,Independence/Democracy Group ,None,UK Independence Party ,2004-2009,07-2004,male
Alessandro BATTILOCCHIO,28427,Italy,Non-attached Members,Socialist Group in the European Parliament ,Partito Socialista Nuovo PSI ,2004-2009,07-2004,male
Katerina BATZELI,28579,Greece,Socialist Group in the European Parliament ,None,Panellinio Socialistiko Kinima ,2004-2009,07-2004,female
Edit BAUER,23866,Slovakia,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Strana mad'arskej koalície - Magyar Koalíció Pártja ,2004-2009,07-2004,female
Daniel BAUTISTA,96101,Spain,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Partido Popular ,2004-2009,03-2009,male
Jean Marie BEAUPUY,28205,France,Group of the Alliance of Liberals and Democrats for Europe ,None,Union pour la démocratie française ,2004-2009,07-2004,female
Christopher BEAZLEY,1429,United Kingdom,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Conservative and Unionist Party ,2004-2009,07-2004,male
Zsolt László BECSEY,28138,Hungary,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Fidesz-Magyar Polgári Szövetség ,2004-2009,07-2004,male
Glenn BEDINGFIELD,94508,Malta,Socialist Group in the European Parliament ,None,Partit Laburista ,2004-2009,10-2008,male
Angelika BEER,28234,Germany,Group of the Greens/European Free Alliance ,None,Bündnis 90/Die Grünen ,2004-2009,07-2004,female
Panayiotis BEGLITIS,28580,Greece,Socialist Group in the European Parliament ,None,Panellinio Socialistiko Kinima ,2004-2009,07-2004,male
Bas BELDER,4507,Netherlands,Independence/Democracy Group ,None,ChristenUnie - Staatkundig Gereformeerde Parti ,2004-2009,07-2004,female
Ivo BELET,28257,Belgium,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Christen-Democratisch & Vlaams - Nieuw-Vlaamse Alliantie ,2004-2009,07-2004,male
Irena BELOHORSKÁ,28196,Slovakia,Non-attached Members,None,Hnutie za demokratické Slovensko ,2004-2009,07-2004,female
Jean-Luc BENNAHMIAS,28214,France,Group of the Greens/European Free Alliance ,None,Les Verts-Europe-Ecologie ,2004-2009,07-2004,male
