fullName,country,eu_group_1,id,nation_group,term,eu_group_2,start_period_1,gender
Dolors MONTSERRAT,Spain,Group of the European People's Party (Christian Democrats),197711,Partido Popular,2019-2024,None,07-2019,female
Nadine MORANO,France,Group of the European People's Party (Christian Democrats),72779,Les Républicains,2019-2024,None,07-2019,female
Javier MORENO SÁNCHEZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,28347,Partido Socialista Obrero Español,2019-2024,None,07-2019,male
Alessandra MORETTI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124799,Partito Democratico,2019-2024,None,07-2019,female
Marlene MORTLER,Germany,Group of the European People's Party (Christian Democrats),197427,Christlich-Soziale Union in Bayern e.V.,2019-2024,None,07-2019,female
Dan-Ştefan MOTREANU,Romania,Group of the European People's Party (Christian Democrats),197647,Partidul Naţional Liberal,2019-2024,None,07-2019,male
Andżelika Anna MOŻDŻANOWSKA,Poland,European Conservatives and Reformists Group,197541,Prawo i Sprawiedliwość,2019-2024,None,07-2019,female
Theresa BIELOWSKI,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,238674,Sozialdemokratische Partei Österreichs,2019-2024,None,07-2019,female
Ulrike MÜLLER,Germany,Renew Europe Group,124862,Freie Wähler,2019-2024,None,07-2019,female
Siegfried MUREŞAN,Romania,Group of the European People's Party (Christian Democrats),124802,Partidul Naţional Liberal,2019-2024,None,07-2019,male
Alessandra MUSSOLINI,Italy,Group of the European People's Party (Christian Democrats),28429,Forza Italia,2019-2024,None,07-2019,female
Caroline NAGTEGAAL,Netherlands,Renew Europe Group,190519,Volkspartij voor Vrijheid en Democratie,2019-2024,None,07-2019,female
Javier NART,Spain,Renew Europe Group,125005,Independiente,2019-2024,None,07-2019,male
Victor NEGRESCU,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,88882,Partidul Social Democrat,2019-2024,None,07-2019,male
Matjaž NEMEC,Slovenia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,233862,Socialni demokrati,2019-2024,None,07-2019,male
Denis NESCI,Italy,European Conservatives and Reformists Group,239260,FRATELLI D' ITALIA,2019-2024,None,07-2019,male
Hannah NEUMANN,Germany,Group of the Greens/European Free Alliance,197464,Bündnis 90/Die Grünen,2019-2024,None,07-2019,female
Katarína ROTH NEVEĎALOVÁ,Slovakia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96653,SMER-Sociálna demokracia,2019-2024,None,07-2019,female
Dan NICA,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124784,Partidul Social Democrat,2019-2024,None,07-2019,male
Angelika NIEBLER,Germany,Group of the European People's Party (Christian Democrats),4289,Christlich-Soziale Union in Bayern e.V.,2019-2024,None,07-2019,female
Luděk NIEDERMAYER,Czechia,Group of the European People's Party (Christian Democrats),124701,TOP 09 a Starostové,2019-2024,None,07-2019,male
Niklas NIENAß,Germany,Group of the Greens/European Free Alliance,197465,Bündnis 90/Die Grünen,2019-2024,None,07-2019,male
Ville NIINISTÖ,Finland,Group of the Greens/European Free Alliance,197802,Vihreä liitto,2019-2024,None,07-2019,male
Lefteris NIKOLAOU-ALAVANOS,Greece,Non-attached Members,197734,Communist Party of Greece,2019-2024,None,07-2019,male
