fullName,country,eu_group_1,id,nation_group,term,eu_group_2,start_period_1,gender
Michaela ŠOJDROVÁ,Czechia,Group of the European People's Party (Christian Democrats),124710,Křesťanská a demokratická unie - Československá strana lidová,2019-2024,None,07-2019,female
Tomislav SOKOL,Croatia,Group of the European People's Party (Christian Democrats),197417,Hrvatska demokratska zajednica,2019-2024,None,07-2019,male
Jordi SOLÉ,Spain,Group of the Greens/European Free Alliance,185974,Esquerra Republicana de Catalunya,2019-2024,None,07-2019,male
Susana SOLÍS PÉREZ,Spain,Renew Europe Group,197784,Ciudadanos – Partido de la Ciudadanía,2019-2024,None,07-2019,female
Martin SONNEBORN,Germany,Non-attached Members,124834,Die PARTEI,2019-2024,None,07-2019,male
Sylwia SPUREK,Poland,Group of the Greens/European Free Alliance,197550,Independent,2019-2024,None,07-2019,female
Maria SPYRAKI,Greece,Group of the European People's Party (Christian Democrats),125064,Nea Demokratia,2019-2024,None,07-2019,female
Raffaele STANCANELLI,Italy,European Conservatives and Reformists Group,197825,Fratelli d'Italia,2019-2024,None,07-2019,male
Sergei STANISHEV,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124852,Bulgarian Socialist Party,2019-2024,None,07-2019,male
Eleni STAVROU,Cyprus,Group of the European People's Party (Christian Democrats),239271,Democratic Rally,2019-2024,None,07-2019,female
Ivan ŠTEFANEC,Slovakia,Group of the European People's Party (Christian Democrats),124929,Kresťanskodemokratické hnutie,2019-2024,None,07-2019,male
Nicolae ŞTEFĂNUȚĂ,Romania,Group of the Greens/European Free Alliance,58766,Uniunea Salvați România,2019-2024,None,07-2019,male
Tineke STRIK,Netherlands,Group of the Greens/European Free Alliance,197772,GroenLinks,2019-2024,None,07-2019,female
Ramona STRUGARIU,Romania,Renew Europe Group,134605,Reînnoim Proiectul European al României,2019-2024,None,07-2019,female
Beata SZYDŁO,Poland,European Conservatives and Reformists Group,197553,Prawo i Sprawiedliwość,2019-2024,None,07-2019,female
Paul TANG,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125020,Partij van de Arbeid,2019-2024,None,07-2019,male
Marc TARABELLA,Belgium,Non-attached Members,29579,Parti Socialiste,2019-2024,None,07-2019,male
Dominik TARCZYŃSKI,Poland,European Conservatives and Reformists Group,204346,Prawo i Sprawiedliwość,2019-2024,None,07-2019,male
Annalisa TARDINO,Italy,Identity and Democracy Group,197806,Lega,2019-2024,None,07-2019,female
Vera TAX,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197756,Partij van de Arbeid,2019-2024,None,07-2019,female
Cristian TERHEŞ,Romania,European Conservatives and Reformists Group,197655,Partidul Național Țărănesc Creștin Democrat,2019-2024,None,07-2019,male
Riho TERRAS,Estonia,Group of the European People's Party (Christian Democrats),204449,Isamaa,2019-2024,None,07-2019,female
Hermann TERTSCH,Spain,European Conservatives and Reformists Group,197831,VOX,2019-2024,None,07-2019,male
Barbara THALER,Austria,Group of the European People's Party (Christian Democrats),197667,Österreichische Volkspartei,2019-2024,None,07-2019,female
Róża THUN UND HOHENSTEIN,Poland,Renew Europe Group,96776,Polska 2050,2019-2024,None,07-2019,female
Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197591,Partito Democratico,2019-2024,None,07-2019,female
Tomas TOBÉ,Sweden,Group of the European People's Party (Christian Democrats),197402,Moderaterna,2019-2024,None,07-2019,male
Grzegorz TOBISZOWSKI,Poland,European Conservatives and Reformists Group,197559,Prawo i Sprawiedliwość,2019-2024,None,07-2019,male
Patrizia TOIA,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,28340,Partito Democratico,2019-2024,None,07-2019,female
Irène TOLLERET,France,Renew Europe Group,197547,Liste Renaissance,2019-2024,None,07-2019,female
Eugen TOMAC,Romania,Group of the European People's Party (Christian Democrats),197672,Partidul Mișcarea Populară,2019-2024,None,07-2019,male
Waldemar TOMASZEWSKI,Lithuania,European Conservatives and Reformists Group,96697,Lietuvos lenkų rinkimų akcija – Krikščioniškų šeimų sąjunga,2019-2024,None,07-2019,male
Romana TOMC,Slovenia,Group of the European People's Party (Christian Democrats),125104,Slovenska demokratska stranka,2019-2024,None,07-2019,female
Yana TOOM,Estonia,Renew Europe Group,124700,Eesti Keskerakond,2019-2024,None,07-2019,female
Nils TORVALDS,Finland,Renew Europe Group,114268,Svenska folkpartiet,2019-2024,None,07-2019,male
Edina TÓTH,Hungary,Non-attached Members,27714,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,2019-2024,None,07-2019,female
Marie TOUSSAINT,France,Group of the Greens/European Free Alliance,97236,Europe Écologie,2019-2024,None,07-2019,female
Isabella TOVAGLIERI,Italy,Identity and Democracy Group,197580,Lega,2019-2024,None,07-2019,female
Véronique TRILLET-LENOIR,France,Renew Europe Group,197593,Liste Renaissance,2019-2024,None,07-2019,female
László TRÓCSÁNYI,Hungary,Non-attached Members,197894,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,2019-2024,None,07-2019,male
Dragoş TUDORACHE,Romania,Renew Europe Group,197665,Reînnoim Proiectul European al României,2019-2024,None,07-2019,male
Mihai TUDOSE,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,198183,Partidul Social Democrat,2019-2024,None,07-2019,male
Milan UHRÍK,Slovakia,Non-attached Members,197763,Hnutie Republika,2019-2024,None,07-2019,male
István UJHELYI,Hungary,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124705,Magyar Szocialista Párt,2019-2024,None,07-2019,male
Miguel URBÁN CRESPO,Spain,The Left group in the European Parliament - GUE/NGL,131507,ANTICAPITALISTAS,2019-2024,None,07-2019,male
Ernest URTASUN,Spain,Group of the Greens/European Free Alliance,124972,Catalunya en Comú,2019-2024,None,07-2019,male
Nils UŠAKOVS,Latvia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197810,"""Saskaņa"" sociāldemokrātiskā partija",2019-2024,None,07-2019,male
Viktor USPASKICH,Lithuania,Non-attached Members,96698,Darbo partija,2019-2024,None,07-2019,male
Inese VAIDERE,Latvia,Group of the European People's Party (Christian Democrats),28617,"Partija ""VIENOTĪBA""",2019-2024,None,07-2019,female
Monika VANA,Austria,Group of the Greens/European Free Alliance,124934,Die Grünen - Die Grüne Alternative,2019-2024,None,07-2019,female
Kathleen VAN BREMPT,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,5729,Vooruit,2019-2024,None,07-2019,female
Tom VANDENDRIESSCHE,Belgium,Identity and Democracy Group,185771,Vlaams Belang,2019-2024,None,07-2019,male
Tom VANDENKENDELAERE,Belgium,Group of the European People's Party (Christian Democrats),129164,Christen-Democratisch & Vlaams,2019-2024,None,07-2019,male
Johan VAN OVERTVELDT,Belgium,European Conservatives and Reformists Group,125106,Nieuw-Vlaamse Alliantie,2019-2024,None,07-2019,male
Kim VAN SPARRENTAK,Netherlands,Group of the Greens/European Free Alliance,197870,GroenLinks,2019-2024,None,07-2019,female
Achille VARIATI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,239257,Partito Democratico,2019-2024,None,07-2019,male
Hilde VAUTMANS,Belgium,Renew Europe Group,130100,Open Vlaamse Liberalen en Democraten,2019-2024,None,07-2019,female
Marie-Pierre VEDRENNE,France,Renew Europe Group,197502,Mouvement Démocrate,2019-2024,None,07-2019,female
Sabine VERHEYEN,Germany,Group of the European People's Party (Christian Democrats),96756,Christlich Demokratische Union Deutschlands,2019-2024,None,07-2019,female
Guy VERHOFSTADT,Belgium,Renew Europe Group,97058,Open Vlaamse Liberalen en Democraten,2019-2024,None,07-2019,male
Harald VILIMSKY,Austria,Identity and Democracy Group,125001,Freiheitliche Partei Österreichs,2019-2024,None,07-2019,male
Idoia VILLANUEVA RUIZ,Spain,The Left group in the European Parliament - GUE/NGL,197827,PODEMOS,2019-2024,None,07-2019,female
Nikolaj VILLUMSEN,Denmark,The Left group in the European Parliament - GUE/NGL,197571,Enhedslisten,2019-2024,None,07-2019,male
Marianne VIND,Denmark,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,199941,Socialdemokratiet,2019-2024,None,07-2019,female
Henna VIRKKUNEN,Finland,Group of the European People's Party (Christian Democrats),124726,Kansallinen Kokoomus,2019-2024,None,07-2019,female
Anders VISTISEN,Denmark,Identity and Democracy Group,124875,Dansk Folkeparti,2019-2024,None,07-2019,male
Petar VITANOV,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197844,Bulgarian Socialist Party,2019-2024,None,07-2019,male
Viola VON CRAMON-TAUBADEL,Germany,Group of the Greens/European Free Alliance,197451,Bündnis 90/Die Grünen,2019-2024,None,07-2019,female
Alexandr VONDRA,Czechia,European Conservatives and Reformists Group,197537,Občanská demokratická strana,2019-2024,None,07-2019,male
Axel VOSS,Germany,Group of the European People's Party (Christian Democrats),96761,Christlich Demokratische Union Deutschlands,2019-2024,None,07-2019,male
Elissavet VOZEMBERG-VRIONIDI,Greece,Group of the European People's Party (Christian Democrats),125065,Nea Demokratia,2019-2024,None,07-2019,female
Veronika VRECIONOVÁ,Czechia,European Conservatives and Reformists Group,197552,Občanská demokratická strana,2019-2024,None,07-2019,female
Lucia VUOLO,Italy,Group of the European People's Party (Christian Democrats),197798,Forza Italia,2019-2024,None,07-2019,female
Adrián VÁZQUEZ LÁZARA,Spain,Renew Europe Group,204400,Ciudadanos – Partido de la Ciudadanía,2019-2024,None,07-2019,male
Thomas WAITZ,Austria,Group of the Greens/European Free Alliance,190464,Die Grünen - Die Grüne Alternative,2019-2024,None,07-2019,male
Mick WALLACE,Ireland,The Left group in the European Parliament - GUE/NGL,197817,Independents for change,2019-2024,None,07-2019,male
Maria WALSH,Ireland,Group of the European People's Party (Christian Democrats),197863,Fine Gael Party,2019-2024,None,07-2019,female
Marion WALSMANN,Germany,Group of the European People's Party (Christian Democrats),197429,Christlich Demokratische Union Deutschlands,2019-2024,None,07-2019,female
Jörgen WARBORN,Sweden,Group of the European People's Party (Christian Democrats),197405,Moderaterna,2019-2024,None,07-2019,male
Witold Jan WASZCZYKOWSKI,Poland,European Conservatives and Reformists Group,197566,Prawo i Sprawiedliwość,2019-2024,None,07-2019,male
Manfred WEBER,Germany,Group of the European People's Party (Christian Democrats),28229,Christlich-Soziale Union in Bayern e.V.,2019-2024,None,07-2019,male
Charlie WEIMERS,Sweden,European Conservatives and Reformists Group,123562,Sverigedemokraterna,2019-2024,None,07-2019,male
Pernille WEISS,Denmark,Group of the European People's Party (Christian Democrats),197515,Det Konservative Folkeparti,2019-2024,None,07-2019,female
Rainer WIELAND,Germany,Group of the European People's Party (Christian Democrats),2323,Christlich Demokratische Union Deutschlands,2019-2024,None,07-2019,male
Sarah WIENER,Austria,Group of the Greens/European Free Alliance,197675,Die Grünen - Die Grüne Alternative,2019-2024,None,07-2019,female
Emma WIESNER,Sweden,Renew Europe Group,214839,Centerpartiet,2019-2024,None,07-2019,female
Michal WIEZIK,Slovakia,Renew Europe Group,197769,Progresívne Slovensko,2019-2024,None,07-2019,male
Iuliu WINKLER,Romania,Group of the European People's Party (Christian Democrats),39725,Uniunea Democrată Maghiară din România,2019-2024,None,07-2019,male
Angelika WINZIG,Austria,Group of the European People's Party (Christian Democrats),197652,Österreichische Volkspartei,2019-2024,None,07-2019,female
Isabel WISELER-LIMA,Luxembourg,Group of the European People's Party (Christian Democrats),197421,Parti chrétien social luxembourgeois,2019-2024,None,07-2019,female
Jadwiga WIŚNIEWSKA,Poland,European Conservatives and Reformists Group,124877,Prawo i Sprawiedliwość,2019-2024,None,07-2019,female
Tiemo WÖLKEN,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,185619,Sozialdemokratische Partei Deutschlands,2019-2024,None,07-2019,male
Lara WOLTERS,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,5392,Partij van de Arbeid,2019-2024,None,07-2019,female
Salima YENBOU,France,Renew Europe Group,197511,Renaissance,2019-2024,None,07-2019,female
Stéphanie YON-COURTIN,France,Renew Europe Group,197581,Liste Renaissance,2019-2024,None,07-2019,female
Elena YONCHEVA,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197842,Bulgarian Socialist Party,2019-2024,None,07-2019,female
Theodoros ZAGORAKIS,Greece,Group of the European People's Party (Christian Democrats),125067,Nea Demokratia,2019-2024,None,07-2019,male
Jan ZAHRADIL,Czechia,European Conservatives and Reformists Group,23712,Občanská demokratická strana,2019-2024,None,07-2019,male
Anna ZALEWSKA,Poland,European Conservatives and Reformists Group,197572,Prawo i Sprawiedliwość,2019-2024,None,07-2019,female
Stefania ZAMBELLI,Italy,Identity and Democracy Group,197586,Lega,2019-2024,None,07-2019,female
Marco ZANNI,Italy,Identity and Democracy Group,124780,Lega,2019-2024,None,07-2019,male
Javier ZARZALEJOS,Spain,Group of the European People's Party (Christian Democrats),197606,Partido Popular,2019-2024,None,07-2019,male
Tatjana ŽDANOKA,Latvia,Non-attached Members,28619,Latvijas Krievu savienība,2019-2024,None,07-2019,female
Tomáš ZDECHOVSKÝ,Czechia,Group of the European People's Party (Christian Democrats),124713,Křesťanská a demokratická unie - Československá strana lidová,2019-2024,None,07-2019,male
Roberts ZĪLE,Latvia,European Conservatives and Reformists Group,28615,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",2019-2024,None,07-2019,male
Bernhard ZIMNIOK,Germany,Identity and Democracy Group,197489,Alternative für Deutschland,2019-2024,None,07-2019,male
Kosma ZŁOTOWSKI,Poland,European Conservatives and Reformists Group,124884,Prawo i Sprawiedliwość,2019-2024,None,07-2019,male
Juan Ignacio ZOIDO ÁLVAREZ,Spain,Group of the European People's Party (Christian Democrats),197621,Partido Popular,2019-2024,None,07-2019,male
Carlos ZORRINHO,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124739,Partido Socialista,2019-2024,None,07-2019,male
Marco ZULLO,Italy,Renew Europe Group,125237,Independent,2019-2024,None,07-2019,male
Milan ZVER,Slovenia,Group of the European People's Party (Christian Democrats),96933,Slovenska demokratska stranka,2019-2024,None,07-2019,male
Mazaly AGUILAR,Spain,European Conservatives and Reformists Group,198096,VOX,2019-2024,None,07-2019,female
Atidzhe ALIEVA-VELI,Bulgaria,Renew Europe Group,197848,Movement for Rights and Freedoms,2019-2024,None,07-2019,female
Adrian-Dragoş BENEA,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197658,Partidul Social Democrat,2019-2024,None,07-2019,male
Ioan-Rareş BOGDAN,Romania,Group of the European People's Party (Christian Democrats),197636,Partidul Naţional Liberal,2019-2024,None,07-2019,male
Sunčana GLAVAK,Croatia,Group of the European People's Party (Christian Democrats),202036,Hrvatska demokratska zajednica,2019-2024,None,07-2019,female
Izabela-Helena KLOC,Poland,European Conservatives and Reformists Group,197520,Prawo i Sprawiedliwość,2019-2024,None,07-2019,female
Maria-Manuel LEITÃO-MARQUES,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197635,Partido Socialista,2019-2024,None,07-2019,female
Marian-Jean MARINESCU,Romania,Group of the European People's Party (Christian Democrats),33982,Partidul Naţional Liberal,2019-2024,None,07-2019,male
Gheorghe-Vlad NISTOR,Romania,Group of the European People's Party (Christian Democrats),202112,Partidul Naţional Liberal,2019-2024,None,07-2019,male
Evžen TOŠENOVSKÝ,Czechia,European Conservatives and Reformists Group,96713,Občanská demokratická strana,2019-2024,None,07-2019,male
Loránt VINCZE,Romania,Group of the European People's Party (Christian Democrats),98582,Uniunea Democrată Maghiară din România,2019-2024,None,07-2019,male
Željana ZOVKO,Croatia,Group of the European People's Party (Christian Democrats),185341,Hrvatska demokratska zajednica,2019-2024,None,07-2019,female
