fullName,id,country,eu_group_1,eu_group_2,nation_group,term,start_period_1,gender
Javier NART,125005,Spain,Group of the Alliance of Liberals and Democrats for Europe ,None,Ciudadanos – Partido de la Ciudadanía ,2014-2019,07-2014,male
Victor NEGRESCU,88882,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Partidul Social Democrat ,2014-2019,07-2014,male
Momchil NEKOV,125013,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Bulgarian Socialist Party ,2014-2019,07-2014,male
Norbert NEUSER,96844,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Sozialdemokratische Partei Deutschlands ,2014-2019,07-2014,male
Annemie NEYTS-UYTTEBROECK,1946,Belgium,Group of the Alliance of Liberals and Democrats for Europe ,None,Open Vlaamse Liberalen en Democraten ,2014-2019,07-2014,female
Dan NICA,124784,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Partidul Social Democrat ,2014-2019,07-2014,male
James NICHOLSON,1318,United Kingdom,European Conservatives and Reformists Group ,None,Ulster Unionist Party ,2014-2019,07-2014,male
Norica NICOLAI,96825,Romania,Group of the European People's Party (Christian Democrats) ,Group of the Alliance of Liberals and Democrats for Europe ,Partidul Naţional Liberal ,2014-2019,07-2014,female
Angelika NIEBLER,4289,Germany,Group of the European People's Party (Christian Democrats) ,None,Christlich-Soziale Union in Bayern e.V. ,2014-2019,07-2014,female
Luděk NIEDERMAYER,124701,Czechia,Group of the European People's Party (Christian Democrats) ,None,TOP 09 a Starostové ,2014-2019,07-2014,male
Péter NIEDERMÜLLER,124723,Hungary,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Demokratikus Koalíció ,2014-2019,07-2014,male
Cora van NIEUWENHUIZEN,125019,Netherlands,Group of the Alliance of Liberals and Democrats for Europe ,None,Volkspartij voor Vrijheid en Democratie ,2014-2019,07-2014,female
Jens NILSSON,111024,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Arbetarepartiet- Socialdemokraterna ,2014-2019,07-2014,male
Liadh NÍ RIADA,124987,Ireland,Confederal Group of the European United Left ,None,Sinn Féin ,2014-2019,07-2014,female
Lambert van NISTELROOIJ,28165,Netherlands,Group of the European People's Party (Christian Democrats) ,None,Christen Democratisch Appèl ,2014-2019,07-2014,male
Maria NOICHL,124836,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Sozialdemokratische Partei Deutschlands ,2014-2019,07-2014,female
Andrey NOVAKOV,107212,Bulgaria,Group of the European People's Party (Christian Democrats) ,None,Citizens for European Development of Bulgaria ,2014-2019,11-2014,male
Paul NUTTALL,96805,United Kingdom,Europe of Freedom and Direct Democracy Group ,Non-attached Members,United Kingdom Independence Party ,2014-2019,07-2014,male
Franz OBERMAYR,96981,Austria,Non-attached Members,Europe of Nations and Freedom Group ,Freiheitliche Partei Österreichs ,2014-2019,07-2014,male
Patrick O'FLYNN,124940,United Kingdom,Europe of Freedom and Direct Democracy Group ,Non-attached Members,United Kingdom Independence Party ,2014-2019,07-2014,male
Jan OLBRYCHT,28288,Poland,Group of the European People's Party (Christian Democrats) ,None,Platforma Obywatelska ,2014-2019,07-2014,male
Younous OMARJEE,30482,France,Confederal Group of the European United Left ,None,L'union pour les Outremer ,2014-2019,07-2014,male
Stanisław OŻÓG,124897,Poland,European Conservatives and Reformists Group ,None,Prawo i Sprawiedliwość ,2014-2019,07-2014,male
Artis PABRIKS,124743,Latvia,Group of the European People's Party (Christian Democrats) ,None,"Partija ""VIENOTĪBA"" ",2014-2019,07-2014,male
Ralph PACKET,195454,Belgium,European Conservatives and Reformists Group ,None,Nieuw-Vlaamse Alliantie ,2014-2019,11-2018,male
Ivari PADAR,97025,Estonia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Sotsiaaldemokraatlik Erakond ,2014-2019,11-2017,male
Urmas PAET,129073,Estonia,Group of the Alliance of Liberals and Democrats for Europe ,None,Eesti Reformierakond ,2014-2019,11-2014,male
Maite PAGAZAURTUNDÚA,125038,Spain,Group of the Alliance of Liberals and Democrats for Europe ,None,"Unión, Progreso y Democracia ",2014-2019,07-2014,female
Rolandas PAKSAS,96694,Lithuania,Europe of Freedom and Direct Democracy Group ,Non-attached Members,Partija Tvarka ir teisingumas ,2014-2019,07-2014,male
Rory PALMER,190099,United Kingdom,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Labour Party ,2014-2019,10-2017,male
Pier Antonio PANZERI,28365,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Partito Democratico ,2014-2019,07-2014,male
Massimo PAOLUCCI,124849,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Partito Democratico ,2014-2019,07-2014,male
Demetris PAPADAKIS,124692,Cyprus,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Movement for Social Democracy EDEK ,2014-2019,07-2014,male
Kostas PAPADAKIS,125093,Greece,Non-attached Members,None,Communist Party of Greece ,2014-2019,07-2014,male
Dimitrios PAPADIMOULIS,28586,Greece,Confederal Group of the European United Left ,None,Coalition of the Radical Left ,2014-2019,07-2014,male
Gilles PARGNEAUX,96948,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Parti socialiste ,2014-2019,07-2014,male
Margot PARKER,124945,United Kingdom,Europe of Freedom and Direct Democracy Group ,Non-attached Members,United Kingdom Independence Party ,2014-2019,07-2014,female
Ioan Mircea PAŞCU,33984,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Partidul Social Democrat ,2014-2019,07-2014,male
Aldo PATRICIELLO,36392,Italy,Group of the European People's Party (Christian Democrats) ,None,Forza Italia ,2014-2019,07-2014,male
Marit PAULSEN,4270,Sweden,Group of the Alliance of Liberals and Democrats for Europe ,None,Liberalerna ,2014-2019,07-2014,female
Emilian PAVEL,129256,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Partidul Social Democrat ,2014-2019,11-2014,male
Jiří PAYNE,189507,Czechia,Europe of Freedom and Direct Democracy Group ,None,Strana svobodných občanů ,2014-2019,09-2017,male
Piernicola PEDICINI,124844,Italy,Europe of Freedom and Direct Democracy Group ,Non-attached Members,Movimento 5 Stelle ,2014-2019,07-2014,male
Vincent PEILLON,28166,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Parti socialiste ,2014-2019,07-2014,male
Alojz PETERLE,23693,Slovenia,Group of the European People's Party (Christian Democrats) ,None,Nova Slovenija – Krščanski demokrati ,2014-2019,07-2014,male
Morten PETERSEN,124872,Denmark,Group of the Alliance of Liberals and Democrats for Europe ,None,Det Radikale Venstre ,2014-2019,07-2014,male
Marijana PETIR,124749,Croatia,Group of the European People's Party (Christian Democrats) ,None,Hrvatska seljačka stranka ,2014-2019,07-2014,female
Florian PHILIPPOT,110977,France,Non-attached Members,Europe of Nations and Freedom Group ,Front national ,2014-2019,07-2014,male
Pina PICIERNO,124846,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Partito Democratico ,2014-2019,07-2014,female
Tonino PICULA,112744,Croatia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Socijaldemokratska partija Hrvatske ,2014-2019,07-2014,male
Bolesław G. PIECHA,124874,Poland,European Conservatives and Reformists Group ,None,Prawo i Sprawiedliwość ,2014-2019,07-2014,male
Markus PIEPER,28224,Germany,Group of the European People's Party (Christian Democrats) ,None,Christlich Demokratische Union Deutschlands ,2014-2019,07-2014,male
Sirpa PIETIKÄINEN,40599,Finland,Group of the European People's Party (Christian Democrats) ,None,Kansallinen Kokoomus ,2014-2019,07-2014,female
João PIMENTA LOPES,136236,Portugal,Confederal Group of the European United Left ,None,Partido Comunista Português ,2014-2019,01-2016,male
Mirosław PIOTROWSKI,28341,Poland,European Conservatives and Reformists Group ,None,Prawo i Sprawiedliwość ,2014-2019,07-2014,male
Kati PIRI,37229,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Partij van de Arbeid ,2014-2019,07-2014,female
Georgi PIRINSKI,124855,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Bulgarian Socialist Party ,2014-2019,07-2014,male
Julia PITERA,124898,Poland,Group of the European People's Party (Christian Democrats) ,None,Platforma Obywatelska ,2014-2019,07-2014,female
Gianni PITTELLA,4436,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Partito Democratico ,2014-2019,07-2014,male
Andrej PLENKOVIĆ,112755,Croatia,Group of the European People's Party (Christian Democrats) ,None,Hrvatska demokratska zajednica ,2014-2019,07-2014,male
Marek PLURA,124881,Poland,Group of the European People's Party (Christian Democrats) ,None,Platforma Obywatelska ,2014-2019,07-2014,male
Pavel POC,96715,Czechia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Česká strana sociálně demokratická ,2014-2019,07-2014,male
Miroslav POCHE,124699,Czechia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Česká strana sociálně demokratická ,2014-2019,07-2014,male
Salvatore Domenico POGLIESE,124853,Italy,Group of the European People's Party (Christian Democrats) ,None,Forza Italia ,2014-2019,07-2014,male
Stanislav POLČÁK,124704,Czechia,Group of the European People's Party (Christian Democrats) ,None,TOP 09 a Starostové ,2014-2019,07-2014,male
Maurice PONGA,96931,France,Group of the European People's Party (Christian Democrats) ,None,Union pour un Mouvement Populaire ,2014-2019,07-2014,male
Răzvan POPA,189490,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Partidul Social Democrat ,2014-2019,09-2017,male
Tomasz Piotr PORĘBA,96801,Poland,European Conservatives and Reformists Group ,None,Prawo i Sprawiedliwość ,2014-2019,07-2014,male
Jiří POSPÍŠIL,125706,Czechia,Group of the European People's Party (Christian Democrats) ,None,TOP 09 a Starostové ,2014-2019,07-2014,male
